企業名,会計年度,四半期,y_hat_ml2,best_hyparam
アクセル,2020,Q4,12.539032932015644,[1000]
アジアパイルホールディングス,2018,Q1,9.740308758354473,[100]
アジアパイルホールディングス,2018,Q2,1.6756675537297951,[100]
アジアパイルホールディングス,2018,Q3,11.960968839486775,[100]
アジアパイルホールディングス,2018,Q4,29.934496402866912,[100]
アジアパイルホールディングス,2019,Q1,51.06630330128613,[100]
アジアパイルホールディングス,2019,Q2,8.638944571000906,[100]
アジアパイルホールディングス,2019,Q3,24.50830393987232,[100]
アジアパイルホールディングス,2019,Q4,12.666658447737214,[100]
アジアパイルホールディングス,2020,Q1,13.564046635456643,[100]
アジアパイルホールディングス,2020,Q2,16.233283891512958,[100]
アジアパイルホールディングス,2020,Q3,18.445919561171934,[100]
アジアパイルホールディングス,2020,Q4,10.183909828590146,[100]
アステラス製薬,2018,Q1,33.97312731629728,[1000]
アステラス製薬,2018,Q2,28.98959712515508,[1000]
アステラス製薬,2018,Q3,39.675978889680785,[1000]
アステラス製薬,2018,Q4,19.772214734289584,[1000]
アステラス製薬,2019,Q1,39.257749667775116,[1000]
アステラス製薬,2019,Q2,28.969547819913775,[1000]
アステラス製薬,2019,Q3,32.91773656634657,[1000]
アステラス製薬,2019,Q4,18.082367543283993,[1000]
アステラス製薬,2020,Q1,26.7180151151816,[1000]
アステラス製薬,2020,Q2,37.7292177645608,[1000]
アステラス製薬,2020,Q3,37.54406101606213,[1000]
アステラス製薬,2020,Q4,13.469742333546158,[1000]
アズビル,2018,Q1,36.479673535522736,[1000]
アズビル,2018,Q2,52.37940413168289,[1000]
アズビル,2018,Q3,13.5324346088791,[1000]
アズビル,2018,Q4,131.44507360468972,[1000]
アズビル,2019,Q1,23.323629047234206,[1000]
アズビル,2019,Q2,-2.696155470496379,[1000]
アズビル,2019,Q3,-16.353791589452726,[1000]
アズビル,2019,Q4,45.02650836719444,[1000]
アズビル,2020,Q1,13.927870670647849,[1000]
アズビル,2020,Q2,30.845978138208707,[1000]
アズビル,2020,Q3,40.41324560395933,[1000]
アズビル,2020,Q4,57.4712999376952,[1000]
アズワン,2018,Q1,72.08901901916128,[1000]
アズワン,2018,Q2,64.58383107947648,[1000]
アズワン,2018,Q3,70.10278224652959,[1000]
アズワン,2018,Q4,87.50268566515608,[1000]
アズワン,2019,Q1,70.90081257051604,[1000]
アズワン,2019,Q2,64.85739411949757,[1000]
アズワン,2019,Q3,75.52535611928619,[1000]
アズワン,2019,Q4,93.02954255442705,[1000]
アズワン,2020,Q1,64.1900347284986,[1000]
アズワン,2020,Q2,68.23261152468424,[1000]
アズワン,2020,Q3,94.10132034887535,[1000]
アズワン,2020,Q4,100.66999817014809,[1000]
アツギ,2018,Q1,-153.7369293486888,[0.01]
アツギ,2018,Q2,-194.82536124398152,[0.01]
アツギ,2018,Q3,-13.968917043289547,[0.01]
アツギ,2018,Q4,-121.62136526100521,[0.01]
アツギ,2019,Q1,-203.39776762950476,[0.01]
アツギ,2019,Q2,-197.16767191365807,[0.01]
アツギ,2019,Q3,-82.45262078227482,[0.01]
アツギ,2019,Q4,-200.33329990119339,[0.01]
アツギ,2020,Q1,168.19602083730086,[0.01]
アツギ,2020,Q2,-417.6977151983924,[0.01]
アツギ,2020,Q3,-150.57342703350355,[0.01]
アツギ,2020,Q4,-73.95367461466982,[0.01]
アドウェイズ,2018,Q1,21.84668690322408,[10]
アドウェイズ,2018,Q2,6.2558036452602686,[10]
アドウェイズ,2018,Q3,-3.5298411114779533,[10]
アドウェイズ,2018,Q4,-3.841327754904831,[10]
アドウェイズ,2019,Q1,-7.870611613947068,[10]
アドウェイズ,2019,Q2,2.6427034987812164,[10]
アドウェイズ,2019,Q3,-0.04704391255875118,[10]
アドウェイズ,2019,Q4,13.223976021063443,[10]
アドウェイズ,2020,Q1,0.5933370902728736,[10]
アドウェイズ,2020,Q2,10.512322212283536,[10]
アドウェイズ,2020,Q3,14.444227670438188,[10]
アドウェイズ,2020,Q4,0.8397329432979168,[10]
アドソル日進,2018,Q1,14.434909583466148,[1000]
アドソル日進,2018,Q2,12.591808447775891,[1000]
アドソル日進,2018,Q3,15.752764302508702,[1000]
アドソル日進,2018,Q4,14.433677334088943,[1000]
アドソル日進,2019,Q1,22.326470619750445,[1000]
アドソル日進,2019,Q2,30.70196136704647,[1000]
アドソル日進,2019,Q3,26.951514322755568,[1000]
アドソル日進,2019,Q4,15.700282125209242,[1000]
アドソル日進,2020,Q1,25.469681865503006,[1000]
アドソル日進,2020,Q2,24.764949806768907,[1000]
アドソル日進,2020,Q3,27.137306974079415,[1000]
アドソル日進,2020,Q4,15.974637890566909,[1000]
アドバンテスト,2018,Q1,87.56964794495858,[1000]
アドバンテスト,2018,Q2,79.38915362874513,[1000]
アドバンテスト,2018,Q3,72.69163451646432,[1000]
アドバンテスト,2018,Q4,50.38769350775621,[1000]
アドバンテスト,2019,Q1,55.577601653808316,[1000]
アドバンテスト,2019,Q2,66.608388395238,[1000]
アドバンテスト,2019,Q3,45.72852571590737,[1000]
アドバンテスト,2019,Q4,49.26707298543522,[1000]
アドバンテスト,2020,Q1,61.864235298276334,[1000]
アドバンテスト,2020,Q2,70.16383260416248,[1000]
アドバンテスト,2020,Q3,59.83745237873923,[1000]
アドバンテスト,2020,Q4,97.46882449924524,[1000]
アドヴァングループ,2018,Q1,3.62814958964314,[100]
アドヴァングループ,2018,Q2,28.809250358860936,[100]
アドヴァングループ,2018,Q3,43.87879308097151,[100]
アドヴァングループ,2018,Q4,-5.081448096557308,[100]
アドヴァングループ,2019,Q1,46.521987563639875,[100]
アドヴァングループ,2019,Q2,28.798165793008227,[100]
アドヴァングループ,2019,Q3,41.05818683652278,[100]
アドヴァングループ,2019,Q4,28.42693746413135,[100]
アドヴァングループ,2020,Q1,24.163272979466683,[100]
アドヴァングループ,2020,Q2,24.50053202296875,[100]
アドヴァングループ,2020,Q3,23.1651248096599,[100]
アドヴァングループ,2020,Q4,21.86340465931972,[100]
アマダ,2018,Q1,6.303242343502401,[1000]
アマダ,2018,Q2,23.435932670253912,[1000]
アマダ,2018,Q3,17.16175468507663,[1000]
アマダ,2018,Q4,26.530428501893933,[1000]
アマダ,2019,Q1,14.29451428152327,[1000]
アマダ,2019,Q2,28.199097534739046,[1000]
アマダ,2019,Q3,14.097094566736885,[1000]
アマダ,2019,Q4,25.853361287541965,[1000]
アマダ,2020,Q1,1.0116813967134952,[1000]
アマダ,2020,Q2,26.072318390361012,[1000]
アマダ,2020,Q3,17.033988720066638,[1000]
アマダ,2020,Q4,14.036963675752979,[1000]
アマノ,2018,Q1,14.620890686744744,[1000]
アマノ,2018,Q2,33.85414318773662,[1000]
アマノ,2018,Q3,31.523270954199212,[1000]
アマノ,2018,Q4,50.85031125360758,[1000]
アマノ,2019,Q1,18.160871376456193,[1000]
アマノ,2019,Q2,36.545966442110824,[1000]
