企業名,会計年度,四半期,y_hat_ml2
かどや製油,2020,Q3,62.38660961754709
かどや製油,2020,Q4,26.036564869001523
きんでん,2018,Q1,8.13941997207322
きんでん,2018,Q2,25.35687633053401
きんでん,2018,Q3,30.13938595420894
きんでん,2018,Q4,69.12956519120314
きんでん,2019,Q1,21.931493172229256
きんでん,2019,Q2,31.193506452347847
きんでん,2019,Q3,40.06673358182916
きんでん,2019,Q4,60.01788118899764
きんでん,2020,Q1,11.246358994494877
きんでん,2020,Q2,35.24719282621992
きんでん,2020,Q3,45.989137734295966
きんでん,2020,Q4,64.78170400733529
さくらインターネット,2018,Q1,2.939954604858542
さくらインターネット,2018,Q2,-2.4689703673775014
さくらインターネット,2018,Q3,-3.286403299718767
さくらインターネット,2018,Q4,-0.076106928122213
さくらインターネット,2019,Q1,5.42440433042429
さくらインターネット,2019,Q2,-0.8360153161732553
さくらインターネット,2019,Q3,1.367764845287712
さくらインターネット,2019,Q4,58.14716177059375
さくらインターネット,2020,Q1,13.6082589776243
さくらインターネット,2020,Q2,-2.4561823327640706
さくらインターネット,2020,Q3,-0.1694282940461882
さくらインターネット,2020,Q4,12.794622987288768
たけびし,2018,Q1,43.23986271500032
たけびし,2018,Q2,41.51684908948352
たけびし,2018,Q3,38.39732149323686
たけびし,2018,Q4,42.89225759692213
たけびし,2019,Q1,34.70511023000397
たけびし,2019,Q2,38.27363624635896
たけびし,2019,Q3,22.772899150071243
たけびし,2019,Q4,28.941826070516697
たけびし,2020,Q1,11.879336591539932
たけびし,2020,Q2,21.1699344021204
たけびし,2020,Q3,13.016725698372191
たけびし,2020,Q4,29.279024975904896
なとり,2018,Q1,37.17572308500695
なとり,2018,Q2,28.575441156972914
なとり,2018,Q3,57.25687800617271
なとり,2018,Q4,-14.847547833092174
なとり,2019,Q1,15.35222221585885
なとり,2019,Q2,26.48441550371374
なとり,2019,Q3,54.11745312728551
なとり,2019,Q4,-20.985084602347836
なとり,2020,Q1,12.251952509386864
なとり,2020,Q2,25.826830802999183
なとり,2020,Q3,83.8574461841693
なとり,2020,Q4,-17.297415145117075
はせがわ,2018,Q1,-8.825220815089018
はせがわ,2018,Q2,24.318051332378644
はせがわ,2018,Q3,1.799151946304284
はせがわ,2018,Q4,-10.062899193552964
はせがわ,2019,Q1,-22.291993860799263
はせがわ,2019,Q2,11.192520670741487
はせがわ,2019,Q3,-32.39880348748528
はせがわ,2019,Q4,-42.54040561616502
はせがわ,2020,Q1,-23.89210375243401
はせがわ,2020,Q2,6.690057543175769
はせがわ,2020,Q3,2.348393833943902
はせがわ,2020,Q4,1.6034364190781505
はるやまホールディングス,2018,Q1,7.797696220650266
はるやまホールディングス,2018,Q2,-61.49245808454435
はるやまホールディングス,2018,Q3,7.3554991508323155
はるやまホールディングス,2018,Q4,101.4723553417606
はるやまホールディングス,2019,Q1,-4.471155711318204
はるやまホールディングス,2019,Q2,-16.227344732334757
はるやまホールディングス,2019,Q3,37.25818472334777
はるやまホールディングス,2019,Q4,24.893674999821656
はるやまホールディングス,2020,Q1,-115.36384070604322
はるやまホールディングス,2020,Q2,-82.7807947692574
はるやまホールディングス,2020,Q3,5.715380435620773
はるやまホールディングス,2020,Q4,-85.27750444843328
ぴあ,2018,Q1,35.707335624460114
ぴあ,2018,Q2,18.540121659644
ぴあ,2018,Q3,10.545309079818026
ぴあ,2018,Q4,6.94800374779599
ぴあ,2019,Q1,4.382789293154561
ぴあ,2019,Q2,26.03773854709786
ぴあ,2019,Q3,-10.46780705038486
ぴあ,2019,Q4,35.585352224811174
ぴあ,2020,Q1,-182.0730123692799
