企業名,会計年度,四半期,y_hat_ml1_i_tuned_simple
アジアパイルホールディングス,2019,Q1,12.014444444444445
アジアパイルホールディングス,2019,Q2,12.817777777777778
アジアパイルホールディングス,2019,Q3,14.927777777777777
アジアパイルホールディングス,2019,Q4,15.755277777777776
アジアパイルホールディングス,2020,Q1,16.342777777777776
アジアパイルホールディングス,2020,Q2,17.245
アジアパイルホールディングス,2020,Q3,17.589999999999996
アジアパイルホールディングス,2020,Q4,17.489444444444445
アステラス製薬,2018,Q1,32.417469930113924
アステラス製薬,2018,Q2,24.45445030750726
アステラス製薬,2018,Q3,28.02608014109795
アステラス製薬,2018,Q4,13.77671001251456
アステラス製薬,2019,Q1,31.756034821149267
アステラス製薬,2019,Q2,22.60957550183172
アステラス製薬,2019,Q3,30.6692422261307
アステラス製薬,2019,Q4,18.533425540238376
アステラス製薬,2020,Q1,29.53298159568003
アステラス製薬,2020,Q2,29.24613793247898
アステラス製薬,2020,Q3,29.015998468334228
アステラス製薬,2020,Q4,16.19558069806335
アズビル,2018,Q1,15.953974711413125
アズビル,2018,Q2,46.5275419745158
アズビル,2018,Q3,-13.94336729747613
アズビル,2018,Q4,83.36742513643622
アズビル,2019,Q1,9.63223012781775
アズビル,2019,Q2,27.918520412354297
アズビル,2019,Q3,-5.704228160538165
アズビル,2019,Q4,33.4717661363419
アズビル,2020,Q1,6.417462740159891
アズビル,2020,Q2,28.85671189641392
アズビル,2020,Q3,33.434146995115
アズビル,2020,Q4,49.72161689417038
アズワン,2018,Q1,56.70124228033535
アズワン,2018,Q2,54.67199242293839
アズワン,2018,Q3,57.472123055084765
アズワン,2018,Q4,65.1246918387396
アズワン,2019,Q1,64.48797676757812
アズワン,2019,Q2,59.72316059494122
アズワン,2019,Q3,63.695151781797854
アズワン,2019,Q4,70.75868117032981
アズワン,2020,Q1,70.70083492366876
アズワン,2020,Q2,66.8644232254536
アズワン,2020,Q3,80.05241853196605
アズワン,2020,Q4,80.10179343380771
アツギ,2018,Q1,1.2128605041937404
アツギ,2018,Q2,0.8014716153048512
アツギ,2018,Q3,1.2220271708604067
アツギ,2018,Q4,1.2745271708604067
アツギ,2019,Q1,-65.72136863225322
アツギ,2019,Q2,-40.920004242076054
アツギ,2019,Q3,-23.59306269699642
アツギ,2019,Q4,-66.21299459089772
アツギ,2020,Q1,-64.08111864841695
アツギ,2020,Q2,-153.7182737996975
アツギ,2020,Q3,-62.17261309613612
アツギ,2020,Q4,-56.970905584238515
アドウェイズ,2018,Q1,-0.5798956310803138
アドウェイズ,2018,Q2,-0.32085619481182004
アドウェイズ,2018,Q3,-0.2132576154812753
アドウェイズ,2018,Q4,-7.520757283050777
アドウェイズ,2019,Q1,-14.758389494641245
アドウェイズ,2019,Q2,-2.375335044624082
アドウェイズ,2019,Q3,-6.205680078740199
アドウェイズ,2019,Q4,-1.1838257527098275
アドウェイズ,2020,Q1,-7.081463833077734
アドウェイズ,2020,Q2,-5.514363575383433
アドウェイズ,2020,Q3,-1.0267090344592913
アドウェイズ,2020,Q4,4.446595460170142
アドソル日進,2018,Q1,16.652734066491398
アドソル日進,2018,Q2,17.37104861236054
アドソル日進,2018,Q3,17.32852704277844
アドソル日進,2018,Q4,14.254267363438991
アドソル日進,2019,Q1,22.260993581724875
アドソル日進,2019,Q2,23.993277675332436
アドソル日進,2019,Q3,24.204771027121726
アドソル日進,2019,Q4,18.62672612408288
アドソル日進,2020,Q1,25.68673714414935
アドソル日進,2020,Q2,25.21335462118725
アドソル日進,2020,Q3,25.467587706132708
アドソル日進,2020,Q4,17.21988182381501
アドバネクス,2018,Q1,-0.8805284523773951
アドバネクス,2018,Q2,1.557670162770746
アドバネクス,2018,Q3,-5.102865745693448
アドバネクス,2018,Q4,-62.36801353937372
アドバネクス,2019,Q1,-33.4212627931575
アドバネクス,2019,Q2,22.762892875040375
アドバネクス,2019,Q3,-1.6057296692523715
アドバネクス,2019,Q4,-23.192145208987302
アドバネクス,2020,Q1,-58.70809311804955
アドバネクス,2020,Q2,-102.64653467806194
アドバネクス,2020,Q3,-52.82984749484733
アドバネクス,2020,Q4,-68.72962612199416
アドバンテスト,2018,Q1,71.48477332925839
アドバンテスト,2018,Q2,79.20918292226605
アドバンテスト,2018,Q3,82.33118808340494
アドバンテスト,2018,Q4,50.60290359018074
アドバンテスト,2019,Q1,59.66266608459075
アドバンテスト,2019,Q2,78.57179595526789
アドバンテスト,2019,Q3,59.47146715025776
