企業名,会計年度,四半期,y_hat_mraf
アイシン,2018,Q4,126.0796243008308
アイシン,2019,Q1,111.16271620055386
アイシン,2019,Q2,69.6270588095983
アイシン,2019,Q3,79.07122274346926
アイシン,2019,Q4,86.54026251522816
アイシン,2020,Q1,41.29694631467439
アイシン,2020,Q2,-3.0882918997230835
アイシン,2020,Q3,81.14026109658543
アイシン,2020,Q4,125.247810387264
アイダエンジニアリング,2018,Q1,16.178999999999995
アイダエンジニアリング,2018,Q2,-12.581300000000004
アイダエンジニアリング,2018,Q3,13.613799999999996
アイダエンジニアリング,2018,Q4,23.294500000000003
アイダエンジニアリング,2019,Q1,15.746499999999983
アイダエンジニアリング,2019,Q2,24.476599999999983
アイダエンジニアリング,2019,Q3,17.2636
アイダエンジニアリング,2019,Q4,27.199600000000004
アイダエンジニアリング,2020,Q1,16.1824
アイダエンジニアリング,2020,Q2,14.122000000000003
アイダエンジニアリング,2020,Q3,10.339999999999998
アイダエンジニアリング,2020,Q4,15.9244
アイチコーポレーション,2018,Q1,6.532300000000004
アイチコーポレーション,2018,Q2,15.68450000000002
アイチコーポレーション,2018,Q3,19.023300000000024
アイチコーポレーション,2018,Q4,22.09020000000001
アイチコーポレーション,2019,Q1,13.480100000000007
アイチコーポレーション,2019,Q2,16.85530000000001
アイチコーポレーション,2019,Q3,11.185300000000002
アイチコーポレーション,2019,Q4,22.0363
アイチコーポレーション,2020,Q1,9.194600000000005
アイチコーポレーション,2020,Q2,15.4309
アイチコーポレーション,2020,Q3,11.9002
アイチコーポレーション,2020,Q4,22.914099999999998
アイティフォー,2018,Q1,3.287400000000001
アイティフォー,2018,Q2,7.302199999999998
アイティフォー,2018,Q3,7.551300000000003
アイティフォー,2018,Q4,18.15310000000001
アイティフォー,2019,Q1,7.2909000000000015
アイティフォー,2019,Q2,8.581299999999999
アイティフォー,2019,Q3,8.9907
アイティフォー,2019,Q4,17.830700000000004
アイティフォー,2020,Q1,10.849500000000004
アイティフォー,2020,Q2,13.382500000000013
アイティフォー,2020,Q3,11.9781
アイティフォー,2020,Q4,19.750100000000018
アイティメディア,2018,Q1,5.867923331758914
アイティメディア,2018,Q2,6.043039997300996
アイティメディア,2018,Q3,6.447236664192579
アイティメディア,2018,Q4,7.420391404221099
アイティメディア,2019,Q1,5.343706666216828
アイティメディア,2019,Q2,6.074436664192579
アイティメディア,2019,Q3,6.60600666621683
アイティメディア,2019,Q4,8.060935072956127
アイティメディア,2020,Q1,9.887316665542087
アイティメディア,2020,Q2,9.641503333108414
アイティメディア,2020,Q3,11.47965754712121
アイティメディア,2020,Q4,12.479852435086238
アイネス,2018,Q1,-3.2947000000000037
アイネス,2018,Q2,16.93729999999999
アイネス,2018,Q3,0.3014
アイネス,2018,Q4,18.5423
アイネス,2019,Q1,12.797900000000004
アイネス,2019,Q2,18.9331
アイネス,2019,Q3,11.457500000000003
アイネス,2019,Q4,3.0359000000000003
アイネス,2020,Q1,14.2097
アイネス,2020,Q2,-1.1853000000000002
アイネス,2020,Q3,11.51490000000001
アイネス,2020,Q4,6.899100000000001
アイネット,2018,Q1,14.282599999999992
アイネット,2018,Q2,25.77363593212445
アイネット,2018,Q3,23.575729128312368
アイネット,2018,Q4,25.55303883774985
アイネット,2019,Q1,18.63675485471873
アイネット,2019,Q2,26.72536456415617
アイネット,2019,Q3,25.530699999999975
アイネット,2019,Q4,26.903864564156173
アイネット,2020,Q1,21.629864564156183
アイネット,2020,Q2,25.89075485471871
アイネット,2020,Q3,18.8282
アイネット,2020,Q4,22.836799999999997
アイホン,2018,Q1,22.92129999999997
アイホン,2018,Q2,48.78920000000003
アイホン,2018,Q3,24.720699999999997
アイホン,2018,Q4,47.63099999999999
アイホン,2019,Q1,19.689199999999992
アイホン,2019,Q2,42.68329999999999
アイホン,2019,Q3,31.620799999999967
アイホン,2019,Q4,65.41020000000005
アイホン,2020,Q1,14.813499999999994
アイホン,2020,Q2,51.95979999999999
アイホン,2020,Q3,35.1412
アイホン,2020,Q4,44.927000000000014
アイロムグループ,2018,Q1,14.93950000000001
アイロムグループ,2018,Q2,23.388799999999986
アイロムグループ,2018,Q3,18.9702
アイロムグループ,2018,Q4,49.21949999999999
アイロムグループ,2019,Q1,21.9598
アイロムグループ,2019,Q2,17.3879
アイロムグループ,2019,Q3,10.1942
アイロムグループ,2019,Q4,25.47742437768808
アイロムグループ,2020,Q1,9.972499999999998
アイロムグループ,2020,Q2,73.50722188844044
アイロムグループ,2020,Q3,36.3682
アイロムグループ,2020,Q4,34.829699999999974
アキレス,2018,Q1,34.34619999999998
アキレス,2018,Q2,30.77779999999997
アキレス,2018,Q3,28.26999999999997
アキレス,2018,Q4,20.5708
アキレス,2019,Q1,7.036117976908389
アキレス,2019,Q2,9.901817976908385
アキレス,2019,Q3,13.672117976908384
アキレス,2019,Q4,15.752253930725171
アキレス,2020,Q1,18.614053930725184
アキレス,2020,Q2,43.4964
アキレス,2020,Q3,38.9271
アキレス,2020,Q4,33.03749999999999
アクシアル　リテイリング,2018,Q1,64.10949999999997
アクシアル　リテイリング,2018,Q2,68.4919999999999
アクシアル　リテイリング,2018,Q3,74.14739999999995
アクシアル　リテイリング,2018,Q4,60.61100000000001
アクシアル　リテイリング,2019,Q1,65.78989999999993
アクシアル　リテイリング,2019,Q2,71.85899999999991
アクシアル　リテイリング,2019,Q3,75.97349999999997
アクシアル　リテイリング,2019,Q4,64.62089999999998
アクシアル　リテイリング,2020,Q1,68.31559999999996
アクシアル　リテイリング,2020,Q2,80.87599999999996
アクシアル　リテイリング,2020,Q3,94.33800000000004
アクシアル　リテイリング,2020,Q4,86.98730000000003
アクセル,2018,Q1,-3.6719999999999993
アクセル,2018,Q2,-7.968299999999999
アクセル,2018,Q3,-19.810799999999983
アクセル,2018,Q4,-21.9317
アクセル,2019,Q1,-17.916299999999985
アクセル,2019,Q2,8.015000000000002
アクセル,2019,Q3,11.874899999999991
アクセル,2019,Q4,10.471099999999996
アクセル,2020,Q1,14.528100000000006
アクセル,2020,Q2,-10.283800000000006
アクセル,2020,Q3,-7.9423
アクセル,2020,Q4,11.940300000000004
アジアパイルホールディングス,2018,Q1,13.842199999999991
アジアパイルホールディングス,2018,Q2,21.091699999999975
アジアパイルホールディングス,2018,Q3,22.99039999999999
アジアパイルホールディングス,2018,Q4,13.562699999999998
アジアパイルホールディングス,2019,Q1,19.6057
アジアパイルホールディングス,2019,Q2,20.9313
アジアパイルホールディングス,2019,Q3,21.04249999999999
アジアパイルホールディングス,2019,Q4,19.16179999999999
アジアパイルホールディングス,2020,Q1,13.030899999999995
アジアパイルホールディングス,2020,Q2,21.27169999999998
アジアパイルホールディングス,2020,Q3,22.297699999999992
アジアパイルホールディングス,2020,Q4,10.305399999999995
アステラス製薬,2018,Q1,22.887900000000013
アステラス製薬,2018,Q2,21.9986
アステラス製薬,2018,Q3,26.63979999999999
アステラス製薬,2018,Q4,21.54660000000001
アステラス製薬,2019,Q1,28.76607759780394
アステラス製薬,2019,Q2,26.6543
アステラス製薬,2019,Q3,34.06289999999999
アステラス製薬,2019,Q4,25.255062377530955
アステラス製薬,2020,Q1,29.31720000000002
アステラス製薬,2020,Q2,29.51456407384022
アステラス製薬,2020,Q3,30.77000000000001
アステラス製薬,2020,Q4,23.286600000000004
アズビル,2018,Q1,16.345599999999994
アズビル,2018,Q2,59.24759999999996
アズビル,2018,Q3,34.047892118288004
アズビル,2018,Q4,44.63023369463041
アズビル,2019,Q1,15.702999999999983
アズビル,2019,Q2,42.166033694630414
アズビル,2019,Q3,30.97121684731522
アズビル,2019,Q4,40.5339
アズビル,2020,Q1,0.7785000000000001
アズビル,2020,Q2,36.67760000000002
アズビル,2020,Q3,34.63240000000003
アズビル,2020,Q4,50.92230000000004
アズワン,2018,Q1,66.62079999999999
アズワン,2018,Q2,64.49150000000003
アズワン,2018,Q3,71.92110000000007
アズワン,2018,Q4,73.21770000000006
アズワン,2019,Q1,73.6222000000001
アズワン,2019,Q2,71.53970000000005
アズワン,2019,Q3,74.42649999999999
アズワン,2019,Q4,75.16570000000003
アズワン,2020,Q1,77.15890000000002
アズワン,2020,Q2,80.22400000000003
アズワン,2020,Q3,80.58910000000003
アズワン,2020,Q4,85.32940000000006
アツギ,2018,Q1,5.345229781509745
アツギ,2018,Q2,-0.1804404369805072
アツギ,2018,Q3,8.377729781509744
アツギ,2018,Q4,-1.334870218490253
アツギ,2019,Q1,-49.656200000000005
