企業名,会計年度,四半期,y_hat_men_i_tuned,best_hyparam
アイカ工業,2018,Q1,45.209354641576304,[0.1 0.1]
アイカ工業,2018,Q2,57.39514016844671,[0.1 0.1]
アイカ工業,2018,Q3,65.53383313071079,[0.1 0.1]
アイカ工業,2018,Q4,60.69785438196143,[0.1 0.1]
アイカ工業,2019,Q1,49.49087813631693,[0.1 0.1]
アイカ工業,2019,Q2,49.06255304128341,[0.1 0.1]
アイカ工業,2019,Q3,44.884054815548474,[0.1 0.1]
アイカ工業,2019,Q4,52.708310248060585,[0.1 0.1]
アイカ工業,2020,Q1,36.05051135299123,[0.1 0.1]
アイカ工業,2020,Q2,35.76737636283063,[0.1 0.1]
アイカ工業,2020,Q3,63.03099545977726,[0.1 0.1]
アイカ工業,2020,Q4,65.28608008829465,[0.1 0.1]
アイコム,2018,Q1,19.39976468702025,[1.e+03 1.e-01]
アイコム,2018,Q2,24.061134882465616,[1.e+03 1.e-01]
アイコム,2018,Q3,25.598269754755677,[1.e+03 1.e-01]
アイコム,2018,Q4,95.02997369416738,[1.e+03 1.e-01]
アイコム,2019,Q1,4.979484233344671,[1.e+03 1.e-01]
アイコム,2019,Q2,17.243268989816293,[1.e+03 1.e-01]
アイコム,2019,Q3,37.94665851332692,[1.e+03 1.e-01]
アイコム,2019,Q4,59.9225309918986,[1.e+03 1.e-01]
アイコム,2020,Q1,-2.5606686941807197,[1.e+03 1.e-01]
アイコム,2020,Q2,6.454573273675457,[1.e+03 1.e-01]
アイコム,2020,Q3,20.411213635046142,[1.e+03 1.e-01]
アイコム,2020,Q4,48.11281618030468,[1.e+03 1.e-01]
アイシン,2018,Q1,171.58487525590346,[100.    0.3]
アイシン,2018,Q2,52.59242402005967,[100.    0.3]
アイシン,2018,Q3,99.7670616490239,[100.    0.3]
アイシン,2018,Q4,122.90736248668803,[100.    0.3]
アイシン,2019,Q1,122.65512061121488,[100.    0.3]
アイシン,2019,Q2,-8.046260917351741,[100.    0.3]
アイシン,2019,Q3,55.46642764393357,[100.    0.3]
アイシン,2019,Q4,20.329467230737208,[100.    0.3]
アイシン,2020,Q1,-176.2733223080719,[100.    0.3]
アイシン,2020,Q2,84.4975146194942,[100.    0.3]
アイシン,2020,Q3,202.448786174002,[100.    0.3]
アイシン,2020,Q4,89.70017734112425,[100.    0.3]
アイダエンジニアリング,2018,Q1,24.98591835629842,[1. 1.]
アイダエンジニアリング,2018,Q2,10.091927215985876,[1. 1.]
アイダエンジニアリング,2018,Q3,5.894219705279639,[1. 1.]
アイダエンジニアリング,2018,Q4,21.339912933872732,[1. 1.]
アイダエンジニアリング,2019,Q1,11.174504462584585,[1. 1.]
アイダエンジニアリング,2019,Q2,21.20673505439136,[1. 1.]
アイダエンジニアリング,2019,Q3,16.596311031258658,[1. 1.]
アイダエンジニアリング,2019,Q4,26.15742570174822,[1. 1.]
アイダエンジニアリング,2020,Q1,4.202749749726352,[1. 1.]
アイダエンジニアリング,2020,Q2,19.71887468229913,[1. 1.]
アイダエンジニアリング,2020,Q3,12.535936735381087,[1. 1.]
アイダエンジニアリング,2020,Q4,26.177600424259204,[1. 1.]
アイチコーポレーション,2018,Q1,5.359387517914088,[10.   0.1]
アイチコーポレーション,2018,Q2,19.69222551536435,[10.   0.1]
アイチコーポレーション,2018,Q3,18.2590345851891,[10.   0.1]
アイチコーポレーション,2018,Q4,22.821344602198785,[10.   0.1]
アイチコーポレーション,2019,Q1,11.607618141452836,[10.   0.1]
アイチコーポレーション,2019,Q2,19.21386478420974,[10.   0.1]
アイチコーポレーション,2019,Q3,9.895976715727697,[10.   0.1]
アイチコーポレーション,2019,Q4,18.591314139591283,[10.   0.1]
アイチコーポレーション,2020,Q1,9.715708872480056,[10.   0.1]
アイチコーポレーション,2020,Q2,17.15973715742563,[10.   0.1]
アイチコーポレーション,2020,Q3,13.015586933761844,[10.   0.1]
アイチコーポレーション,2020,Q4,22.138506656330907,[10.   0.1]
アイティフォー,2018,Q1,3.2944800240797907,[10.   0.5]
アイティフォー,2018,Q2,6.080540677030456,[10.   0.5]
アイティフォー,2018,Q3,6.959877336044322,[10.   0.5]
アイティフォー,2018,Q4,20.147141430822714,[10.   0.5]
