企業名,会計年度,四半期,y_hat_msvm
わかもと製薬,2018,Q1,-0.0070967240753835314
わかもと製薬,2018,Q2,0.48559421760645594
わかもと製薬,2018,Q3,0.07148982284669658
わかもと製薬,2018,Q4,0.12645184428997402
わかもと製薬,2019,Q1,0.02053906143533757
わかもと製薬,2019,Q2,-0.34647849619570803
わかもと製薬,2019,Q3,-0.24977805324998092
わかもと製薬,2019,Q4,0.33089762721355165
わかもと製薬,2020,Q1,0.08974633216580774
わかもと製薬,2020,Q2,0.5308633808438491
わかもと製薬,2020,Q3,0.8766025508065362
わかもと製薬,2020,Q4,0.8241522659262194
アイカ工業,2018,Q1,38.072166020602204
アイカ工業,2018,Q2,38.55416135755086
アイカ工業,2018,Q3,38.98351265488811
アイカ工業,2018,Q4,39.459477905506496
アイカ工業,2019,Q1,39.83147222551763
アイカ工業,2019,Q2,40.8394761824478
アイカ工業,2019,Q3,41.674443886929176
アイカ工業,2019,Q4,41.941099474317056
アイカ工業,2020,Q1,41.43781907354955
アイカ工業,2020,Q2,41.013062700220125
アイカ工業,2020,Q3,40.88716361789387
アイカ工業,2020,Q4,41.05047333587945
アイコム,2018,Q1,14.80088425980309
アイコム,2018,Q2,16.55467412455392
アイコム,2018,Q3,16.368831799563964
アイコム,2018,Q4,18.214200447826798
アイコム,2019,Q1,17.833107486707696
アイコム,2019,Q2,17.81678859021967
アイコム,2019,Q3,17.50175820689927
アイコム,2019,Q4,17.730534809288557
アイコム,2020,Q1,16.780642788086052
アイコム,2020,Q2,16.662420886362558
アイコム,2020,Q3,16.053970185550945
アイコム,2020,Q4,18.295531152090597
アイシン,2018,Q1,87.64303935903739
アイシン,2018,Q2,88.70737630354961
アイシン,2018,Q3,89.8842387838892
アイシン,2018,Q4,88.6365668469815
アイシン,2019,Q1,89.4049193670813
アイシン,2019,Q2,87.77412852261125
アイシン,2019,Q3,86.65884943904678
アイシン,2019,Q4,85.88274070172086
アイシン,2020,Q1,84.1078446427517
アイシン,2020,Q2,83.0723198471371
アイシン,2020,Q3,85.02122492862115
アイシン,2020,Q4,87.78762816808191
アイダエンジニアリング,2018,Q1,16.81178303396548
アイダエンジニアリング,2018,Q2,16.283194140306165
アイダエンジニアリング,2018,Q3,15.883831353522933
アイダエンジニアリング,2018,Q4,16.95589272137742
アイダエンジニアリング,2019,Q1,17.08439369913565
アイダエンジニアリング,2019,Q2,17.08134258690113
アイダエンジニアリング,2019,Q3,17.139042115901276
アイダエンジニアリング,2019,Q4,17.159394327647153
アイダエンジニアリング,2020,Q1,17.016303140375754
アイダエンジニアリング,2020,Q2,16.895661160815955
アイダエンジニアリング,2020,Q3,16.75024412991249
アイダエンジニアリング,2020,Q4,16.811487753403913
アイチコーポレーション,2018,Q1,9.549354982604388
アイチコーポレーション,2018,Q2,10.719102741860137
アイチコーポレーション,2018,Q3,10.952278614536292
アイチコーポレーション,2018,Q4,12.679636409249282
アイチコーポレーション,2019,Q1,11.792973580618366
アイチコーポレーション,2019,Q2,14.047149214354773
