企業名,会計年度,四半期,y_hat_men
きんでん,2018,Q1,7.234871863879352
きんでん,2018,Q2,27.35461927468916
きんでん,2018,Q3,34.89597717431114
きんでん,2018,Q4,70.11438384470625
きんでん,2019,Q1,15.245522898611338
きんでん,2019,Q2,31.624116741094078
きんでん,2019,Q3,42.96006351851576
きんでん,2019,Q4,66.3331908797768
きんでん,2020,Q1,14.670883923200355
きんでん,2020,Q2,35.356239406861164
きんでん,2020,Q3,42.58530027469611
きんでん,2020,Q4,67.57277777405423
さくらインターネット,2018,Q1,7.352512182485171
さくらインターネット,2018,Q2,-3.668052179921517
さくらインターネット,2018,Q3,14.516063504378272
さくらインターネット,2018,Q4,19.02041107042685
さくらインターネット,2019,Q1,12.47789899963514
さくらインターネット,2019,Q2,3.996433100860159
さくらインターネット,2019,Q3,1.562865305824822
さくらインターネット,2019,Q4,8.32196935081241
さくらインターネット,2020,Q1,5.771239818417673
さくらインターネット,2020,Q2,1.0058037681993095
さくらインターネット,2020,Q3,3.542358595958582
さくらインターネット,2020,Q4,6.07238890315547
たけびし,2018,Q1,41.04648753954389
たけびし,2018,Q2,42.60121586735406
たけびし,2018,Q3,45.25856979870369
たけびし,2018,Q4,36.42950253447624
たけびし,2019,Q1,28.001040485536304
たけびし,2019,Q2,37.74511749806882
たけびし,2019,Q3,28.81150915870097
たけびし,2019,Q4,31.81116128135356
たけびし,2020,Q1,21.30323638371472
たけびし,2020,Q2,21.522348854661207
たけびし,2020,Q3,20.56283197560851
たけびし,2020,Q4,32.15014319429593
なとり,2018,Q1,22.14265389326866
なとり,2018,Q2,25.42732043115284
なとり,2018,Q3,63.27912110340685
なとり,2018,Q4,-15.145293462746707
なとり,2019,Q1,17.15679678868076
なとり,2019,Q2,30.02900947480832
なとり,2019,Q3,52.8569409586247
なとり,2019,Q4,-15.31715630482426
なとり,2020,Q1,21.58456210046673
なとり,2020,Q2,30.275965660048183
なとり,2020,Q3,84.91806122703
なとり,2020,Q4,-13.02575914118458
はせがわ,2018,Q1,-10.02441797258983
はせがわ,2018,Q2,24.64708141080412
はせがわ,2018,Q3,-4.450892036727609
はせがわ,2018,Q4,-3.262179134263548
はせがわ,2019,Q1,-21.915537400007597
はせがわ,2019,Q2,21.49212020883928
はせがわ,2019,Q3,-22.12615807352577
はせがわ,2019,Q4,-30.94553036776142
はせがわ,2020,Q1,-21.39568728396634
はせがわ,2020,Q2,10.869254237285702
はせがわ,2020,Q3,-0.2627501640837693
はせがわ,2020,Q4,4.413836906197702
はるやまホールディングス,2018,Q1,12.342043212268123
はるやまホールディングス,2018,Q2,-38.91490749073387
はるやまホールディングス,2018,Q3,31.35677552171273
はるやまホールディングス,2018,Q4,73.64369205272155
はるやまホールディングス,2019,Q1,-17.541359698275386
はるやまホールディングス,2019,Q2,-1.061337323500254
はるやまホールディングス,2019,Q3,11.273795115324448
はるやまホールディングス,2019,Q4,4.8138152341769
はるやまホールディングス,2020,Q1,-97.2335234588826
はるやまホールディングス,2020,Q2,-100.78675600387008
はるやまホールディングス,2020,Q3,-8.871682351145452
はるやまホールディングス,2020,Q4,-49.460592292155184
ぴあ,2018,Q1,35.7851381471124
ぴあ,2018,Q2,9.61234705334066
ぴあ,2018,Q3,7.323253653713275
ぴあ,2018,Q4,8.47941607241646
ぴあ,2019,Q1,5.929182629538599
ぴあ,2019,Q2,24.47210300270583
ぴあ,2019,Q3,-19.466154282705105
ぴあ,2019,Q4,21.05518089477545
ぴあ,2020,Q1,-193.4023494241988
ぴあ,2020,Q2,-113.85706361625498
ぴあ,2020,Q3,-3.91134536234917
ぴあ,2020,Q4,-54.01844122642008
やまや,2018,Q1,94.99561975088191
やまや,2018,Q2,88.37844205492534
やまや,2018,Q3,179.26067589065656
やまや,2018,Q4,56.16330479380966
やまや,2019,Q1,74.7639592079089
やまや,2019,Q2,16.224840175130232
やまや,2019,Q3,134.72875223826009
やまや,2019,Q4,-24.89114148053264
やまや,2020,Q1,-171.89832161101475
やまや,2020,Q2,40.16946273967957
やまや,2020,Q3,-115.12865306323692
やまや,2020,Q4,-218.3514792831168
りらいあコミュニケーションズ,2018,Q1,10.158375655688552
りらいあコミュニケーションズ,2018,Q2,10.558856252070296
りらいあコミュニケーションズ,2018,Q3,11.068852144724854
りらいあコミュニケーションズ,2018,Q4,19.263322212259705
りらいあコミュニケーションズ,2019,Q1,-536.4603224935539
りらいあコミュニケーションズ,2019,Q2,57.62022995956589
りらいあコミュニケーションズ,2019,Q3,-558.0282719048442
りらいあコミュニケーションズ,2019,Q4,-661.7762368873796
りらいあコミュニケーションズ,2020,Q1,30.041077981719184
りらいあコミュニケーションズ,2020,Q2,92.27638690438556
りらいあコミュニケーションズ,2020,Q3,50.5326034711686
りらいあコミュニケーションズ,2020,Q4,-32.57093235614124
わかもと製薬,2018,Q1,4.225484209391588
わかもと製薬,2018,Q2,-1.8768056772417336
わかもと製薬,2018,Q3,2.2240226910810925
わかもと製薬,2018,Q4,-3.6073437832638326
わかもと製薬,2019,Q1,-5.281316302211913
わかもと製薬,2019,Q2,-19.37730892588334
わかもと製薬,2019,Q3,-14.166660355121325
わかもと製薬,2019,Q4,-4.517437374232461
わかもと製薬,2020,Q1,-9.867002037323855
わかもと製薬,2020,Q2,-11.176572030347051
わかもと製薬,2020,Q3,17.672408038616723
わかもと製薬,2020,Q4,-10.391251559431566
アイカ工業,2018,Q1,48.853113481889785
アイカ工業,2018,Q2,54.92110136854097
アイカ工業,2018,Q3,64.75643911152926
アイカ工業,2018,Q4,55.56154449921306
アイカ工業,2019,Q1,47.3206015306907
アイカ工業,2019,Q2,51.30362963519977
アイカ工業,2019,Q3,50.54632748302253
アイカ工業,2019,Q4,52.455257955381576
アイカ工業,2020,Q1,41.15756276478525
アイカ工業,2020,Q2,39.5919945203265
アイカ工業,2020,Q3,55.61273178758479
アイカ工業,2020,Q4,52.64121875125896
アイコム,2018,Q1,15.399049602048535
アイコム,2018,Q2,35.37497078143832
アイコム,2018,Q3,68.25946141194606
アイコム,2018,Q4,144.96694016457977
アイコム,2019,Q1,-30.40404805777136
アイコム,2019,Q2,70.08289585217524
アイコム,2019,Q3,52.468912837472445
アイコム,2019,Q4,35.76031123195264
アイコム,2020,Q1,-27.31290988698842
アイコム,2020,Q2,-43.444707211635375
アイコム,2020,Q3,56.77207882286409
アイコム,2020,Q4,75.83126107939702
アイシン,2018,Q1,242.70072277878847
アイシン,2018,Q2,19.056777572109624
アイシン,2018,Q3,89.90715270733348
アイシン,2018,Q4,155.622380394405
アイシン,2019,Q1,121.95190387788548
アイシン,2019,Q2,-43.78097164550911
アイシン,2019,Q3,8.808570055403536
アイシン,2019,Q4,-25.498880473729866
アイシン,2020,Q1,-265.2116254674037
アイシン,2020,Q2,162.28126031733302
アイシン,2020,Q3,216.00203459553268
アイシン,2020,Q4,157.33619099920168
アイダエンジニアリング,2018,Q1,24.097904309870504
アイダエンジニアリング,2018,Q2,8.952486738531334
アイダエンジニアリング,2018,Q3,4.0249021579750845
アイダエンジニアリング,2018,Q4,21.497837231129672
アイダエンジニアリング,2019,Q1,10.230014601809764
アイダエンジニアリング,2019,Q2,19.44284165085419
アイダエンジニアリング,2019,Q3,15.882847503282417
アイダエンジニアリング,2019,Q4,26.7872339730923
アイダエンジニアリング,2020,Q1,5.559658074527828
アイダエンジニアリング,2020,Q2,22.31899817300572
アイダエンジニアリング,2020,Q3,13.193598941081977
アイダエンジニアリング,2020,Q4,27.60220985921377
アイチコーポレーション,2018,Q1,5.801213659998368
アイチコーポレーション,2018,Q2,18.284783542904083
アイチコーポレーション,2018,Q3,22.263639601279703
アイチコーポレーション,2018,Q4,24.35216835397033
アイチコーポレーション,2019,Q1,15.568744043386149
アイチコーポレーション,2019,Q2,18.31088418469829
アイチコーポレーション,2019,Q3,5.00787549719062
アイチコーポレーション,2019,Q4,20.040799250154155
アイチコーポレーション,2020,Q1,11.69873132084754
アイチコーポレーション,2020,Q2,16.690799343367004
アイチコーポレーション,2020,Q3,14.7374725871338
アイチコーポレーション,2020,Q4,24.160300708036942
アイティフォー,2018,Q1,4.818729048049869
アイティフォー,2018,Q2,6.6176678018704695
アイティフォー,2018,Q3,9.173369648375155
アイティフォー,2018,Q4,23.60270581110156
アイティフォー,2019,Q1,4.911316565244443
