企業名,会計年度,四半期,y_hat_mlgb
アイホン,2020,Q4,30.916666359537178
アイロムグループ,2018,Q1,23.850624355177086
アイロムグループ,2018,Q2,26.89756878796551
アイロムグループ,2018,Q3,33.596457566652035
アイロムグループ,2018,Q4,42.80701296114259
アイロムグループ,2019,Q1,48.297013050152195
アイロムグループ,2019,Q2,46.68812407967117
アイロムグループ,2019,Q3,43.97479071136978
アイロムグループ,2019,Q4,42.13645736955934
アイロムグループ,2020,Q1,44.50312400443686
アイロムグループ,2020,Q2,41.81923505249951
アイロムグループ,2020,Q3,54.30590141399039
アイロムグループ,2020,Q4,72.22979089203808
アキレス,2018,Q1,7.0439387365347805
アキレス,2018,Q2,7.679494300236304
アキレス,2018,Q3,8.211994308564398
アキレス,2018,Q4,7.416994311743313
アキレス,2019,Q1,7.506716534081432
アキレス,2019,Q2,8.000327651699385
アキレス,2019,Q3,8.515605448020828
アキレス,2019,Q4,9.57421653634972
アキレス,2020,Q1,10.630049869418144
アキレス,2020,Q2,13.686716551582018
アキレス,2020,Q3,14.463938794202274
アキレス,2020,Q4,15.296161020795504
アクシアル　リテイリング,2018,Q1,37.742778066131805
アクシアル　リテイリング,2018,Q2,38.79638913273811
アクシアル　リテイリング,2018,Q3,40.26500021417936
アクシアル　リテイリング,2018,Q4,41.41138900982009
アクシアル　リテイリング,2019,Q1,43.192222360107635
アクシアル　リテイリング,2019,Q2,45.405555701918075
アクシアル　リテイリング,2019,Q3,46.499166783359314
アクシアル　リテイリング,2019,Q4,47.57305556204584
アクシアル　リテイリング,2020,Q1,48.60916670494609
アクシアル　リテイリング,2020,Q2,51.17444438735644
アクシアル　リテイリング,2020,Q3,52.97833323809836
アクシアル　リテイリング,2020,Q4,55.038055396742294
アクセル,2018,Q1,259.3238987558418
アクセル,2018,Q2,17.92138906651073
アクセル,2018,Q3,15.519166751040352
アクセル,2018,Q4,11.029166767994562
アクセル,2019,Q1,8.90722226103147
アクセル,2019,Q2,8.746388932069143
アクセル,2019,Q3,8.170833395587074
アクセル,2019,Q4,7.923333399825626
アクセル,2020,Q1,7.7319444749090405
アクセル,2020,Q2,8.16138889392217
アクセル,2020,Q3,7.473055568006304
アクセル,2020,Q4,6.811944451597002
アジアパイルホールディングス,2018,Q1,9.01805556151602
アジアパイルホールディングス,2018,Q2,9.758611126078499
アジアパイルホールディングス,2018,Q3,10.498055573966768
アジアパイルホールディングス,2018,Q4,11.329444471332762
アジアパイルホールディングス,2019,Q1,12.01444446709421
アジアパイルホールディングス,2019,Q2,12.817777789301342
アジアパイルホールディングス,2019,Q3,14.927777816851934
アジアパイルホールディングス,2019,Q4,15.755277789301342
アジアパイルホールディングス,2020,Q1,16.342777805195915
アジアパイルホールディングス,2020,Q2,17.245000031259323
アジアパイルホールディングス,2020,Q3,17.590000046624077
アジアパイルホールディングス,2020,Q4,17.489444520738388
アステラス製薬,2018,Q1,36.43894889619615
アステラス製薬,2018,Q2,34.60672669940524
アステラス製薬,2018,Q3,32.98200453652276
アステラス製薬,2018,Q4,32.307282288869224
アステラス製薬,2019,Q1,32.38367117775811
アステラス製薬,2019,Q2,30.87200461493598
アステラス製薬,2019,Q3,31.637282424502903
アステラス製薬,2019,Q4,30.42700454923842
アステラス製薬,2020,Q1,31.19950454764896
アステラス製薬,2020,Q2,30.440893398390877
アステラス製薬,2020,Q3,29.201171146498787
アステラス製薬,2020,Q4,27.256448970900642
アズビル,2018,Q1,32.21277776360512
アズビル,2018,Q2,33.541944440868164
アズビル,2018,Q3,34.52432896362411
アズビル,2018,Q4,35.67516228556633
アズビル,2019,Q1,34.64293996161885
アズビル,2019,Q2,35.143773287534714
アズビル,2019,Q3,35.32988436685668
アズビル,2019,Q4,35.88405105471611
アズビル,2020,Q1,35.58793994784355
アズビル,2020,Q2,36.21516215470102
アズビル,2020,Q3,35.881828874349594
アズビル,2020,Q4,36.70571773250898
アズワン,2018,Q1,45.766110844082306
アズワン,2018,Q2,46.59611076778836
アズワン,2018,Q3,47.2572218577067
アズワン,2018,Q4,48.20777734120687
アズワン,2019,Q1,49.689166174994575
アズワン,2019,Q2,50.63749959733751
アズワン,2019,Q3,52.144721772935654
アズワン,2019,Q4,53.14222187466092
アズワン,2020,Q1,54.99555524190267
アズワン,2020,Q2,55.82527754041884
アズワン,2020,Q3,57.00555525885688
アズワン,2020,Q4,57.50694412655301
アツギ,2018,Q1,1.2128605018887255
アツギ,2018,Q2,0.8014716112779247
アツギ,2018,Q3,1.2220271747145388
アツギ,2018,Q4,1.2745271776285436
アツギ,2019,Q1,-4.191861730068922
アツギ,2019,Q2,-4.656861727022463
アツギ,2019,Q3,-4.6338061735861835
アツギ,2019,Q4,-12.952695129232275
アツギ,2020,Q1,-14.622972906877598
アツギ,2020,Q2,-16.095750684953398
アツギ,2020,Q3,-15.77491734508011
アツギ,2020,Q4,-16.556861778928173
アドウェイズ,2018,Q1,785.9450084842327
アドウェイズ,2018,Q2,736.620840596863
アドウェイズ,2018,Q3,689.5908415460339
アドウェイズ,2018,Q4,706.1413977090269
アドウェイズ,2019,Q1,644.4827892989334
アドウェイズ,2019,Q2,606.5519558267874
アドウェイズ,2019,Q3,551.8050107039097
アドウェイズ,2019,Q4,531.0877886822241
アドウェイズ,2020,Q1,480.2119564291918
