企業名,会計年度,四半期,y_hat_mmlp
アキレス,2019,Q1,17.664633
アキレス,2019,Q2,9.639124
アキレス,2019,Q3,-20.986458
アキレス,2019,Q4,20.551008
アキレス,2020,Q1,25.759907
アキレス,2020,Q2,70.30095
アキレス,2020,Q3,-6.969232
アキレス,2020,Q4,14.44261
アクシアル　リテイリング,2018,Q1,58.50577
アクシアル　リテイリング,2018,Q2,63.491524
アクシアル　リテイリング,2018,Q3,81.52099
アクシアル　リテイリング,2018,Q4,53.22798
アクシアル　リテイリング,2019,Q1,69.14418
アクシアル　リテイリング,2019,Q2,74.63814
アクシアル　リテイリング,2019,Q3,74.028786
アクシアル　リテイリング,2019,Q4,65.45852
アクシアル　リテイリング,2020,Q1,66.45274
アクシアル　リテイリング,2020,Q2,81.29231
アクシアル　リテイリング,2020,Q3,99.166595
アクシアル　リテイリング,2020,Q4,68.08178
アクセル,2018,Q1,27.555279
アクセル,2018,Q2,2.6433957
アクセル,2018,Q3,12.098747
アクセル,2018,Q4,67.58583
アクセル,2019,Q1,17.32534
アクセル,2019,Q2,17.21372
アクセル,2019,Q3,30.403751
アクセル,2019,Q4,9.710176
アクセル,2020,Q1,16.591429
アクセル,2020,Q2,47.260136
アクセル,2020,Q3,47.306038
アクセル,2020,Q4,-25.603014
アジアパイルホールディングス,2018,Q1,3.2429278
アジアパイルホールディングス,2018,Q2,20.327509
アジアパイルホールディングス,2018,Q3,30.531065
アジアパイルホールディングス,2018,Q4,38.348602
アジアパイルホールディングス,2019,Q1,17.087427
アジアパイルホールディングス,2019,Q2,21.90899
アジアパイルホールディングス,2019,Q3,22.079376
アジアパイルホールディングス,2019,Q4,14.199672
アジアパイルホールディングス,2020,Q1,11.656264
アジアパイルホールディングス,2020,Q2,15.0068655
アジアパイルホールディングス,2020,Q3,15.57241
アジアパイルホールディングス,2020,Q4,15.994829
アステラス製薬,2018,Q1,21.156965
アステラス製薬,2018,Q2,26.845736
アステラス製薬,2018,Q3,23.038643
アステラス製薬,2018,Q4,13.200026
アステラス製薬,2019,Q1,23.841915
アステラス製薬,2019,Q2,22.390015
アステラス製薬,2019,Q3,26.787361
アステラス製薬,2019,Q4,18.12821
アステラス製薬,2020,Q1,22.77897
アステラス製薬,2020,Q2,35.388992
アステラス製薬,2020,Q3,33.184586
アステラス製薬,2020,Q4,8.219907
アズビル,2018,Q1,23.184704
アズビル,2018,Q2,35.33425
アズビル,2018,Q3,47.11725
アズビル,2018,Q4,96.25956
アズビル,2019,Q1,84.47938
アズビル,2019,Q2,52.420162
アズビル,2019,Q3,9.875466
アズビル,2019,Q4,26.434599
アズビル,2020,Q1,18.949377
アズビル,2020,Q2,31.238733
アズビル,2020,Q3,29.159357
アズビル,2020,Q4,35.328125
アズワン,2018,Q1,40.1381
アズワン,2018,Q2,42.95274
アズワン,2018,Q3,65.258644
アズワン,2018,Q4,40.305393
アズワン,2019,Q1,70.90107
アズワン,2019,Q2,66.23795
アズワン,2019,Q3,103.6238
アズワン,2019,Q4,79.523026
アズワン,2020,Q1,66.98294
アズワン,2020,Q2,112.35134
アズワン,2020,Q3,52.855003
アズワン,2020,Q4,63.698986
アツギ,2018,Q1,6.6350594
アツギ,2018,Q2,2.3361535
アツギ,2018,Q3,16.599377
アツギ,2018,Q4,6.682192
アツギ,2019,Q1,-70.47254
アツギ,2019,Q2,-36.884594
アツギ,2019,Q3,5.611866
アツギ,2019,Q4,-169.53917
アツギ,2020,Q1,31.540794
アツギ,2020,Q2,-84.81162
アツギ,2020,Q3,-140.0683
アツギ,2020,Q4,-156.58588
アドウェイズ,2018,Q1,1.5519372
アドウェイズ,2018,Q2,0.58164066
アドウェイズ,2018,Q3,4.504194
アドウェイズ,2018,Q4,-7.1701703
アドウェイズ,2019,Q1,10.975777
アドウェイズ,2019,Q2,-22.568657
アドウェイズ,2019,Q3,51.16052
アドウェイズ,2019,Q4,4.1147904
アドウェイズ,2020,Q1,9.844936
アドウェイズ,2020,Q2,5.1194425
アドウェイズ,2020,Q3,2.2705297
アドウェイズ,2020,Q4,33.173126
アドソル日進,2018,Q1,21.363304
アドソル日進,2018,Q2,13.614568
アドソル日進,2018,Q3,29.730421
アドソル日進,2018,Q4,17.72686
アドソル日進,2019,Q1,20.980164
アドソル日進,2019,Q2,24.734777
アドソル日進,2019,Q3,17.454407
アドソル日進,2019,Q4,17.487583
アドソル日進,2020,Q1,19.126726
アドソル日進,2020,Q2,24.667212
アドソル日進,2020,Q3,25.789751
アドソル日進,2020,Q4,22.17442
アドバネクス,2018,Q1,3.5274649
アドバネクス,2018,Q2,-13.295997
アドバネクス,2018,Q3,2.8194015
