企業名,会計年度,四半期,y_hat
さくらインターネット,2020,Q3,4.114037154120019
さくらインターネット,2020,Q4,6.877018287723015
たけびし,2018,Q1,41.751215346204255
たけびし,2018,Q2,42.59326454864794
たけびし,2018,Q3,45.47793362257839
たけびし,2018,Q4,37.56780474350319
たけびし,2019,Q1,31.227310603622616
たけびし,2019,Q2,37.42555681720819
たけびし,2019,Q3,30.980385888807564
たけびし,2019,Q4,19.29131441778702
たけびし,2020,Q1,23.050349932720394
たけびし,2020,Q2,27.542034747156208
たけびし,2020,Q3,22.487261702442538
たけびし,2020,Q4,28.38584196467741
なとり,2018,Q1,24.259842906868446
なとり,2018,Q2,25.023355219900616
なとり,2018,Q3,63.88317794582214
なとり,2018,Q4,-18.56048610782958
なとり,2019,Q1,17.487894964007882
なとり,2019,Q2,26.59284742601697
なとり,2019,Q3,60.54214973386689
なとり,2019,Q4,-14.638165362688214
なとり,2020,Q1,25.838380586622225
なとり,2020,Q2,27.785311268312654
なとり,2020,Q3,85.37656073821336
なとり,2020,Q4,-13.413124608186113
はせがわ,2018,Q1,-7.7240681064132275
はせがわ,2018,Q2,22.55386433936794
はせがわ,2018,Q3,-1.908264085155004
はせがわ,2018,Q4,2.7237582883570255
はせがわ,2019,Q1,-23.910292569349934
はせがわ,2019,Q2,18.800468548233226
はせがわ,2019,Q3,-23.48786246604584
はせがわ,2019,Q4,-41.96867031037752
はせがわ,2020,Q1,-22.012214073404948
はせがわ,2020,Q2,9.45673704149803
はせがわ,2020,Q3,-0.23635465451101823
はせがわ,2020,Q4,3.5012788902463114
はるやまホールディングス,2018,Q1,1.6482061582919698
はるやまホールディングス,2018,Q2,-17.886484460279718
はるやまホールディングス,2018,Q3,34.77277069066969
はるやまホールディングス,2018,Q4,74.238898976012
はるやまホールディングス,2019,Q1,-14.065372110538817
はるやまホールディングス,2019,Q2,-21.002051132494458
はるやまホールディングス,2019,Q3,-2.024573973520525
はるやまホールディングス,2019,Q4,25.870604476329177
はるやまホールディングス,2020,Q1,-67.88772504025373
はるやまホールディングス,2020,Q2,-94.7186636165473
はるやまホールディングス,2020,Q3,-39.49965419580016
はるやまホールディングス,2020,Q4,-51.879608214532084
ぴあ,2018,Q1,30.72045456466848
ぴあ,2018,Q2,10.652011036207616
ぴあ,2018,Q3,8.094934631173356
ぴあ,2018,Q4,10.126170785995427
ぴあ,2019,Q1,5.348942447565511
ぴあ,2019,Q2,22.398323337032217
ぴあ,2019,Q3,-20.4033969980281
ぴあ,2019,Q4,21.57892221120411
ぴあ,2020,Q1,-160.9204850370649
ぴあ,2020,Q2,-109.88058051332742
ぴあ,2020,Q3,27.75246331656463
ぴあ,2020,Q4,-46.3940845465017
やまや,2018,Q1,84.94442339524042
やまや,2018,Q2,85.07953395484569
やまや,2018,Q3,174.54441772103442
やまや,2018,Q4,112.07706073202553
やまや,2019,Q1,67.78771413054004
やまや,2019,Q2,51.20524735065304
やまや,2019,Q3,130.74227744172006
やまや,2019,Q4,-21.310031111063267
やまや,2020,Q1,-180.61670204204034
やまや,2020,Q2,83.8079894749516
やまや,2020,Q3,-83.14330389071739
やまや,2020,Q4,-239.03005004517934
りらいあコミュニケーションズ,2018,Q1,11.247447268174138
りらいあコミュニケーションズ,2018,Q2,11.023681748471358
りらいあコミュニケーションズ,2018,Q3,11.086042990155724
りらいあコミュニケーションズ,2018,Q4,17.964933747362902
りらいあコミュニケーションズ,2019,Q1,-224.6456738363307
りらいあコミュニケーションズ,2019,Q2,102.20253708694486
りらいあコミュニケーションズ,2019,Q3,-225.04440465485908
りらいあコミュニケーションズ,2019,Q4,289.59135961012197
りらいあコミュニケーションズ,2020,Q1,5.4723224023743295
りらいあコミュニケーションズ,2020,Q2,22.613795697499967
りらいあコミュニケーションズ,2020,Q3,9.70329702619673
りらいあコミュニケーションズ,2020,Q4,-18.62964784631987
わかもと製薬,2018,Q1,1.5860473690354864
わかもと製薬,2018,Q2,0.8215974800992711
わかもと製薬,2018,Q3,2.704765333228419
わかもと製薬,2018,Q4,-3.013289110471028
わかもと製薬,2019,Q1,-8.129478407630936
わかもと製薬,2019,Q2,-26.688909671358086
わかもと製薬,2019,Q3,-26.697150172218777
わかもと製薬,2019,Q4,-31.966089158919004
わかもと製薬,2020,Q1,-12.715106698971809
わかもと製薬,2020,Q2,-9.953909120376153
わかもと製薬,2020,Q3,1.363300214130354
わかもと製薬,2020,Q4,-4.330869695951471
アイカ工業,2018,Q1,48.961626039288866
アイカ工業,2018,Q2,47.86273584349624
アイカ工業,2018,Q3,54.75177880590438
アイカ工業,2018,Q4,54.14959303440597
アイカ工業,2019,Q1,53.778041189631885
アイカ工業,2019,Q2,52.353785274144094
アイカ工業,2019,Q3,56.942223017182584
アイカ工業,2019,Q4,52.97672485713591
アイカ工業,2020,Q1,41.17888010584081
アイカ工業,2020,Q2,37.90462854645269
アイカ工業,2020,Q3,47.896502161330474
アイカ工業,2020,Q4,45.86518465139386
アイコム,2018,Q1,12.576308015036005
アイコム,2018,Q2,24.595822210716456
アイコム,2018,Q3,77.43407908437423
アイコム,2018,Q4,125.98390846848106
アイコム,2019,Q1,-13.26091500850248
アイコム,2019,Q2,-48.3477702736418
アイコム,2019,Q3,33.05623574342286
アイコム,2019,Q4,60.17860796924768
アイコム,2020,Q1,-19.569718505442815
アイコム,2020,Q2,-8.108255316843241
アイコム,2020,Q3,48.75498987741216
アイコム,2020,Q4,56.646741767664786
アイシン,2018,Q1,218.0794903342204
アイシン,2018,Q2,39.345793523639315
アイシン,2018,Q3,96.8371600795072
アイシン,2018,Q4,109.0714338742996
アイシン,2019,Q1,141.18209850246444
アイシン,2019,Q2,-20.86131913039327
アイシン,2019,Q3,36.30241236972037
アイシン,2019,Q4,1.1413155492679934
アイシン,2020,Q1,-250.8582992947134
アイシン,2020,Q2,161.29875477417676
アイシン,2020,Q3,211.67188765612974
アイシン,2020,Q4,136.7616614531043
アイダエンジニアリング,2018,Q1,19.80340040968862
アイダエンジニアリング,2018,Q2,10.02091234150133
アイダエンジニアリング,2018,Q3,6.525876043510905
アイダエンジニアリング,2018,Q4,23.744524993342786
アイダエンジニアリング,2019,Q1,15.383982060233887
アイダエンジニアリング,2019,Q2,21.89872649619478
アイダエンジニアリング,2019,Q3,17.90982231318285
アイダエンジニアリング,2019,Q4,22.730370793761253
アイダエンジニアリング,2020,Q1,6.4019097216001475
アイダエンジニアリング,2020,Q2,18.045105271126573
アイダエンジニアリング,2020,Q3,10.33454184521408
アイダエンジニアリング,2020,Q4,21.013865890766905
アイチコーポレーション,2018,Q1,5.6735216055407935
アイチコーポレーション,2018,Q2,18.59177590425074
アイチコーポレーション,2018,Q3,22.605322580629405
アイチコーポレーション,2018,Q4,24.032195802469662
アイチコーポレーション,2019,Q1,14.424824282937696
アイチコーポレーション,2019,Q2,19.348596648432732
アイチコーポレーション,2019,Q3,2.7705380976303697
アイチコーポレーション,2019,Q4,20.415289371905455
アイチコーポレーション,2020,Q1,10.618572121294735
