企業名,会計年度,四半期,y_hat_ols2
ぴあ,2020,Q2,-136.12147607242366
ぴあ,2020,Q3,-129.28322048879235
ぴあ,2020,Q4,-5.721916447978174
りらいあコミュニケーションズ,2018,Q1,12.06374197953383
りらいあコミュニケーションズ,2018,Q2,10.826272178802569
りらいあコミュニケーションズ,2018,Q3,10.976717669683268
りらいあコミュニケーションズ,2018,Q4,14.683724467283568
りらいあコミュニケーションズ,2019,Q1,-140.2066924133522
りらいあコミュニケーションズ,2019,Q2,-11.145567244350758
りらいあコミュニケーションズ,2019,Q3,-20.29494459091136
りらいあコミュニケーションズ,2019,Q4,-411.7617549635843
りらいあコミュニケーションズ,2020,Q1,-1.044373104499316
りらいあコミュニケーションズ,2020,Q2,2.159563455578123
りらいあコミュニケーションズ,2020,Q3,5.174724843842
