企業名,会計年度,四半期,y_hat_men_i_tuned_simple
アジアパイルホールディングス,2018,Q4,12.19033995331305
アジアパイルホールディングス,2019,Q1,12.014444444444445
アジアパイルホールディングス,2019,Q2,12.817777777777778
アジアパイルホールディングス,2019,Q3,14.927777777777777
アジアパイルホールディングス,2019,Q4,15.755277777777776
アジアパイルホールディングス,2020,Q1,16.342777777777776
アジアパイルホールディングス,2020,Q2,17.245
アジアパイルホールディングス,2020,Q3,17.589999999999996
アジアパイルホールディングス,2020,Q4,17.489444444444445
アステラス製薬,2018,Q1,33.59991500789134
アステラス製薬,2018,Q2,27.36551742457666
アステラス製薬,2018,Q3,35.53779862264125
アステラス製薬,2018,Q4,16.17267002121168
アステラス製薬,2019,Q1,36.236748823607435
アステラス製薬,2019,Q2,26.64098818352811
アステラス製薬,2019,Q3,32.6185187199997
アステラス製薬,2019,Q4,14.429167126221989
アステラス製薬,2020,Q1,28.498248885473675
アステラス製薬,2020,Q2,34.44619668858638
アステラス製薬,2020,Q3,33.50061677865237
アステラス製薬,2020,Q4,13.138582655201905
アズビル,2018,Q1,15.235161523134323
アズビル,2018,Q2,47.03687968076957
アズビル,2018,Q3,-12.985504508644397
アズビル,2018,Q4,86.25857563028119
アズビル,2019,Q1,7.592181429530186
アズビル,2019,Q2,26.146708073794713
アズビル,2019,Q3,-2.852494049916487
アズビル,2019,Q4,35.41074957499842
アズビル,2020,Q1,6.908298282746365
アズビル,2020,Q2,29.602718637685605
アズビル,2020,Q3,34.1589121196372
アズビル,2020,Q4,50.7805765103483
アズワン,2018,Q1,70.87726989697474
アズワン,2018,Q2,62.12411773286577
アズワン,2018,Q3,66.27212314174284
アズワン,2018,Q4,77.96185204922024
アズワン,2019,Q1,73.3490489658364
アズワン,2019,Q2,64.21159802655679
アズワン,2019,Q3,70.20530624574928
アズワン,2019,Q4,80.1650383065922
アズワン,2020,Q1,77.98585795366117
アズワン,2020,Q2,70.80900585459067
アズワン,2020,Q3,86.76769227441187
アズワン,2020,Q4,87.21248272591366
アツギ,2018,Q1,1.2128605041937404
アツギ,2018,Q2,0.8014716153048512
アツギ,2018,Q3,1.2220271708604067
アツギ,2018,Q4,1.2745271708604067
アツギ,2019,Q1,-65.72136863225322
アツギ,2019,Q2,-40.920004242076054
アツギ,2019,Q3,-23.59306269699642
アツギ,2019,Q4,-66.21299459089772
アツギ,2020,Q1,-64.08111864841695
アツギ,2020,Q2,-153.7182737996975
アツギ,2020,Q3,-62.17261309613612
アツギ,2020,Q4,-56.970905584238515
アドウェイズ,2018,Q1,-2.0535212779675014
アドウェイズ,2018,Q2,-3.0274389820510716
アドウェイズ,2018,Q3,7.382697447592367
アドウェイズ,2018,Q4,-1.5228578350736899
アドウェイズ,2019,Q1,-8.039298578039554
アドウェイズ,2019,Q2,1.6302236623312587
アドウェイズ,2019,Q3,-0.8730418069091028
アドウェイズ,2019,Q4,-0.9731772475168623
アドウェイズ,2020,Q1,-8.4062196927505
アドウェイズ,2020,Q2,-7.904567169810102
アドウェイズ,2020,Q3,-0.9965019567838362
アドウェイズ,2020,Q4,3.3763566902656956
アドソル日進,2018,Q1,16.652734066491398
アドソル日進,2018,Q2,17.37104861236054
アドソル日進,2018,Q3,17.32852704277844
アドソル日進,2018,Q4,14.254267363438991
アドソル日進,2019,Q1,22.260993581724875
アドソル日進,2019,Q2,23.993277675332436
アドソル日進,2019,Q3,24.204771027121726
アドソル日進,2019,Q4,18.62672612408288
アドソル日進,2020,Q1,25.68673714414935
アドソル日進,2020,Q2,25.21335462118725
アドソル日進,2020,Q3,25.467587706132708
アドソル日進,2020,Q4,17.21988182381501
アドバネクス,2018,Q1,-0.1518077380935967
アドバネクス,2018,Q2,9.035605460647595
アドバネクス,2018,Q3,-5.374146622817412
アドバネクス,2018,Q4,-22.426643428748825
アドバネクス,2019,Q1,-15.331548528562474
アドバネクス,2019,Q2,-11.076176911635253
アドバネクス,2019,Q3,17.77246793499278
アドバネクス,2019,Q4,-12.756521395606013
アドバネクス,2020,Q1,-64.98333675207635
アドバネクス,2020,Q2,-53.96009846162101
アドバネクス,2020,Q3,-28.263501654346985
アドバネクス,2020,Q4,-42.82419973681593
アドバンテスト,2018,Q1,71.48477332925839
アドバンテスト,2018,Q2,79.20918292226605
アドバンテスト,2018,Q3,82.33118808340494
アドバンテスト,2018,Q4,50.60290359018074
アドバンテスト,2019,Q1,59.66266608459075
アドバンテスト,2019,Q2,78.57179595526789
