企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
なとり,2018,Q3,2,227,73,0.7043493390083313,"dict_items([('hidden_units', 240), ('learning_rate', 0.07223219138231796)])",8,"tensor(787.3899, grad_fn=<MseLossBackward>)",65.76,24.369349
なとり,2018,Q4,3,219,81,0.737880527973175,"dict_items([('hidden_units', 963), ('learning_rate', 0.011581840840134219)])",10,"tensor(816.2747, grad_fn=<MseLossBackward>)",-22.13,23.432508
なとり,2019,Q1,4,212,88,0.9638960957527161,"dict_items([('hidden_units', 864), ('learning_rate', 0.0042712800299685005)])",302,"tensor(84.3317, grad_fn=<MseLossBackward>)",13.46,32.858242
なとり,2019,Q2,5,144,156,0.9089682698249817,"dict_items([('hidden_units', 957), ('learning_rate', 0.008601578918083594)])",10,"tensor(789.6896, grad_fn=<MseLossBackward>)",22.43,21.530537
なとり,2019,Q3,6,189,111,0.5995745062828064,"dict_items([('hidden_units', 562), ('learning_rate', 0.04118278783172578)])",13,"tensor(811.3677, grad_fn=<MseLossBackward>)",60.8,13.8147135
なとり,2019,Q4,7,214,86,0.673934280872345,"dict_items([('hidden_units', 286), ('learning_rate', 0.0874301577710436)])",13,"tensor(832.0759, grad_fn=<MseLossBackward>)",-8.81,15.996835
なとり,2020,Q1,8,216,84,0.9726858735084534,"dict_items([('hidden_units', 970), ('learning_rate', 0.0016942251093290009)])",557,"tensor(34.4513, grad_fn=<MseLossBackward>)",23.99,19.047964
なとり,2020,Q2,9,206,94,0.9546838402748108,"dict_items([('hidden_units', 533), ('learning_rate', 0.00528803860244591)])",263,"tensor(290.2590, grad_fn=<MseLossBackward>)",32.72,22.71078
なとり,2020,Q3,10,164,136,0.8932206630706787,"dict_items([('hidden_units', 829), ('learning_rate', 0.007289464499155132)])",13,"tensor(762.3031, grad_fn=<MseLossBackward>)",97.8,24.962545
なとり,2020,Q4,11,185,115,0.9570216536521912,"dict_items([('hidden_units', 746), ('learning_rate', 0.005898443531293822)])",17,"tensor(909.0370, grad_fn=<MseLossBackward>)",-16.530643,24.04603
はせがわ,2018,Q1,0,229,71,0.7994230389595032,"dict_items([('hidden_units', 817), ('learning_rate', 0.00033468442427864203)])",2954,"tensor(0.6215, grad_fn=<MseLossBackward>)",-7.11,-6.099715
はせがわ,2018,Q2,1,262,38,0.8157597184181213,"dict_items([('hidden_units', 251), ('learning_rate', 2.37383243021634e-05)])",10000,"tensor(82.5767, grad_fn=<MseLossBackward>)",25.19,17.978401
はせがわ,2018,Q3,2,243,57,0.8122679591178894,"dict_items([('hidden_units', 474), ('learning_rate', 1.2911859951412553e-05)])",10000,"tensor(80.6749, grad_fn=<MseLossBackward>)",-5.23,1.6648117
はせがわ,2018,Q4,3,247,53,0.8007258772850037,"dict_items([('hidden_units', 105), ('learning_rate', 6.454292794785955e-05)])",10000,"tensor(76.9695, grad_fn=<MseLossBackward>)",-5.41,16.388372
はせがわ,2019,Q1,4,235,65,0.7859088778495789,"dict_items([('hidden_units', 707), ('learning_rate', 6.054022888154504e-05)])",7823,"tensor(3.7579, grad_fn=<MseLossBackward>)",-23.87,-8.829274
はせがわ,2019,Q2,5,258,42,0.8300150036811829,"dict_items([('hidden_units', 37), ('learning_rate', 1.682399292803856e-05)])",10000,"tensor(278.5963, grad_fn=<MseLossBackward>)",22.19,2.7984803
はせがわ,2019,Q3,6,256,44,0.8569760918617249,"dict_items([('hidden_units', 4), ('learning_rate', 0.00030850344382125114)])",10000,"tensor(218.7530, grad_fn=<MseLossBackward>)",-24.21,-0.05047846
はせがわ,2019,Q4,7,221,79,0.8428935408592224,"dict_items([('hidden_units', 1), ('learning_rate', 1.7834620666094253e-05)])",10000,"tensor(340.1471, grad_fn=<MseLossBackward>)",-35.57,0.8183445
はせがわ,2020,Q1,8,264,36,0.8750255703926086,"dict_items([('hidden_units', 287), ('learning_rate', 4.922916537973578e-05)])",10000,"tensor(56.9282, grad_fn=<MseLossBackward>)",-21.2,-13.565202
はせがわ,2020,Q2,9,247,53,0.8676669597625732,"dict_items([('hidden_units', 29), ('learning_rate', 0.00019531508984136687)])",10000,"tensor(161.7970, grad_fn=<MseLossBackward>)",26.24,13.191271
はせがわ,2020,Q3,10,273,27,0.9692063927650452,"dict_items([('hidden_units', 341), ('learning_rate', 6.403097246231332e-05)])",10000,"tensor(23.3032, grad_fn=<MseLossBackward>)",6.87,-20.883497
はせがわ,2020,Q4,11,163,137,0.9038975834846497,"dict_items([('hidden_units', 907), ('learning_rate', 0.008731001980224709)])",204,"tensor(32.8510, grad_fn=<MseLossBackward>)",-0.04,-10.33119
はるやまホールディングス,2018,Q1,0,240,60,0.7966492772102356,"dict_items([('hidden_units', 996), ('learning_rate', 0.0029531900573159533)])",276,"tensor(308.0220, grad_fn=<MseLossBackward>)",-19.79,1.4111123
はるやまホールディングス,2018,Q2,1,199,101,0.8298080563545227,"dict_items([('hidden_units', 823), ('learning_rate', 0.002854882987043444)])",250,"tensor(436.7362, grad_fn=<MseLossBackward>)",-44.17,-10.679666
はるやまホールディングス,2018,Q3,2,233,67,0.843254029750824,"dict_items([('hidden_units', 586), ('learning_rate', 0.0026149040100686216)])",370,"tensor(463.9012, grad_fn=<MseLossBackward>)",19.38,26.895744
はるやまホールディングス,2018,Q4,3,270,30,0.9794571995735168,"dict_items([('hidden_units', 671), ('learning_rate', 0.0028566468211201476)])",238,"tensor(491.9735, grad_fn=<MseLossBackward>)",29.35,32.469437
はるやまホールディングス,2019,Q1,4,198,102,0.9131107926368713,"dict_items([('hidden_units', 966), ('learning_rate', 0.012403715309358234)])",64,"tensor(946.0945, grad_fn=<MseLossBackward>)",-14.51,6.9602776
はるやまホールディングス,2019,Q2,5,245,55,0.9804638028144836,"dict_items([('hidden_units', 631), ('learning_rate', 0.0006909518032788928)])",965,"tensor(401.6337, grad_fn=<MseLossBackward>)",-30.54,-9.240775
はるやまホールディングス,2019,Q3,6,264,36,0.9642338752746582,"dict_items([('hidden_units', 697), ('learning_rate', 8.417941620826518e-05)])",10000,"tensor(122.7211, grad_fn=<MseLossBackward>)",11.98,16.869335
はるやまホールディングス,2019,Q4,7,196,104,0.9407268166542053,"dict_items([('hidden_units', 941), ('learning_rate', 0.005702543935136738)])",214,"tensor(296.1073, grad_fn=<MseLossBackward>)",57.78,42.54551
はるやまホールディングス,2020,Q1,8,161,139,0.9052984118461609,"dict_items([('hidden_units', 957), ('learning_rate', 0.009601444857813128)])",9,"tensor(1194.5542, grad_fn=<MseLossBackward>)",-87.77,15.922535
はるやまホールディングス,2020,Q2,9,191,109,0.963812530040741,"dict_items([('hidden_units', 999), ('learning_rate', 0.0028325071162407594)])",206,"tensor(476.6824, grad_fn=<MseLossBackward>)",-68.11,-10.70131
はるやまホールディングス,2020,Q3,10,214,86,0.9809896349906921,"dict_items([('hidden_units', 165), ('learning_rate', 0.0016243448582888857)])",608,"tensor(1138.6425, grad_fn=<MseLossBackward>)",-104.92,12.519949
はるやまホールディングス,2020,Q4,11,158,142,0.9654437899589539,"dict_items([('hidden_units', 968), ('learning_rate', 0.00625391768154917)])",130,"tensor(1051.8352, grad_fn=<MseLossBackward>)",-125.87365,28.064442
ぴあ,2018,Q1,0,221,79,0.06007034704089165,"dict_items([('hidden_units', 665), ('learning_rate', 0.025062807114877947)])",7,"tensor(353.1576, grad_fn=<MseLossBackward>)",30.59,13.857253
ぴあ,2018,Q2,1,213,87,0.1308022141456604,"dict_items([('hidden_units', 975), ('learning_rate', 0.019381522817659678)])",16,"tensor(336.3135, grad_fn=<MseLossBackward>)",8.56,12.223661
ぴあ,2018,Q3,2,207,93,0.12245512008666992,"dict_items([('hidden_units', 863), ('learning_rate', 0.02230326292680035)])",7,"tensor(331.4785, grad_fn=<MseLossBackward>)",14.05,16.34339
ぴあ,2018,Q4,3,193,107,0.1284804344177246,"dict_items([('hidden_units', 321), ('learning_rate', 0.07195389515168386)])",7,"tensor(267.2100, grad_fn=<MseLossBackward>)",5.71,19.152563
ぴあ,2019,Q1,4,219,81,0.15634529292583466,"dict_items([('hidden_units', 499), ('learning_rate', 0.030127659620933292)])",13,"tensor(251.2473, grad_fn=<MseLossBackward>)",7.95,9.998357
ぴあ,2019,Q2,5,228,72,0.1495857983827591,"dict_items([('hidden_units', 488), ('learning_rate', 0.030048085397935985)])",8,"tensor(248.8764, grad_fn=<MseLossBackward>)",15.83,17.846674
ぴあ,2019,Q3,6,225,75,0.1882917881011963,"dict_items([('hidden_units', 430), ('learning_rate', 0.03423256848688256)])",8,"tensor(249.4952, grad_fn=<MseLossBackward>)",-1.17,18.784512
ぴあ,2019,Q4,7,273,27,0.9470065236091614,"dict_items([('hidden_units', 361), ('learning_rate', 0.00016831703133344858)])",9504,"tensor(29.2101, grad_fn=<MseLossBackward>)",-13.68,7.998528
ぴあ,2020,Q1,8,243,57,0.9224736094474792,"dict_items([('hidden_units', 3), ('learning_rate', 1.7677107938188752e-05)])",10000,"tensor(396.4075, grad_fn=<MseLossBackward>)",-202.8,-0.058217954
ぴあ,2020,Q2,9,269,31,0.8985113501548767,"dict_items([('hidden_units', 467), ('learning_rate', 0.00016761800134350194)])",7795,"tensor(602.0442, grad_fn=<MseLossBackward>)",-113.85,-52.730434
ぴあ,2020,Q3,10,202,98,0.8671708106994629,"dict_items([('hidden_units', 287), ('learning_rate', 0.0003346172318136921)])",3861,"tensor(956.1735, grad_fn=<MseLossBackward>)",-54.34,-25.303068
ぴあ,2020,Q4,11,205,95,0.8212554454803467,"dict_items([('hidden_units', 643), ('learning_rate', 0.0001645747818300979)])",7626,"tensor(373.2833, grad_fn=<MseLossBackward>)",-109.88,-33.681683
やまや,2018,Q1,0,224,76,0.3219600319862366,"dict_items([('hidden_units', 836), ('learning_rate', 0.07563662770448273)])",13,"tensor(1283.6636, grad_fn=<MseLossBackward>)",74.43,34.07564
