企業名,会計年度,四半期,y_hat_ml1_a10
アジアパイルホールディングス,2018,Q4,32.99484572068139
アジアパイルホールディングス,2019,Q1,29.537680513817847
アジアパイルホールディングス,2019,Q2,10.719069075357375
アジアパイルホールディングス,2019,Q3,19.213686544341858
アジアパイルホールディングス,2019,Q4,14.680654274810864
アジアパイルホールディングス,2020,Q1,18.052112354031088
アジアパイルホールディングス,2020,Q2,22.007140188333263
アジアパイルホールディングス,2020,Q3,17.9791780614568
アジアパイルホールディングス,2020,Q4,12.967030588908266
アステラス製薬,2018,Q1,36.68320883617626
アステラス製薬,2018,Q2,28.169819840363058
アステラス製薬,2018,Q3,38.708028297042006
アステラス製薬,2018,Q4,21.607267439082122
アステラス製薬,2019,Q1,43.03610331148688
アステラス製薬,2019,Q2,30.925689386313422
アステラス製薬,2019,Q3,32.277007565165164
アステラス製薬,2019,Q4,22.656381914354018
アステラス製薬,2020,Q1,30.114745321083102
アステラス製薬,2020,Q2,33.767584747350014
アステラス製薬,2020,Q3,34.99438495861471
アステラス製薬,2020,Q4,12.011979815842945
アズビル,2018,Q1,30.624968062510703
アズビル,2018,Q2,55.013213183359355
アズビル,2018,Q3,11.960596713096848
アズビル,2018,Q4,94.42158946821756
アズビル,2019,Q1,16.517020969035514
アズビル,2019,Q2,-11.870271208985002
アズビル,2019,Q3,1.4952793912530211
アズビル,2019,Q4,46.47852546457796
アズビル,2020,Q1,12.512787724566058
アズビル,2020,Q2,30.30814216179284
アズビル,2020,Q3,37.6006630315678
アズビル,2020,Q4,56.386465082193226
アズワン,2018,Q1,73.41532868020988
アズワン,2018,Q2,67.39566227359529
アズワン,2018,Q3,74.79031158677364
アズワン,2018,Q4,90.31043206896494
アズワン,2019,Q1,72.71526300033047
アズワン,2019,Q2,68.40152203488435
アズワン,2019,Q3,72.7991430920328
アズワン,2019,Q4,96.6198536906305
アズワン,2020,Q1,71.76085260199713
アズワン,2020,Q2,74.3789440332887
アズワン,2020,Q3,108.17275352579566
アズワン,2020,Q4,97.40158655707334
アツギ,2018,Q1,-2.1859435381021095
アツギ,2018,Q2,-11.899784327104594
アツギ,2018,Q3,7.2321850601596385
アツギ,2018,Q4,9.384053059120328
アツギ,2019,Q1,-79.46452319905366
アツギ,2019,Q2,-72.18359608354312
アツギ,2019,Q3,-10.147816165540863
アツギ,2019,Q4,-120.44942774630968
アツギ,2020,Q1,47.17186786226888
アツギ,2020,Q2,-523.738664611398
アツギ,2020,Q3,-103.86427098162622
アツギ,2020,Q4,-259.96195072751493
アドウェイズ,2018,Q1,4.96423703791643
アドウェイズ,2018,Q2,12.38712234878274
アドウェイズ,2018,Q3,8.423475900537692
アドウェイズ,2018,Q4,7.703886397229617
アドウェイズ,2019,Q1,11.039253583928831
アドウェイズ,2019,Q2,14.857728289521214
アドウェイズ,2019,Q3,17.429734209098935
アドウェイズ,2019,Q4,-1.209953937990249
アドウェイズ,2020,Q1,-2.25735355319774
アドウェイズ,2020,Q2,-5.462270175843815
アドウェイズ,2020,Q3,1.2545006460968842
アドウェイズ,2020,Q4,11.131127023349244
アドソル日進,2018,Q1,16.652734066491398
アドソル日進,2018,Q2,17.37104861236054
アドソル日進,2018,Q3,17.32852704277844
アドソル日進,2018,Q4,14.254267363438991
アドソル日進,2019,Q1,22.260993581724875
アドソル日進,2019,Q2,23.993277675332436
アドソル日進,2019,Q3,24.204771027121726
アドソル日進,2019,Q4,18.62672612408288
アドソル日進,2020,Q1,25.68673714414935
アドソル日進,2020,Q2,25.21335462118725
アドソル日進,2020,Q3,25.467587706132708
アドソル日進,2020,Q4,17.21988182381501
アドバネクス,2018,Q1,-3.5945342779735467
アドバネクス,2018,Q2,11.758275531994666
アドバネクス,2018,Q3,-10.243549010381312
アドバネクス,2018,Q4,-35.64034671305044
アドバネクス,2019,Q1,-17.927450968979407
アドバネクス,2019,Q2,-12.883396366425526
アドバネクス,2019,Q3,12.601524281141334
アドバネクス,2019,Q4,-28.11084214899619
アドバネクス,2020,Q1,-59.51809039106997
アドバネクス,2020,Q2,-61.87910617972714
アドバネクス,2020,Q3,-33.56819367365294
アドバネクス,2020,Q4,-31.13486206587458
アドバンテスト,2018,Q1,71.48477332925839
アドバンテスト,2018,Q2,79.20918292226605
アドバンテスト,2018,Q3,82.33118808340494
アドバンテスト,2018,Q4,50.60290359018074
アドバンテスト,2019,Q1,59.66266608459075
アドバンテスト,2019,Q2,78.57179595526789
アドバンテスト,2019,Q3,59.47146715025776
