企業名,会計年度,四半期,y_hat_ml2_i_tuned,best_hyparam
アイシン,2018,Q1,242.56798171861394,[100.]
アイシン,2018,Q2,18.545357779109302,[100.]
アイシン,2018,Q3,89.62105321530983,[100.]
アイシン,2018,Q4,156.25287898038638,[100.]
アイシン,2019,Q1,127.95314054773911,[100.]
アイシン,2019,Q2,-46.57228316679729,[100.]
アイシン,2019,Q3,8.94414778429809,[100.]
アイシン,2019,Q4,-25.49070321909354,[100.]
アイシン,2020,Q1,-265.10712070623504,[100.]
アイシン,2020,Q2,163.84788442580935,[100.]
アイシン,2020,Q3,218.65410724101943,[100.]
アイシン,2020,Q4,145.85261370517978,[100.]
アイダエンジニアリング,2018,Q1,5.67326248629449,[0.95454846]
アイダエンジニアリング,2018,Q2,2.9237584737562514,[0.95454846]
アイダエンジニアリング,2018,Q3,5.313037759954007,[0.95454846]
アイダエンジニアリング,2018,Q4,25.499734750868562,[0.95454846]
アイダエンジニアリング,2019,Q1,2.4852362321248194,[0.95454846]
アイダエンジニアリング,2019,Q2,17.583271611803184,[0.95454846]
アイダエンジニアリング,2019,Q3,13.77632168624018,[0.95454846]
アイダエンジニアリング,2019,Q4,27.98086931815613,[0.95454846]
アイダエンジニアリング,2020,Q1,-1.6334677265715811,[0.95454846]
アイダエンジニアリング,2020,Q2,42.566603393528816,[0.95454846]
アイダエンジニアリング,2020,Q3,13.4807151525239,[0.95454846]
アイダエンジニアリング,2020,Q4,16.299661578681622,[0.95454846]
アイチコーポレーション,2018,Q1,6.841398948891566,[100.]
アイチコーポレーション,2018,Q2,19.993464109464757,[100.]
アイチコーポレーション,2018,Q3,20.442742557599964,[100.]
アイチコーポレーション,2018,Q4,25.219533332802577,[100.]
アイチコーポレーション,2019,Q1,15.316085529855133,[100.]
アイチコーポレーション,2019,Q2,19.192332512799737,[100.]
アイチコーポレーション,2019,Q3,5.799859111042396,[100.]
アイチコーポレーション,2019,Q4,17.038778073130608,[100.]
アイチコーポレーション,2020,Q1,11.29723000889562,[100.]
アイチコーポレーション,2020,Q2,17.232400374687078,[100.]
アイチコーポレーション,2020,Q3,14.805812345137168,[100.]
アイチコーポレーション,2020,Q4,22.796582213122498,[100.]
アイティフォー,2018,Q1,4.224309588802807,[32.74549163]
アイティフォー,2018,Q2,5.959688954440045,[32.74549163]
アイティフォー,2018,Q3,8.620558583967249,[32.74549163]
アイティフォー,2018,Q4,23.715250518718666,[32.74549163]
アイティフォー,2019,Q1,3.0617295065150483,[32.74549163]
アイティフォー,2019,Q2,8.628358182879627,[32.74549163]
アイティフォー,2019,Q3,9.6847454613122,[32.74549163]
アイティフォー,2019,Q4,20.2527183610289,[32.74549163]
アイティフォー,2020,Q1,7.692092871083961,[32.74549163]
アイティフォー,2020,Q2,16.392480269309793,[32.74549163]
アイティフォー,2020,Q3,11.356146497513034,[32.74549163]
アイティフォー,2020,Q4,22.6581647308994,[32.74549163]
アイティメディア,2018,Q1,7.69216537935273,[100.]
アイティメディア,2018,Q2,6.161445100054761,[100.]
アイティメディア,2018,Q3,6.493932389352484,[100.]
アイティメディア,2018,Q4,11.957914841761946,[100.]
アイティメディア,2019,Q1,5.411334538371011,[100.]
アイティメディア,2019,Q2,8.812820070414475,[100.]
アイティメディア,2019,Q3,8.999423818469445,[100.]
アイティメディア,2019,Q4,11.70603884731939,[100.]
アイティメディア,2020,Q1,10.863609400813598,[100.]
アイティメディア,2020,Q2,15.754060646835207,[100.]
アイティメディア,2020,Q3,18.31395078907166,[100.]
アイティメディア,2020,Q4,20.524075414674215,[100.]
アイネス,2018,Q1,-1.30088733838563,[100.]
アイネス,2018,Q2,15.597246417344792,[100.]
アイネス,2018,Q3,-1.8634784245970755,[100.]
アイネス,2018,Q4,16.150362832809776,[100.]
アイネス,2019,Q1,15.315908182614391,[100.]
アイネス,2019,Q2,40.20210968340194,[100.]
アイネス,2019,Q3,4.725427738968865,[100.]
アイネス,2019,Q4,-65.85462589123485,[100.]
アイネス,2020,Q1,-48.87197975506591,[100.]
アイネス,2020,Q2,67.43838858108248,[100.]
アイネス,2020,Q3,55.41412244917996,[100.]
アイネス,2020,Q4,68.20431953354567,[100.]
アイネット,2018,Q1,12.987925496219404,[0.01]
アイネット,2018,Q2,24.75368034279532,[0.01]
アイネット,2018,Q3,26.484034018668268,[0.01]
アイネット,2018,Q4,23.00950801232017,[0.01]
アイネット,2019,Q1,20.027355784576173,[0.01]
アイネット,2019,Q2,27.413556047219515,[0.01]
アイネット,2019,Q3,26.64834537300726,[0.01]
アイネット,2019,Q4,26.824033666749813,[0.01]
アイネット,2020,Q1,9.91986737526355,[0.01]
アイネット,2020,Q2,27.375769352298903,[0.01]
アイネット,2020,Q3,18.67910637151192,[0.01]
アイネット,2020,Q4,32.52219286015607,[0.01]
アイホン,2018,Q1,15.898030782884277,[100.]
アイホン,2018,Q2,77.19293664545457,[100.]
アイホン,2018,Q3,28.739291718902024,[100.]
アイホン,2018,Q4,62.33584771588353,[100.]
アイホン,2019,Q1,46.68489619750106,[100.]
アイホン,2019,Q2,88.65285193894584,[100.]
アイホン,2019,Q3,10.278007249570326,[100.]
アイホン,2019,Q4,1.1350628005115215,[100.]
アイホン,2020,Q1,-1.6944572974287606,[100.]
アイホン,2020,Q2,55.825915174533975,[100.]
アイホン,2020,Q3,44.67628907527292,[100.]
アイホン,2020,Q4,-8.174492957977344,[100.]
アイロムグループ,2018,Q1,48.883764240685636,[100.]
アイロムグループ,2018,Q2,47.74167011904471,[100.]
アイロムグループ,2018,Q3,15.306847893358068,[100.]
アイロムグループ,2018,Q4,64.21977693511667,[100.]
アイロムグループ,2019,Q1,14.787150779944866,[100.]
アイロムグループ,2019,Q2,-113.37684913106008,[100.]
アイロムグループ,2019,Q3,-24.201153380566936,[100.]
アイロムグループ,2019,Q4,35.91050348610892,[100.]
アイロムグループ,2020,Q1,43.159619343851546,[100.]
アイロムグループ,2020,Q2,35.413198769421314,[100.]
アイロムグループ,2020,Q3,37.564653421357036,[100.]
アイロムグループ,2020,Q4,42.388999028275066,[100.]
アキレス,2018,Q1,39.109043782382315,[57.22367659]
アキレス,2018,Q2,33.79007279562304,[57.22367659]
アキレス,2018,Q3,28.030178197373814,[57.22367659]
アキレス,2018,Q4,-19.86743702311053,[57.22367659]
アキレス,2019,Q1,7.541537405134477,[57.22367659]
アキレス,2019,Q2,0.07699641418361125,[57.22367659]
アキレス,2019,Q3,-8.862828323593988,[57.22367659]
アキレス,2019,Q4,-38.20533390574026,[57.22367659]
アキレス,2020,Q1,76.32979289408519,[57.22367659]
アキレス,2020,Q2,85.57034936717807,[57.22367659]
アキレス,2020,Q3,-8.66252266385547,[57.22367659]
アキレス,2020,Q4,21.95158107247652,[57.22367659]
アクシアル　リテイリング,2018,Q1,51.479241220024775,[100.]
アクシアル　リテイリング,2018,Q2,90.44049599656866,[100.]
アクシアル　リテイリング,2018,Q3,106.08695491373793,[100.]
アクシアル　リテイリング,2018,Q4,69.43088831129414,[100.]
アクシアル　リテイリング,2019,Q1,91.68096143715393,[100.]
アクシアル　リテイリング,2019,Q2,68.95179081610257,[100.]
アクシアル　リテイリング,2019,Q3,82.52747541371718,[100.]
アクシアル　リテイリング,2019,Q4,75.63813661874805,[100.]
アクシアル　リテイリング,2020,Q1,120.59181116353898,[100.]
アクシアル　リテイリング,2020,Q2,82.50405137637638,[100.]
アクシアル　リテイリング,2020,Q3,80.10387021318755,[100.]
アクシアル　リテイリング,2020,Q4,47.33047457434414,[100.]
アクセル,2018,Q1,-85.99412116246603,[100.]
アクセル,2018,Q2,7.846078233531982,[100.]
アクセル,2018,Q3,-3.3169260862830114,[100.]
アクセル,2018,Q4,-13.019097170749141,[100.]
アクセル,2019,Q1,21.863152736707242,[100.]
アクセル,2019,Q2,-25.3729724419085,[100.]
アクセル,2019,Q3,47.393026088352606,[100.]
