企業名,会計年度,四半期,y_hat_ml2_i_tuned_simple,best_hyparam
りらいあコミュニケーションズ,2019,Q4,-18.49473682600552,[1000]
りらいあコミュニケーションズ,2020,Q1,5.721039972593139,[1000]
りらいあコミュニケーションズ,2020,Q2,13.444784623704326,[1000]
りらいあコミュニケーションズ,2020,Q3,-2.6041651862468083,[1000]
りらいあコミュニケーションズ,2020,Q4,-18.575746352815557,[1000]
わかもと製薬,2018,Q1,2.5794723429862607,[1000]
わかもと製薬,2018,Q2,0.3615986215217113,[1000]
わかもと製薬,2018,Q3,3.472218214362755,[1000]
わかもと製薬,2018,Q4,1.093513981438491,[1000]
わかもと製薬,2019,Q1,-1.301069488943586,[1000]
わかもと製薬,2019,Q2,-8.480925889346453,[1000]
わかもと製薬,2019,Q3,-10.56903284371383,[1000]
わかもと製薬,2019,Q4,-12.219208331117152,[1000]
わかもと製薬,2020,Q1,-4.103074574304346,[1000]
わかもと製薬,2020,Q2,-9.217213316855982,[1000]
わかもと製薬,2020,Q3,3.3742156510473325,[1000]
わかもと製薬,2020,Q4,-3.8465436765432726,[1000]
アイカ工業,2018,Q1,38.55182098616896,[0.1]
アイカ工業,2018,Q2,63.721360822927466,[0.1]
アイカ工業,2018,Q3,60.562668106513755,[0.1]
アイカ工業,2018,Q4,56.85785731101095,[0.1]
アイカ工業,2019,Q1,50.205340550282614,[0.1]
アイカ工業,2019,Q2,46.44925090747466,[0.1]
アイカ工業,2019,Q3,44.54453846530692,[0.1]
アイカ工業,2019,Q4,53.16588014350209,[0.1]
アイカ工業,2020,Q1,26.049473151798168,[0.1]
アイカ工業,2020,Q2,29.458322061982358,[0.1]
アイカ工業,2020,Q3,63.529004958539986,[0.1]
アイカ工業,2020,Q4,68.84475550656477,[0.1]
アイコム,2018,Q1,15.759093720007456,[1000]
アイコム,2018,Q2,29.982428281508682,[1000]
アイコム,2018,Q3,40.27292957235197,[1000]
アイコム,2018,Q4,133.35420147535595,[1000]
アイコム,2019,Q1,-15.020663217785682,[1000]
アイコム,2019,Q2,24.244540999909248,[1000]
アイコム,2019,Q3,43.327844830840846,[1000]
アイコム,2019,Q4,46.40304962174706,[1000]
アイコム,2020,Q1,-18.882597281526955,[1000]
アイコム,2020,Q2,-17.83325498357921,[1000]
アイコム,2020,Q3,46.26490360179177,[1000]
アイコム,2020,Q4,57.55251283604302,[1000]
アイシン,2018,Q1,212.7662633987577,[1000]
アイシン,2018,Q2,30.204185265250885,[1000]
アイシン,2018,Q3,104.54600007638803,[1000]
アイシン,2018,Q4,128.73285474960596,[1000]
アイシン,2019,Q1,123.68959714863954,[1000]
アイシン,2019,Q2,-32.69156030326077,[1000]
アイシン,2019,Q3,24.502523033142488,[1000]
アイシン,2019,Q4,6.01517366990376,[1000]
アイシン,2020,Q1,-216.30318167790884,[1000]
アイシン,2020,Q2,154.47266436866084,[1000]
アイシン,2020,Q3,208.10681783425252,[1000]
アイシン,2020,Q4,130.79564570170072,[1000]
アイダエンジニアリング,2018,Q1,5.836232367221584,[1]
アイダエンジニアリング,2018,Q2,2.9902085707717276,[1]
アイダエンジニアリング,2018,Q3,5.335525436324964,[1]
アイダエンジニアリング,2018,Q4,25.543840312957386,[1]
アイダエンジニアリング,2019,Q1,2.5522499936693954,[1]
アイダエンジニアリング,2019,Q2,17.548560148917232,[1]
アイダエンジニアリング,2019,Q3,13.811376761213324,[1]
アイダエンジニアリング,2019,Q4,27.9836894371973,[1]
アイダエンジニアリング,2020,Q1,-1.1380849091535623,[1]
アイダエンジニアリング,2020,Q2,42.26424169498154,[1]
アイダエンジニアリング,2020,Q3,13.5781249557551,[1]
アイダエンジニアリング,2020,Q4,16.678744523316453,[1]
アイチコーポレーション,2018,Q1,5.633309258841294,[1000]
アイチコーポレーション,2018,Q2,20.596304963000765,[1000]
アイチコーポレーション,2018,Q3,17.462867933977726,[1000]
アイチコーポレーション,2018,Q4,22.56785047327705,[1000]
アイチコーポレーション,2019,Q1,12.07069328572533,[1000]
アイチコーポレーション,2019,Q2,20.268789617515168,[1000]
アイチコーポレーション,2019,Q3,11.260544968837154,[1000]
アイチコーポレーション,2019,Q4,17.610909021184046,[1000]
アイチコーポレーション,2020,Q1,9.425282237842682,[1000]
アイチコーポレーション,2020,Q2,17.535576124040023,[1000]
アイチコーポレーション,2020,Q3,12.832110267043289,[1000]
アイチコーポレーション,2020,Q4,21.27694244393795,[1000]
アイティフォー,2018,Q1,4.375141319029535,[100]
アイティフォー,2018,Q2,5.677351885458082,[100]
アイティフォー,2018,Q3,8.290060204932225,[100]
アイティフォー,2018,Q4,23.812395458018216,[100]
アイティフォー,2019,Q1,3.340815310830827,[100]
アイティフォー,2019,Q2,7.799196600253389,[100]
アイティフォー,2019,Q3,9.766832010926773,[100]
アイティフォー,2019,Q4,20.126024991933022,[100]
アイティフォー,2020,Q1,6.750586907279292,[100]
アイティフォー,2020,Q2,14.378060868496414,[100]
アイティフォー,2020,Q3,10.96659387613093,[100]
アイティフォー,2020,Q4,22.520685064689104,[100]
アイティメディア,2018,Q1,7.69216537935273,[100]
アイティメディア,2018,Q2,6.161445100054761,[100]
アイティメディア,2018,Q3,6.493932389352484,[100]
アイティメディア,2018,Q4,11.957914841761946,[100]
アイティメディア,2019,Q1,5.411334538371011,[100]
アイティメディア,2019,Q2,8.812820070414475,[100]
アイティメディア,2019,Q3,8.999423818469445,[100]
アイティメディア,2019,Q4,11.70603884731939,[100]
アイティメディア,2020,Q1,10.863609400813598,[100]
アイティメディア,2020,Q2,15.754060646835207,[100]
アイティメディア,2020,Q3,18.31395078907166,[100]
アイティメディア,2020,Q4,20.524075414674215,[100]
アイネス,2018,Q1,-3.004556261630081,[1000]
アイネス,2018,Q2,15.370016890327388,[1000]
アイネス,2018,Q3,-1.24191485598464,[1000]
アイネス,2018,Q4,16.41307035397697,[1000]
アイネス,2019,Q1,13.134777716270662,[1000]
アイネス,2019,Q2,20.214159085220523,[1000]
アイネス,2019,Q3,3.4994533035210225,[1000]
アイネス,2019,Q4,-83.98803598683658,[1000]
アイネス,2020,Q1,30.294763521246047,[1000]
アイネス,2020,Q2,38.23023715834344,[1000]
アイネス,2020,Q3,70.75219440363652,[1000]
アイネス,2020,Q4,56.13878305696677,[1000]
アイネット,2018,Q1,14.373413746565689,[0.001]
アイネット,2018,Q2,24.310140337992493,[0.001]
アイネット,2018,Q3,27.92017996638276,[0.001]
アイネット,2018,Q4,18.27354612190254,[0.001]
アイネット,2019,Q1,23.011714612466335,[0.001]
アイネット,2019,Q2,32.82107500505833,[0.001]
アイネット,2019,Q3,26.915406823336298,[0.001]
アイネット,2019,Q4,26.06251214804331,[0.001]
アイネット,2020,Q1,7.641811927531194,[0.001]
アイネット,2020,Q2,33.46023405622225,[0.001]
アイネット,2020,Q3,25.914883140697327,[0.001]
アイネット,2020,Q4,32.56782980889609,[0.001]
アイホン,2018,Q1,15.898030782884277,[100]
アイホン,2018,Q2,77.19293664545457,[100]
アイホン,2018,Q3,28.739291718902024,[100]
アイホン,2018,Q4,62.33584771588353,[100]
アイホン,2019,Q1,46.68489619750106,[100]
アイホン,2019,Q2,88.65285193894584,[100]
アイホン,2019,Q3,10.278007249570326,[100]
アイホン,2019,Q4,1.1350628005115215,[100]
アイホン,2020,Q1,-1.6944572974287606,[100]
アイホン,2020,Q2,55.825915174533975,[100]
アイホン,2020,Q3,44.67628907527292,[100]
アイホン,2020,Q4,-8.174492957977344,[100]
アイロムグループ,2018,Q1,42.07994211322517,[1000]
アイロムグループ,2018,Q2,53.30524389485706,[1000]
アイロムグループ,2018,Q3,46.62234448202874,[1000]
アイロムグループ,2018,Q4,55.422598487456995,[1000]
アイロムグループ,2019,Q1,21.514736350264812,[1000]
アイロムグループ,2019,Q2,-83.43493361281713,[1000]
アイロムグループ,2019,Q3,-17.093854151432552,[1000]
アイロムグループ,2019,Q4,44.82941132293982,[1000]
アイロムグループ,2020,Q1,32.28414914265633,[1000]
アイロムグループ,2020,Q2,34.02259241678192,[1000]
アイロムグループ,2020,Q3,55.234373472699076,[1000]
アイロムグループ,2020,Q4,34.70662765869119,[1000]
アキレス,2018,Q1,38.905514468997225,[100]
アキレス,2018,Q2,31.95400997902341,[100]
アキレス,2018,Q3,30.768713106574225,[100]
アキレス,2018,Q4,-19.616872661785578,[100]
アキレス,2019,Q1,5.990540247142759,[100]
アキレス,2019,Q2,0.6375549507616078,[100]
アキレス,2019,Q3,-13.984488636925425,[100]
アキレス,2019,Q4,-32.95057792030952,[100]
アキレス,2020,Q1,78.43283816976525,[100]
アキレス,2020,Q2,88.30457491241239,[100]
アキレス,2020,Q3,-7.207047950031873,[100]
アキレス,2020,Q4,22.078673187623565,[100]
アクシアル　リテイリング,2018,Q1,58.13130403615091,[1000]
アクシアル　リテイリング,2018,Q2,83.73061569338603,[1000]
アクシアル　リテイリング,2018,Q3,88.97447198053769,[1000]
アクシアル　リテイリング,2018,Q4,55.055931058246635,[1000]
アクシアル　リテイリング,2019,Q1,79.18949832979021,[1000]
アクシアル　リテイリング,2019,Q2,72.13317410787919,[1000]
アクシアル　リテイリング,2019,Q3,85.07286423930876,[1000]
アクシアル　リテイリング,2019,Q4,58.61299932915128,[1000]
アクシアル　リテイリング,2020,Q1,102.02639526329314,[1000]
アクシアル　リテイリング,2020,Q2,94.930199866507,[1000]
アクシアル　リテイリング,2020,Q3,90.87495259769639,[1000]
アクシアル　リテイリング,2020,Q4,47.89740786776793,[1000]
アクセル,2018,Q1,-66.89349299523813,[1000]
アクセル,2018,Q2,-6.277376814136584,[1000]
アクセル,2018,Q3,-3.2377227795326355,[1000]
アクセル,2018,Q4,-16.420886074258547,[1000]
アクセル,2019,Q1,9.4194937150084,[1000]
アクセル,2019,Q2,-6.8631177397351415,[1000]
アクセル,2019,Q3,19.657595227249562,[1000]
アクセル,2019,Q4,-5.223751386804295,[1000]
アクセル,2020,Q1,24.538341506591912,[1000]
アクセル,2020,Q2,-1.61446612263029,[1000]
アクセル,2020,Q3,14.060393166884143,[1000]
アクセル,2020,Q4,12.539032932015644,[1000]
アジアパイルホールディングス,2018,Q1,9.740308758355354,[100]
アジアパイルホールディングス,2018,Q2,1.6756675537325094,[100]
アジアパイルホールディングス,2018,Q3,11.960968839483463,[100]
アジアパイルホールディングス,2018,Q4,29.934496402867552,[100]
アジアパイルホールディングス,2019,Q1,51.06630330128206,[100]
アジアパイルホールディングス,2019,Q2,8.638944571003044,[100]
アジアパイルホールディングス,2019,Q3,24.508303939874768,[100]
アジアパイルホールディングス,2019,Q4,12.666658447741101,[100]
アジアパイルホールディングス,2020,Q1,13.56404663545714,[100]
アジアパイルホールディングス,2020,Q2,16.233283891511537,[100]
アジアパイルホールディングス,2020,Q3,18.44591956117167,[100]
アジアパイルホールディングス,2020,Q4,10.183909828590302,[100]
アステラス製薬,2018,Q1,33.97312731629907,[1000]
アステラス製薬,2018,Q2,28.989597125158472,[1000]
アステラス製薬,2018,Q3,39.67597888968106,[1000]
アステラス製薬,2018,Q4,19.772214734290426,[1000]
アステラス製薬,2019,Q1,39.25774966777654,[1000]
アステラス製薬,2019,Q2,28.969547819913664,[1000]
アステラス製薬,2019,Q3,32.91773656634669,[1000]
アステラス製薬,2019,Q4,18.08236754328261,[1000]
アステラス製薬,2020,Q1,26.71801511518214,[1000]
アステラス製薬,2020,Q2,37.72921776456124,[1000]
アステラス製薬,2020,Q3,37.544061016061804,[1000]
アステラス製薬,2020,Q4,13.46974233354552,[1000]
アズビル,2018,Q1,36.47967353552126,[1000]
アズビル,2018,Q2,52.379404131683316,[1000]
アズビル,2018,Q3,13.532434608879043,[1000]
アズビル,2018,Q4,131.44507360469112,[1000]
アズビル,2019,Q1,23.32362904723439,[1000]
アズビル,2019,Q2,-2.6961554704960804,[1000]
アズビル,2019,Q3,-16.35379158945092,[1000]
アズビル,2019,Q4,45.02650836719541,[1000]
アズビル,2020,Q1,13.92787067065444,[1000]
アズビル,2020,Q2,30.845978138208682,[1000]
アズビル,2020,Q3,40.413245603959126,[1000]
アズビル,2020,Q4,57.47129993769274,[1000]
アズワン,2018,Q1,72.08901901916107,[1000]
アズワン,2018,Q2,64.58383107947648,[1000]
アズワン,2018,Q3,70.10278224652933,[1000]
アズワン,2018,Q4,87.50268566515572,[1000]
アズワン,2019,Q1,70.90081257051563,[1000]
アズワン,2019,Q2,64.85739411949791,[1000]
アズワン,2019,Q3,75.52535611928536,[1000]
アズワン,2019,Q4,93.02954255442779,[1000]
アズワン,2020,Q1,64.1900347284988,[1000]
アズワン,2020,Q2,68.23261152468413,[1000]
アズワン,2020,Q3,94.10132034887532,[1000]
アズワン,2020,Q4,100.66999817015011,[1000]
アツギ,2018,Q1,-153.7369293479161,[0.01]
アツギ,2018,Q2,-194.82536124584954,[0.01]
アツギ,2018,Q3,-13.968917044761902,[0.01]
アツギ,2018,Q4,-121.6213652623916,[0.01]
アツギ,2019,Q1,-203.39776762137762,[0.01]
アツギ,2019,Q2,-197.16767192017252,[0.01]
アツギ,2019,Q3,-82.45262077355818,[0.01]
アツギ,2019,Q4,-200.33329993113145,[0.01]
アツギ,2020,Q1,168.19602080125907,[0.01]
アツギ,2020,Q2,-417.69771529109505,[0.01]
アツギ,2020,Q3,-150.57342704710885,[0.01]
アツギ,2020,Q4,-73.95367461366817,[0.01]
アドウェイズ,2018,Q1,21.846687112621787,[10]
アドウェイズ,2018,Q2,6.255803785748228,[10]
アドウェイズ,2018,Q3,-3.5298409933866957,[10]
アドウェイズ,2018,Q4,-3.8413278927353165,[10]
アドウェイズ,2019,Q1,-7.870611347252206,[10]
アドウェイズ,2019,Q2,2.642703419158621,[10]
アドウェイズ,2019,Q3,-0.04704419526175041,[10]
アドウェイズ,2019,Q4,13.223976144926784,[10]
アドウェイズ,2020,Q1,0.5933371630194149,[10]
アドウェイズ,2020,Q2,10.51232209311349,[10]
アドウェイズ,2020,Q3,14.44422770763245,[10]
アドウェイズ,2020,Q4,0.8397328955489547,[10]
アドソル日進,2018,Q1,14.434909583465823,[1000]
アドソル日進,2018,Q2,12.591808447775223,[1000]
アドソル日進,2018,Q3,15.752764302507524,[1000]
アドソル日進,2018,Q4,14.43367733408588,[1000]
アドソル日進,2019,Q1,22.326470619752502,[1000]
アドソル日進,2019,Q2,30.701961367045552,[1000]
アドソル日進,2019,Q3,26.951514322756587,[1000]
アドソル日進,2019,Q4,15.700282125204284,[1000]
アドソル日進,2020,Q1,25.469681865504093,[1000]
アドソル日進,2020,Q2,24.76494980676502,[1000]
アドソル日進,2020,Q3,27.137306974080403,[1000]
アドソル日進,2020,Q4,15.974637890565688,[1000]
アドバネクス,2018,Q1,1.039967682956483,[1000]
アドバネクス,2018,Q2,3.4666417184678386,[1000]
アドバネクス,2018,Q3,-3.4000761647354967,[1000]
アドバネクス,2018,Q4,-46.845542364547306,[1000]
アドバネクス,2019,Q1,-38.76964180155805,[1000]
アドバネクス,2019,Q2,15.489229615213706,[1000]
アドバネクス,2019,Q3,-4.76860882050076,[1000]
アドバネクス,2019,Q4,-11.796580376169166,[1000]
アドバネクス,2020,Q1,-60.54339579292319,[1000]
アドバネクス,2020,Q2,-79.62070353543592,[1000]
アドバネクス,2020,Q3,-20.231698280607997,[1000]
アドバネクス,2020,Q4,-106.33065516107996,[1000]
アドバンテスト,2018,Q1,87.56964794495866,[1000]
アドバンテスト,2018,Q2,79.3891536287451,[1000]
アドバンテスト,2018,Q3,72.69163451646445,[1000]
アドバンテスト,2018,Q4,50.387693507756325,[1000]
アドバンテスト,2019,Q1,55.57760165380818,[1000]
アドバンテスト,2019,Q2,66.60838839523812,[1000]
アドバンテスト,2019,Q3,45.72852571590725,[1000]
アドバンテスト,2019,Q4,49.26707298543555,[1000]
アドバンテスト,2020,Q1,61.86423529827627,[1000]
アドバンテスト,2020,Q2,70.16383260416228,[1000]
アドバンテスト,2020,Q3,59.83745237873927,[1000]
アドバンテスト,2020,Q4,97.46882449924466,[1000]
アドヴァングループ,2018,Q1,3.6281495896423994,[100]
アドヴァングループ,2018,Q2,28.8092503588612,[100]
アドヴァングループ,2018,Q3,43.87879308097156,[100]
アドヴァングループ,2018,Q4,-5.0814480965577165,[100]
アドヴァングループ,2019,Q1,46.52198756363926,[100]
アドヴァングループ,2019,Q2,28.798165793008682,[100]
アドヴァングループ,2019,Q3,41.058186836522694,[100]
アドヴァングループ,2019,Q4,28.426937464130965,[100]
アドヴァングループ,2020,Q1,24.16327297946775,[100]
アドヴァングループ,2020,Q2,24.500532022968592,[100]
アドヴァングループ,2020,Q3,23.165124809659304,[100]
アドヴァングループ,2020,Q4,21.863404659319478,[100]
アネスト岩田,2018,Q1,18.171646965629535,[100]
アネスト岩田,2018,Q2,27.133905796558565,[100]
アネスト岩田,2018,Q3,19.41147707167231,[100]
アネスト岩田,2018,Q4,18.815113874262302,[100]
アネスト岩田,2019,Q1,19.021239143139844,[100]
アネスト岩田,2019,Q2,22.460190259267655,[100]
アネスト岩田,2019,Q3,12.100090926186258,[100]
アネスト岩田,2019,Q4,18.98164665899975,[100]
アネスト岩田,2020,Q1,12.476136657117275,[100]
アネスト岩田,2020,Q2,18.891276200219725,[100]
アネスト岩田,2020,Q3,19.212071656137233,[100]
アネスト岩田,2020,Q4,21.25251823668078,[100]
アマダ,2018,Q1,6.303242343502365,[1000]
アマダ,2018,Q2,23.435932670253912,[1000]
アマダ,2018,Q3,17.161754685076513,[1000]
アマダ,2018,Q4,26.530428501894004,[1000]
アマダ,2019,Q1,14.29451428152312,[1000]
アマダ,2019,Q2,28.199097534739145,[1000]
アマダ,2019,Q3,14.097094566736871,[1000]
アマダ,2019,Q4,25.853361287542022,[1000]
アマダ,2020,Q1,1.0116813967135485,[1000]
アマダ,2020,Q2,26.072318390360877,[1000]
アマダ,2020,Q3,17.033988720066667,[1000]
アマダ,2020,Q4,14.036963675752965,[1000]
アマノ,2018,Q1,14.620890686744723,[1000]
アマノ,2018,Q2,33.85414318773664,[1000]
アマノ,2018,Q3,31.523270954199155,[1000]
アマノ,2018,Q4,50.850311253607515,[1000]
アマノ,2019,Q1,18.160871376456257,[1000]
アマノ,2019,Q2,36.545966442110995,[1000]
アマノ,2019,Q3,27.90131608597975,[1000]
アマノ,2019,Q4,45.38514819489122,[1000]
アマノ,2020,Q1,5.700642593141346,[1000]
アマノ,2020,Q2,25.6491724144484,[1000]
アマノ,2020,Q3,20.768193623089935,[1000]
アマノ,2020,Q4,36.69397347497076,[1000]
アミューズ,2018,Q1,60.136635358347235,[1000]
アミューズ,2018,Q2,4.3158090011803765,[1000]
アミューズ,2018,Q3,50.59875155489135,[1000]
アミューズ,2018,Q4,107.81438766649529,[1000]
アミューズ,2019,Q1,79.34147504245921,[1000]
アミューズ,2019,Q2,64.22993440489583,[1000]
アミューズ,2019,Q3,74.0281979578991,[1000]
アミューズ,2019,Q4,37.54697805627589,[1000]
アミューズ,2020,Q1,53.51198960303727,[1000]
アミューズ,2020,Q2,47.82379360349055,[1000]
アミューズ,2020,Q3,54.38848753741743,[1000]
アミューズ,2020,Q4,5.443119342745768,[1000]
アリアケジャパン,2018,Q1,61.95126735685197,[1000]
アリアケジャパン,2018,Q2,68.73071980788727,[1000]
アリアケジャパン,2018,Q3,80.68663808145678,[1000]
アリアケジャパン,2018,Q4,65.36901756964005,[1000]
アリアケジャパン,2019,Q1,-490.25038250604695,[1000]
アリアケジャパン,2019,Q2,13.634268966314615,[1000]
アリアケジャパン,2019,Q3,63.244936414945116,[1000]
アリアケジャパン,2019,Q4,116.14676292539875,[1000]
アリアケジャパン,2020,Q1,15.732200417813303,[1000]
アリアケジャパン,2020,Q2,-8.894947138004348,[1000]
アリアケジャパン,2020,Q3,75.93844109248232,[1000]
