企業名,会計年度,四半期,y_hat_mraf,best_hyparam
アイカ工業,2019,Q4,48.675144999999326,[2000 10]
アイカ工業,2020,Q1,42.64504000000007,[2000 10]
アイカ工業,2020,Q2,51.49714499999974,[2000 10]
アイカ工業,2020,Q3,51.35454999999934,[2000 10]
アイカ工業,2020,Q4,45.6184649999996,[2000 10]
アイコム,2018,Q1,3.2078999999999955,[100 100]
アイコム,2018,Q2,24.39740000000001,[100 100]
アイコム,2018,Q3,15.171099999999994,[100 100]
アイコム,2018,Q4,58.71140000000001,[100 100]
アイコム,2019,Q1,40.81300000000001,[100 100]
アイコム,2019,Q2,28.515500000000017,[100 100]
アイコム,2019,Q3,27.17950000000001,[100 100]
アイコム,2019,Q4,69.22420000000005,[100 100]
アイコム,2020,Q1,10.927500000000002,[100 100]
アイコム,2020,Q2,11.657699999999988,[100 100]
アイコム,2020,Q3,21.0233,[100 100]
アイコム,2020,Q4,75.75440000000002,[100 100]
アイシン,2018,Q1,131.1148482633606,[500 100]
アイシン,2018,Q2,85.81161440682948,[500 100]
アイシン,2018,Q3,119.6995357790217,[500 100]
アイシン,2018,Q4,126.61268862128298,[500 100]
アイシン,2019,Q1,110.65452824620164,[500 100]
アイシン,2019,Q2,67.89760292863856,[500 100]
アイシン,2019,Q3,76.30822833663946,[500 100]
アイシン,2019,Q4,86.97071339009673,[500 100]
アイシン,2020,Q1,24.94092204970907,[500 100]
アイシン,2020,Q2,-19.583963945371288,[500 100]
アイシン,2020,Q3,105.20896274438452,[500 100]
アイシン,2020,Q4,128.44069584263045,[500 100]
アイダエンジニアリング,2018,Q1,16.178999999999995,[100 100]
アイダエンジニアリング,2018,Q2,-12.581300000000004,[100 100]
アイダエンジニアリング,2018,Q3,13.613799999999996,[100 100]
アイダエンジニアリング,2018,Q4,23.294500000000003,[100 100]
アイダエンジニアリング,2019,Q1,15.746499999999983,[100 100]
アイダエンジニアリング,2019,Q2,24.476599999999983,[100 100]
アイダエンジニアリング,2019,Q3,17.2636,[100 100]
アイダエンジニアリング,2019,Q4,27.199600000000004,[100 100]
アイダエンジニアリング,2020,Q1,16.1824,[100 100]
アイダエンジニアリング,2020,Q2,14.122000000000003,[100 100]
アイダエンジニアリング,2020,Q3,10.339999999999998,[100 100]
アイダエンジニアリング,2020,Q4,15.9244,[100 100]
アイチコーポレーション,2018,Q1,6.691840000000007,[2000 10]
アイチコーポレーション,2018,Q2,15.581110000000317,[2000 10]
アイチコーポレーション,2018,Q3,19.26676000000001,[2000 10]
アイチコーポレーション,2018,Q4,21.673735000000136,[2000 10]
アイチコーポレーション,2019,Q1,13.781180000000097,[2000 10]
アイチコーポレーション,2019,Q2,16.847675000000113,[2000 10]
アイチコーポレーション,2019,Q3,10.915169999999986,[2000 10]
アイチコーポレーション,2019,Q4,21.870410000000017,[2000 10]
アイチコーポレーション,2020,Q1,9.45748000000002,[2000 10]
