企業名,会計年度,四半期,y_hat_men,best_hyparam
アイチコーポレーション,2019,Q3,9.895976715727683,[10.   0.1]
アイチコーポレーション,2019,Q4,18.591314139591283,[10.   0.1]
アイチコーポレーション,2020,Q1,9.715708872480048,[10.   0.1]
アイチコーポレーション,2020,Q2,17.159737157425628,[10.   0.1]
アイチコーポレーション,2020,Q3,13.015586933761844,[10.   0.1]
アイチコーポレーション,2020,Q4,22.13850665633091,[10.   0.1]
アイティフォー,2018,Q1,3.294480024079789,[10.   0.5]
アイティフォー,2018,Q2,6.080540677030459,[10.   0.5]
アイティフォー,2018,Q3,6.959877336044318,[10.   0.5]
アイティフォー,2018,Q4,20.14714143082271,[10.   0.5]
アイティフォー,2019,Q1,5.848310890860766,[10.   0.5]
アイティフォー,2019,Q2,9.813795472764312,[10.   0.5]
アイティフォー,2019,Q3,8.608585155597815,[10.   0.5]
アイティフォー,2019,Q4,20.2556876654719,[10.   0.5]
アイティフォー,2020,Q1,8.151666213045477,[10.   0.5]
アイティフォー,2020,Q2,12.584620332930863,[10.   0.5]
アイティフォー,2020,Q3,10.400927284888486,[10.   0.5]
アイティフォー,2020,Q4,21.370983717351443,[10.   0.5]
アイティメディア,2018,Q1,-1.4321436366802232,[0.01 0.9 ]
アイティメディア,2018,Q2,8.090201974783668,[0.01 0.9 ]
アイティメディア,2018,Q3,4.020168953873224,[0.01 0.9 ]
アイティメディア,2018,Q4,-0.9150389713151981,[0.01 0.9 ]
アイティメディア,2019,Q1,7.22993426065392,[0.01 0.9 ]
アイティメディア,2019,Q2,11.286056437947053,[0.01 0.9 ]
アイティメディア,2019,Q3,9.141288409616749,[0.01 0.9 ]
アイティメディア,2019,Q4,9.991416293944638,[0.01 0.9 ]
アイティメディア,2020,Q1,10.948574483161579,[0.01 0.9 ]
アイティメディア,2020,Q2,15.750417398006931,[0.01 0.9 ]
アイティメディア,2020,Q3,22.236905451350825,[0.01 0.9 ]
アイティメディア,2020,Q4,23.451902736595056,[0.01 0.9 ]
アイネス,2018,Q1,1.3015944294468067,[1.e+03 1.e-01]
アイネス,2018,Q2,13.479230497399238,[1.e+03 1.e-01]
アイネス,2018,Q3,3.1083665960627345,[1.e+03 1.e-01]
アイネス,2018,Q4,21.85164524421549,[1.e+03 1.e-01]
アイネス,2019,Q1,2.6863247714850864,[1.e+03 1.e-01]
アイネス,2019,Q2,14.667894792903796,[1.e+03 1.e-01]
アイネス,2019,Q3,3.7542741988517756,[1.e+03 1.e-01]
アイネス,2019,Q4,4.464559973806415,[1.e+03 1.e-01]
アイネス,2020,Q1,22.935093335607114,[1.e+03 1.e-01]
アイネス,2020,Q2,13.983861378644043,[1.e+03 1.e-01]
