企業名,会計年度,四半期,y_hat_mlm1
かどや製油,2020,Q4,38.83077898113561
きんでん,2018,Q1,9.23813150779364
きんでん,2018,Q2,24.34346025256039
きんでん,2018,Q3,33.1945875164036
きんでん,2018,Q4,80.84578761293972
きんでん,2019,Q1,12.929553624656194
きんでん,2019,Q2,27.046078854805273
きんでん,2019,Q3,33.33939816421346
きんでん,2019,Q4,72.83072363015688
きんでん,2020,Q1,24.323111669398628
きんでん,2020,Q2,36.73338874782806
きんでん,2020,Q3,46.518583848287676
きんでん,2020,Q4,67.01938820426955
さくらインターネット,2018,Q1,-393.2850818965826
さくらインターネット,2018,Q2,53.40857920086364
さくらインターネット,2018,Q3,95.77326021291015
さくらインターネット,2018,Q4,565.8620532752288
さくらインターネット,2019,Q1,239.47543601735993
さくらインターネット,2019,Q2,-41.71435326423972
さくらインターネット,2019,Q3,-10.701151458413307
さくらインターネット,2019,Q4,8.124033583304367
さくらインターネット,2020,Q1,-327.5586103216322
さくらインターネット,2020,Q2,4.561061569588617
さくらインターネット,2020,Q3,6.0895282277424485
さくらインターネット,2020,Q4,1.537118451136621
たけびし,2018,Q1,44.21128630103169
たけびし,2018,Q2,39.031739649337965
たけびし,2018,Q3,49.30778373173655
たけびし,2018,Q4,57.98779812789587
たけびし,2019,Q1,46.41897006957578
たけびし,2019,Q2,39.36219979134859
たけびし,2019,Q3,42.808026828166376
たけびし,2019,Q4,34.06256341307329
たけびし,2020,Q1,23.56143022088672
たけびし,2020,Q2,41.5289044641099
たけびし,2020,Q3,33.975002405053104
たけびし,2020,Q4,26.4788738175165
なとり,2018,Q1,14.292239235468458
なとり,2018,Q2,12.254408874625824
なとり,2018,Q3,42.483016979380295
なとり,2018,Q4,-12.773752247843504
なとり,2019,Q1,27.469074524743178
なとり,2019,Q2,31.097371379766628
なとり,2019,Q3,65.09926519621263
なとり,2019,Q4,-20.210348893263472
なとり,2020,Q1,18.74109083831604
なとり,2020,Q2,33.19618250668668
なとり,2020,Q3,61.68656101189242
なとり,2020,Q4,0.30752289806241606
はせがわ,2018,Q1,4.643851244602956
はせがわ,2018,Q2,28.908249815990075
はせがわ,2018,Q3,-0.3581450894334921
はせがわ,2018,Q4,27.862385890372934
はせがわ,2019,Q1,9.74926098710489
はせがわ,2019,Q2,18.42665167578275
はせがわ,2019,Q3,-8.764267909243017
はせがわ,2019,Q4,6.890862220377585
はせがわ,2020,Q1,-37.02828487101442
はせがわ,2020,Q2,48.98723083171467
はせがわ,2020,Q3,-22.333438776442335
はせがわ,2020,Q4,-26.843153376270493
はるやまホールディングス,2018,Q1,-12.229319965304057
はるやまホールディングス,2018,Q2,-32.7911719364065
はるやまホールディングス,2018,Q3,-4.18565421733183
はるやまホールディングス,2018,Q4,32.13910885356904
はるやまホールディングス,2019,Q1,-35.471366789239255
はるやまホールディングス,2019,Q2,-48.25987244674218
はるやまホールディングス,2019,Q3,5.713446101624982
はるやまホールディングス,2019,Q4,30.47249861639068
はるやまホールディングス,2020,Q1,-22.15220177878132
はるやまホールディングス,2020,Q2,-13.466425123010822
はるやまホールディングス,2020,Q3,-2.6178725370591565
はるやまホールディングス,2020,Q4,56.78346683577729
ぴあ,2018,Q1,-0.665453098913872
ぴあ,2018,Q2,20.80961390854096
ぴあ,2018,Q3,9.89835540582061
ぴあ,2018,Q4,18.56485158779094
ぴあ,2019,Q1,26.915624171714057
ぴあ,2019,Q2,10.092045612263803
ぴあ,2019,Q3,13.627548572869728
ぴあ,2019,Q4,17.025062259097894
ぴあ,2020,Q1,-23.751016368969545
