企業名,会計年度,四半期,y_hat_ml1_i_tuned_fine,best_hyparam
りらいあコミュニケーションズ,2018,Q3,18.319783655186562,[474.19382974]
りらいあコミュニケーションズ,2018,Q4,17.515894766297674,[474.19382974]
りらいあコミュニケーションズ,2019,Q1,12.504228099631005,[474.19382974]
りらいあコミュニケーションズ,2019,Q2,12.33617254407545,[474.19382974]
りらいあコミュニケーションズ,2019,Q3,12.095616988519895,[474.19382974]
りらいあコミュニケーションズ,2019,Q4,12.367283655186561,[474.19382974]
りらいあコミュニケーションズ,2020,Q1,12.664228099631005,[474.19382974]
りらいあコミュニケーションズ,2020,Q2,12.314783655186561,[474.19382974]
りらいあコミュニケーションズ,2020,Q3,12.19361111111111,[474.19382974]
りらいあコミュニケーションズ,2020,Q4,12.34222222222222,[474.19382974]
わかもと製薬,2018,Q1,0.5997222222222222,[41.98757484]
わかもと製薬,2018,Q2,0.7313888888888889,[41.98757484]
わかもと製薬,2018,Q3,0.5477777777777777,[41.98757484]
わかもと製薬,2018,Q4,0.6452777777777778,[41.98757484]
わかもと製薬,2019,Q1,0.41527777777777775,[41.98757484]
わかもと製薬,2019,Q2,0.2905555555555555,[41.98757484]
わかもと製薬,2019,Q3,-0.5833333333333331,[41.98757484]
わかもと製薬,2019,Q4,-0.49249999999999994,[41.98757484]
わかもと製薬,2020,Q1,-0.5677777777777778,[41.98757484]
わかもと製薬,2020,Q2,-0.4897222222222221,[41.98757484]
わかもと製薬,2020,Q3,-0.9772222222222222,[41.98757484]
わかもと製薬,2020,Q4,-0.8527777777777777,[41.98757484]
アイカ工業,2018,Q1,45.095512864610406,[0.04366043]
アイカ工業,2018,Q2,57.71010537294682,[0.04366043]
アイカ工業,2018,Q3,65.72794489309058,[0.04366043]
アイカ工業,2018,Q4,61.09167504831304,[0.04366043]
アイカ工業,2019,Q1,48.817642395064354,[0.04366043]
アイカ工業,2019,Q2,49.085480967529875,[0.04366043]
アイカ工業,2019,Q3,44.99406642348841,[0.04366043]
アイカ工業,2019,Q4,52.7759152917147,[0.04366043]
アイカ工業,2020,Q1,36.75906277319734,[0.04366043]
アイカ工業,2020,Q2,35.49548599743048,[0.04366043]
アイカ工業,2020,Q3,63.69523069758347,[0.04366043]
アイカ工業,2020,Q4,65.7146923675521,[0.04366043]
アイコム,2018,Q1,20.766027826621993,[141.10368144]
アイコム,2018,Q2,25.445547010093215,[141.10368144]
アイコム,2018,Q3,27.093860992939867,[141.10368144]
アイコム,2018,Q4,109.46995902503821,[141.10368144]
アイコム,2019,Q1,3.022823042876638,[141.10368144]
アイコム,2019,Q2,13.764685988012879,[141.10368144]
アイコム,2019,Q3,37.27787107825718,[141.10368144]
アイコム,2019,Q4,58.6710479820881,[141.10368144]
アイコム,2020,Q1,-6.623138374601545,[141.10368144]
アイコム,2020,Q2,5.492337925756921,[141.10368144]
アイコム,2020,Q3,24.477589415407266,[141.10368144]
アイコム,2020,Q4,50.81038588270528,[141.10368144]
アイシン,2018,Q1,173.21419189030115,[34.30714136]
アイシン,2018,Q2,52.25382370472667,[34.30714136]
アイシン,2018,Q3,91.48589335797122,[34.30714136]
アイシン,2018,Q4,131.04140490250728,[34.30714136]
アイシン,2019,Q1,115.53025829263116,[34.30714136]
アイシン,2019,Q2,-7.591159726444397,[34.30714136]
アイシン,2019,Q3,50.57530412546767,[34.30714136]
アイシン,2019,Q4,17.27895378784462,[34.30714136]
アイシン,2020,Q1,-202.78988084106606,[34.30714136]
アイシン,2020,Q2,108.10001878846761,[34.30714136]
アイシン,2020,Q3,197.2321924509058,[34.30714136]
アイシン,2020,Q4,103.12084815436467,[34.30714136]
アイダエンジニアリング,2018,Q1,13.60030275313779,[0.0800381]
アイダエンジニアリング,2018,Q2,2.9080067508165115,[0.0800381]
アイダエンジニアリング,2018,Q3,5.777835066478538,[0.0800381]
アイダエンジニアリング,2018,Q4,23.119550185710885,[0.0800381]
アイダエンジニアリング,2019,Q1,4.9884583951113495,[0.0800381]
アイダエンジニアリング,2019,Q2,17.038971494629294,[0.0800381]
アイダエンジニアリング,2019,Q3,14.885266638065147,[0.0800381]
アイダエンジニアリング,2019,Q4,27.170452390243362,[0.0800381]
アイダエンジニアリング,2020,Q1,8.728249340984412,[0.0800381]
アイダエンジニアリング,2020,Q2,32.1564870995954,[0.0800381]
アイダエンジニアリング,2020,Q3,17.335730203163465,[0.0800381]
アイダエンジニアリング,2020,Q4,22.970593231369904,[0.0800381]
アイチコーポレーション,2018,Q1,5.257619389130472,[1.65706921]
アイチコーポレーション,2018,Q2,18.45427310568979,[1.65706921]
アイチコーポレーション,2018,Q3,20.717586634837808,[1.65706921]
アイチコーポレーション,2018,Q4,23.99106902451115,[1.65706921]
アイチコーポレーション,2019,Q1,13.501854382363149,[1.65706921]
アイチコーポレーション,2019,Q2,17.48602917583846,[1.65706921]
アイチコーポレーション,2019,Q3,7.157417771724139,[1.65706921]
アイチコーポレーション,2019,Q4,19.874389603393755,[1.65706921]
アイチコーポレーション,2020,Q1,10.399129987702542,[1.65706921]
アイチコーポレーション,2020,Q2,17.28859544602832,[1.65706921]
アイチコーポレーション,2020,Q3,12.540271213992446,[1.65706921]
アイチコーポレーション,2020,Q4,23.53152701581551,[1.65706921]
アイティフォー,2018,Q1,3.849570391559892,[3.71779709]
アイティフォー,2018,Q2,6.7397909600774195,[3.71779709]
アイティフォー,2018,Q3,7.8197587062159535,[3.71779709]
アイティフォー,2018,Q4,21.37261099422243,[3.71779709]
アイティフォー,2019,Q1,6.136580678530137,[3.71779709]
アイティフォー,2019,Q2,9.852200930372419,[3.71779709]
アイティフォー,2019,Q3,8.42261584000697,[3.71779709]
アイティフォー,2019,Q4,21.199603674625244,[3.71779709]
アイティフォー,2020,Q1,8.90016589339881,[3.71779709]
アイティフォー,2020,Q2,13.749302180179198,[3.71779709]
アイティフォー,2020,Q3,10.656698612524224,[3.71779709]
アイティフォー,2020,Q4,22.514234961092072,[3.71779709]
アイティメディア,2018,Q1,-1.754402560765243,[0.02914845]
アイティメディア,2018,Q2,8.282952323599062,[0.02914845]
アイティメディア,2018,Q3,4.135299812912024,[0.02914845]
アイティメディア,2018,Q4,-1.2289749666852572,[0.02914845]
アイティメディア,2019,Q1,7.15449566356088,[0.02914845]
アイティメディア,2019,Q2,11.985051177461656,[0.02914845]
アイティメディア,2019,Q3,9.650395268206736,[0.02914845]
アイティメディア,2019,Q4,10.787297667878377,[0.02914845]
アイティメディア,2020,Q1,11.480211845096164,[0.02914845]
アイティメディア,2020,Q2,16.866954111967928,[0.02914845]
アイティメディア,2020,Q3,21.73611178529717,[0.02914845]
アイティメディア,2020,Q4,21.755465471395368,[0.02914845]
アイネス,2018,Q1,9.00837652701878,[580.35289817]
アイネス,2018,Q2,9.56070298448951,[580.35289817]
アイネス,2018,Q3,9.2387363712696,[580.35289817]
アイネス,2018,Q4,11.266796544854373,[580.35289817]
アイネス,2019,Q1,9.235272925380084,[580.35289817]
アイネス,2019,Q2,11.071521363655593,[580.35289817]
アイネス,2019,Q3,9.00594958421116,[580.35289817]
アイネス,2019,Q4,14.67442364590649,[580.35289817]
アイネス,2020,Q1,11.960555555555553,[580.35289817]
アイネス,2020,Q2,12.272499999999999,[580.35289817]
アイネス,2020,Q3,11.668055555555556,[580.35289817]
アイネス,2020,Q4,12.413333333333334,[580.35289817]
アイネット,2018,Q1,13.873373446468783,[0.00210884]
アイネット,2018,Q2,24.434042763437155,[0.00210884]
アイネット,2018,Q3,27.263719559426818,[0.00210884]
