企業名,会計年度,四半期,rolling_sample,pruned_trials,complete_trials,best_trial_val_error,best_trial_params,final_train_epochs,final_train_min_loss,y_test,y_hat
かどや製油,2019,Q1,4,54,46,0.5801056027412415,"dict_items([('hidden_units', 175), ('learning_rate', 0.19249188265339015)])",424,"tensor(76.7494, grad_fn=<MseLossBackward>)",98.69,76.47127
かどや製油,2019,Q2,5,59,41,0.5779895186424255,"dict_items([('hidden_units', 383), ('learning_rate', 0.06503029691448929)])",11,"tensor(501.0704, grad_fn=<MseLossBackward>)",70.47,90.29406
かどや製油,2019,Q3,6,64,36,0.5936720371246338,"dict_items([('hidden_units', 178), ('learning_rate', 0.14447060232135991)])",13,"tensor(577.3390, grad_fn=<MseLossBackward>)",60.82,96.61017
かどや製油,2019,Q4,7,67,33,0.5545716881752014,"dict_items([('hidden_units', 396), ('learning_rate', 0.06285350830468808)])",11,"tensor(443.8590, grad_fn=<MseLossBackward>)",47.48,90.327255
かどや製油,2020,Q1,8,51,49,0.5014187097549438,"dict_items([('hidden_units', 653), ('learning_rate', 0.04387805531468492)])",10,"tensor(454.3860, grad_fn=<MseLossBackward>)",79.34,97.575455
かどや製油,2020,Q2,9,68,32,0.49995920062065125,"dict_items([('hidden_units', 424), ('learning_rate', 0.06395016557470319)])",10,"tensor(479.6797, grad_fn=<MseLossBackward>)",68.44,88.69609
かどや製油,2020,Q3,10,59,41,0.049314018338918686,"dict_items([('hidden_units', 877), ('learning_rate', 0.12815771625521777)])",387,"tensor(3.6910e-11, grad_fn=<MseLossBackward>)",61.14,61.319096
かどや製油,2020,Q4,11,55,45,0.0273002739995718,"dict_items([('hidden_units', 912), ('learning_rate', 0.11369748739584944)])",470,"tensor(2.5325e-09, grad_fn=<MseLossBackward>)",19.52,56.513905
きんでん,2018,Q1,0,59,41,0.3715559244155884,"dict_items([('hidden_units', 703), ('learning_rate', 0.03606058070404669)])",384,"tensor(9.0792e-12, grad_fn=<MseLossBackward>)",8.01,9.868713
きんでん,2018,Q2,1,62,38,0.3735595643520355,"dict_items([('hidden_units', 839), ('learning_rate', 0.020698665181565042)])",944,"tensor(1.1105e-11, grad_fn=<MseLossBackward>)",27.73,22.646286
きんでん,2018,Q3,2,65,35,0.3240136206150055,"dict_items([('hidden_units', 418), ('learning_rate', 0.0399597228313506)])",16,"tensor(73.5726, grad_fn=<MseLossBackward>)",31.43,24.448904
きんでん,2018,Q4,3,54,46,0.36657199263572693,"dict_items([('hidden_units', 429), ('learning_rate', 0.047846813871510664)])",591,"tensor(1.9570e-12, grad_fn=<MseLossBackward>)",65.78,70.307846
きんでん,2019,Q1,4,55,45,0.4337599575519562,"dict_items([('hidden_units', 894), ('learning_rate', 0.02703437558949491)])",14,"tensor(97.9260, grad_fn=<MseLossBackward>)",15.17,13.519492
きんでん,2019,Q2,5,59,41,0.38289153575897217,"dict_items([('hidden_units', 839), ('learning_rate', 0.0275646524940614)])",930,"tensor(1.9017e-11, grad_fn=<MseLossBackward>)",31.97,28.788242
きんでん,2019,Q3,6,64,36,0.33732470870018005,"dict_items([('hidden_units', 409), ('learning_rate', 0.05449405062090219)])",15,"tensor(67.2498, grad_fn=<MseLossBackward>)",40.36,27.081057
きんでん,2019,Q4,7,58,42,0.1642593890428543,"dict_items([('hidden_units', 379), ('learning_rate', 0.11176314227713785)])",493,"tensor(7.4497e-12, grad_fn=<MseLossBackward>)",62.84,65.86124
きんでん,2020,Q1,8,61,39,0.21448259055614471,"dict_items([('hidden_units', 832), ('learning_rate', 0.047564237027895785)])",801,"tensor(1.8162e-11, grad_fn=<MseLossBackward>)",13.2,23.809912
きんでん,2020,Q2,9,62,38,0.26735416054725647,"dict_items([('hidden_units', 677), ('learning_rate', 0.052347968433405494)])",768,"tensor(5.5148e-12, grad_fn=<MseLossBackward>)",33.3,35.901646
きんでん,2020,Q3,10,66,34,0.22355850040912628,"dict_items([('hidden_units', 242), ('learning_rate', 0.11926051737669281)])",14,"tensor(55.8553, grad_fn=<MseLossBackward>)",47.09,33.9711
きんでん,2020,Q4,11,60,40,0.24595998227596283,"dict_items([('hidden_units', 966), ('learning_rate', 0.03809852271120689)])",13,"tensor(65.2190, grad_fn=<MseLossBackward>)",63.349377,41.629314
さくらインターネット,2018,Q1,0,66,34,0.37953612208366394,"dict_items([('hidden_units', 407), ('learning_rate', 0.008250881701560095)])",10000,"tensor(4499.0161, grad_fn=<MseLossBackward>)",1.04,23.552382
さくらインターネット,2018,Q2,1,76,24,0.3002062141895294,"dict_items([('hidden_units', 333), ('learning_rate', 0.008859929298173905)])",6185,"tensor(336249.4062, grad_fn=<MseLossBackward>)",1.84,45.31028
さくらインターネット,2018,Q3,2,62,38,0.26612165570259094,"dict_items([('hidden_units', 307), ('learning_rate', 0.008179850783380899)])",10000,"tensor(4024.1289, grad_fn=<MseLossBackward>)",0.98,2.3380709
さくらインターネット,2018,Q4,3,60,40,0.17242293059825897,"dict_items([('hidden_units', 794), ('learning_rate', 0.00590181846310029)])",7852,"tensor(514.1266, grad_fn=<MseLossBackward>)",-1.45,5.318144
さくらインターネット,2019,Q1,4,78,22,0.6451132893562317,"dict_items([('hidden_units', 603), ('learning_rate', 0.00201585913107817)])",10000,"tensor(65179.8594, grad_fn=<MseLossBackward>)",4.37,90.97924
さくらインターネット,2019,Q2,5,83,17,0.672503650188446,"dict_items([('hidden_units', 775), ('learning_rate', 0.002425228005171205)])",10000,"tensor(143137.7656, grad_fn=<MseLossBackward>)",0.49,0.9073855
