企業名,会計年度,四半期,y_hat_ml2_i_tuned_simple
アイネット,2018,Q3,27.92017996638276
アイネット,2018,Q4,18.27354612190254
アイネット,2019,Q1,23.011714612466335
アイネット,2019,Q2,32.82107500505833
アイネット,2019,Q3,26.915406823336298
アイネット,2019,Q4,26.06251214804331
アイネット,2020,Q1,7.641811927531194
アイネット,2020,Q2,33.46023405622225
アイネット,2020,Q3,25.914883140697327
アイネット,2020,Q4,32.56782980889609
アイホン,2018,Q1,15.898030782884277
アイホン,2018,Q2,77.19293664545457
アイホン,2018,Q3,28.739291718902024
アイホン,2018,Q4,62.33584771588353
アイホン,2019,Q1,46.68489619750106
アイホン,2019,Q2,88.65285193894584
アイホン,2019,Q3,10.278007249570326
アイホン,2019,Q4,1.1350628005115215
アイホン,2020,Q1,-1.6944572974287606
アイホン,2020,Q2,55.825915174533975
アイホン,2020,Q3,44.67628907527292
アイホン,2020,Q4,-8.174492957977344
アイロムグループ,2018,Q1,42.07994211322517
アイロムグループ,2018,Q2,53.30524389485706
アイロムグループ,2018,Q3,46.62234448202874
アイロムグループ,2018,Q4,55.422598487456995
アイロムグループ,2019,Q1,21.514736350264812
アイロムグループ,2019,Q2,-83.43493361281713
アイロムグループ,2019,Q3,-17.093854151432552
アイロムグループ,2019,Q4,44.82941132293982
アイロムグループ,2020,Q1,32.28414914265633
アイロムグループ,2020,Q2,34.02259241678192
アイロムグループ,2020,Q3,55.234373472699076
アイロムグループ,2020,Q4,34.70662765869119
アキレス,2018,Q1,38.905514468997225
アキレス,2018,Q2,31.95400997902341
アキレス,2018,Q3,30.768713106574225
アキレス,2018,Q4,-19.616872661785578
アキレス,2019,Q1,5.990540247142759
アキレス,2019,Q2,0.6375549507616078
アキレス,2019,Q3,-13.984488636925425
アキレス,2019,Q4,-32.95057792030952
アキレス,2020,Q1,78.43283816976525
アキレス,2020,Q2,88.30457491241239
アキレス,2020,Q3,-7.207047950031873
アキレス,2020,Q4,22.078673187623565
アクシアル　リテイリング,2018,Q1,58.13130403615091
アクシアル　リテイリング,2018,Q2,83.73061569338603
アクシアル　リテイリング,2018,Q3,88.97447198053769
アクシアル　リテイリング,2018,Q4,55.055931058246635
アクシアル　リテイリング,2019,Q1,79.18949832979021
アクシアル　リテイリング,2019,Q2,72.13317410787919
アクシアル　リテイリング,2019,Q3,85.07286423930876
アクシアル　リテイリング,2019,Q4,58.61299932915128
アクシアル　リテイリング,2020,Q1,102.02639526329314
アクシアル　リテイリング,2020,Q2,94.930199866507
アクシアル　リテイリング,2020,Q3,90.87495259769639
アクシアル　リテイリング,2020,Q4,47.89740786776793
アクセル,2018,Q1,-66.89349299523813
アクセル,2018,Q2,-6.277376814136584
アクセル,2018,Q3,-3.2377227795326355
アクセル,2018,Q4,-16.420886074258547
アクセル,2019,Q1,9.4194937150084
アクセル,2019,Q2,-6.8631177397351415
アクセル,2019,Q3,19.657595227249562
アクセル,2019,Q4,-5.223751386804295
アクセル,2020,Q1,24.538341506591912
アクセル,2020,Q2,-1.61446612263029
アクセル,2020,Q3,14.060393166884143
アクセル,2020,Q4,12.539032932015644
アジアパイルホールディングス,2018,Q1,9.740308758355354
アジアパイルホールディングス,2018,Q2,1.6756675537325094
アジアパイルホールディングス,2018,Q3,11.960968839483463
アジアパイルホールディングス,2018,Q4,29.934496402867552
アジアパイルホールディングス,2019,Q1,51.06630330128206
アジアパイルホールディングス,2019,Q2,8.638944571003044
アジアパイルホールディングス,2019,Q3,24.508303939874768
アジアパイルホールディングス,2019,Q4,12.666658447741101
アジアパイルホールディングス,2020,Q1,13.56404663545714
アジアパイルホールディングス,2020,Q2,16.233283891511537
アジアパイルホールディングス,2020,Q3,18.44591956117167
アジアパイルホールディングス,2020,Q4,10.183909828590302
アステラス製薬,2018,Q1,33.97312731629907
アステラス製薬,2018,Q2,28.989597125158472
アステラス製薬,2018,Q3,39.67597888968106
アステラス製薬,2018,Q4,19.772214734290426
アステラス製薬,2019,Q1,39.25774966777654
アステラス製薬,2019,Q2,28.969547819913664
アステラス製薬,2019,Q3,32.91773656634669
アステラス製薬,2019,Q4,18.08236754328261
アステラス製薬,2020,Q1,26.71801511518214
アステラス製薬,2020,Q2,37.72921776456124
アステラス製薬,2020,Q3,37.544061016061804
アステラス製薬,2020,Q4,13.46974233354552
アズビル,2018,Q1,36.47967353552126
アズビル,2018,Q2,52.379404131683316
アズビル,2018,Q3,13.532434608879043
アズビル,2018,Q4,131.44507360469112
アズビル,2019,Q1,23.32362904723439
アズビル,2019,Q2,-2.6961554704960804
アズビル,2019,Q3,-16.35379158945092
アズビル,2019,Q4,45.02650836719541
アズビル,2020,Q1,13.92787067065444
アズビル,2020,Q2,30.845978138208682
アズビル,2020,Q3,40.413245603959126
アズビル,2020,Q4,57.47129993769274
アズワン,2018,Q1,72.08901901916107
アズワン,2018,Q2,64.58383107947648
アズワン,2018,Q3,70.10278224652933
アズワン,2018,Q4,87.50268566515572
アズワン,2019,Q1,70.90081257051563
アズワン,2019,Q2,64.85739411949791
アズワン,2019,Q3,75.52535611928536
アズワン,2019,Q4,93.02954255442779
アズワン,2020,Q1,64.1900347284988
アズワン,2020,Q2,68.23261152468413
