企業名,会計年度,四半期,y_hat_ml1
なとり,2020,Q2,30.361006029863155
なとり,2020,Q3,85.11479427161353
なとり,2020,Q4,-12.97406721270614
はせがわ,2018,Q1,-9.995938078905908
はせがわ,2018,Q2,25.06068361209493
はせがわ,2018,Q3,-3.3520531951458423
はせがわ,2018,Q4,-1.904144265489407
はせがわ,2019,Q1,-21.70647993418899
はせがわ,2019,Q2,21.412090605776925
はせがわ,2019,Q3,-20.327623641408422
はせがわ,2019,Q4,-28.085572679105468
はせがわ,2020,Q1,-18.822617504600288
はせがわ,2020,Q2,10.128226603847253
はせがわ,2020,Q3,0.3842166851897843
はせがわ,2020,Q4,5.071549648994022
はるやまホールディングス,2018,Q1,14.184048400262128
はるやまホールディングス,2018,Q2,-38.79087612612992
はるやまホールディングス,2018,Q3,32.48851246151651
はるやまホールディングス,2018,Q4,74.50154811698752
はるやまホールディングス,2019,Q1,-17.267252879500234
はるやまホールディングス,2019,Q2,-5.354462505301967
はるやまホールディングス,2019,Q3,15.115594566022338
はるやまホールディングス,2019,Q4,1.558983297622376
はるやまホールディングス,2020,Q1,-93.21407837445054
はるやまホールディングス,2020,Q2,-100.80085322016258
はるやまホールディングス,2020,Q3,-5.45572951105396
はるやまホールディングス,2020,Q4,-54.86107808585996
ぴあ,2018,Q1,32.44744950570619
ぴあ,2018,Q2,11.073243429931512
ぴあ,2018,Q3,6.338941156819278
ぴあ,2018,Q4,8.379139372624802
ぴあ,2019,Q1,4.85541674206695
ぴあ,2019,Q2,22.42101792943313
ぴあ,2019,Q3,-20.52698385055382
ぴあ,2019,Q4,25.4507936549974
ぴあ,2020,Q1,-189.2613192404
ぴあ,2020,Q2,-118.52105280788132
ぴあ,2020,Q3,-9.158870266081268
ぴあ,2020,Q4,-59.92478378068292
やまや,2018,Q1,94.6486669335888
やまや,2018,Q2,88.00954892301755
やまや,2018,Q3,179.3979305586844
やまや,2018,Q4,56.18520876766012
やまや,2019,Q1,73.4663472314175
やまや,2019,Q2,18.044285564085207
やまや,2019,Q3,134.66550630467174
やまや,2019,Q4,-24.442756732691407
やまや,2020,Q1,-172.99993346240808
やまや,2020,Q2,33.050178298216856
やまや,2020,Q3,-113.4538970822183
やまや,2020,Q4,-217.74872054560035
りらいあコミュニケーションズ,2018,Q1,10.910341386221086
りらいあコミュニケーションズ,2018,Q2,10.982425147878809
りらいあコミュニケーションズ,2018,Q3,11.379180374203456
りらいあコミュニケーションズ,2018,Q4,19.580879347605617
りらいあコミュニケーションズ,2019,Q1,-845.4256605529754
りらいあコミュニケーションズ,2019,Q2,90.14641520504205
りらいあコミュニケーションズ,2019,Q3,-1078.289456224899
りらいあコミュニケーションズ,2019,Q4,-1239.4036748970805
りらいあコミュニケーションズ,2020,Q1,44.51880679414535
りらいあコミュニケーションズ,2020,Q2,111.01659657839284
りらいあコミュニケーションズ,2020,Q3,66.05794847226213
りらいあコミュニケーションズ,2020,Q4,-32.535714368508884
わかもと製薬,2018,Q1,4.665288502607904
わかもと製薬,2018,Q2,-0.9366337838538676
わかもと製薬,2018,Q3,2.642947822844277
わかもと製薬,2018,Q4,-3.3211504311311515
わかもと製薬,2019,Q1,-4.649135656705287
わかもと製薬,2019,Q2,-16.286989895879465
わかもと製薬,2019,Q3,-9.859165439576934
わかもと製薬,2019,Q4,-1.923896959510401
わかもと製薬,2020,Q1,-6.729328107958068
わかもと製薬,2020,Q2,-7.076627649890781
わかもと製薬,2020,Q3,15.286995276859273
わかもと製薬,2020,Q4,-6.948723268784834
アイカ工業,2018,Q1,48.61804778942312
アイカ工業,2018,Q2,52.46926917619318
アイカ工業,2018,Q3,62.65807701090991
アイカ工業,2018,Q4,54.23185043281799
アイカ工業,2019,Q1,44.76239403720273
アイカ工業,2019,Q2,51.34013446972417
アイカ工業,2019,Q3,54.75487014808847
アイカ工業,2019,Q4,53.758169946506975
アイカ工業,2020,Q1,41.32298707433764
アイカ工業,2020,Q2,37.58248373582001
アイカ工業,2020,Q3,52.57453980165823
アイカ工業,2020,Q4,51.58625700522603
アイコム,2018,Q1,24.10968958041769
アイコム,2018,Q2,35.807768936919615
アイコム,2018,Q3,60.09134539343008
アイコム,2018,Q4,121.7253599049754
アイコム,2019,Q1,-31.01641087954997
アイコム,2019,Q2,63.619258458582095
アイコム,2019,Q3,53.67586330542596
アイコム,2019,Q4,38.59363760433115
アイコム,2020,Q1,-26.995726586985118
アイコム,2020,Q2,-38.97666697258293
アイコム,2020,Q3,55.02077150813764
