企業名,会計年度,四半期,y_hat_ml1_i_tuned
アジアパイルホールディングス,2019,Q1,19.76992877194797
アジアパイルホールディングス,2019,Q2,19.7927194863218
アジアパイルホールディングス,2019,Q3,17.22121408057516
アジアパイルホールディングス,2019,Q4,19.08303918367069
アジアパイルホールディングス,2020,Q1,16.85264301291658
アジアパイルホールディングス,2020,Q2,18.4663573890312
アジアパイルホールディングス,2020,Q3,18.253433625359843
アジアパイルホールディングス,2020,Q4,17.019766285397402
アステラス製薬,2018,Q1,33.21956321357837
アステラス製薬,2018,Q2,24.820816568777374
アステラス製薬,2018,Q3,29.24455364131002
アステラス製薬,2018,Q4,14.331974116881852
アステラス製薬,2019,Q1,32.84308291596925
アステラス製薬,2019,Q2,23.77429416998064
アステラス製薬,2019,Q3,30.858933483199404
アステラス製薬,2019,Q4,17.195032122094904
アステラス製薬,2020,Q1,30.96102152394088
アステラス製薬,2020,Q2,29.78242338639142
アステラス製薬,2020,Q3,31.111728890324567
アステラス製薬,2020,Q4,14.710283296294794
アズビル,2018,Q1,15.184410110254689
アズビル,2018,Q2,47.51251079241909
アズビル,2018,Q3,-12.41453871823856
アズビル,2018,Q4,85.45572329088061
アズビル,2019,Q1,7.175498297631151
アズビル,2019,Q2,25.191319325691158
アズビル,2019,Q3,-2.7718630393981982
アズビル,2019,Q4,36.44049149480841
アズビル,2020,Q1,7.484425033670487
アズビル,2020,Q2,29.853828758335474
アズビル,2020,Q3,34.46913941347533
アズビル,2020,Q4,51.67642087907212
アズワン,2018,Q1,75.22795845385654
アズワン,2018,Q2,67.67914925695479
アズワン,2018,Q3,75.518516176
アズワン,2018,Q4,94.9494173643508
アズワン,2019,Q1,82.22837622238501
アズワン,2019,Q2,66.31390462768977
アズワン,2019,Q3,74.62450809627336
アズワン,2019,Q4,85.36453899607446
アズワン,2020,Q1,80.50656922912768
アズワン,2020,Q2,71.72798468029669
アズワン,2020,Q3,92.2444349509328
アズワン,2020,Q4,91.66138177159851
アツギ,2018,Q1,1.2128605041937404
アツギ,2018,Q2,-5.913893415639238
アツギ,2018,Q3,6.582205737344262
アツギ,2018,Q4,6.157679060796871
アツギ,2019,Q1,-95.21536226499246
アツギ,2019,Q2,-74.02398657938822
アツギ,2019,Q3,-30.371500348223893
アツギ,2019,Q4,-114.06321643221877
アツギ,2020,Q1,28.46382767207016
アツギ,2020,Q2,-410.3905135520693
アツギ,2020,Q3,-133.8242423626141
アツギ,2020,Q4,-257.89232809428546
アドウェイズ,2018,Q1,1.9708324260055523
アドウェイズ,2018,Q2,13.576312762707222
アドウェイズ,2018,Q3,11.429509586506647
アドウェイズ,2018,Q4,11.2347806513784
アドウェイズ,2019,Q1,10.70939617340197
アドウェイズ,2019,Q2,5.420612166559163
アドウェイズ,2019,Q3,12.786088800905432
アドウェイズ,2019,Q4,0.3067202003282217
アドウェイズ,2020,Q1,1.782821192890322
アドウェイズ,2020,Q2,-4.804539651037226
アドウェイズ,2020,Q3,0.869956313461886
アドウェイズ,2020,Q4,11.93058978567525
アドソル日進,2018,Q1,17.307224871145927
アドソル日進,2018,Q2,18.732278016237736
アドソル日進,2018,Q3,18.556695583884636
アドソル日進,2018,Q4,15.550774784067888
アドソル日進,2019,Q1,21.282768380085933
アドソル日進,2019,Q2,23.27230497421464
アドソル日進,2019,Q3,23.50144227698862
アドソル日進,2019,Q4,18.58255754315455
アドソル日進,2020,Q1,24.75154505272212
アドソル日進,2020,Q2,24.53123158482389
アドソル日進,2020,Q3,24.23911844669387
アドソル日進,2020,Q4,17.487414537576655
アドバネクス,2018,Q1,-1.4133853713023825
アドバネクス,2018,Q2,9.46059523010371
アドバネクス,2018,Q3,-5.8121529974616575
アドバネクス,2018,Q4,-30.107844155538032
アドバネクス,2019,Q1,-16.386916896154972
アドバネクス,2019,Q2,-10.293512823995965
アドバネクス,2019,Q3,17.17809026446561
アドバネクス,2019,Q4,-16.443373896251597
アドバネクス,2020,Q1,-67.3129854130624
アドバネクス,2020,Q2,-57.05708686448607
アドバネクス,2020,Q3,-24.808816091057697
アドバネクス,2020,Q4,-50.44892787688376
アドバンテスト,2018,Q1,71.10315729431342
アドバンテスト,2018,Q2,80.16455946237241
アドバンテスト,2018,Q3,83.65838591977686
アドバンテスト,2018,Q4,50.58278097353941
アドバンテスト,2019,Q1,59.57959873596814
アドバンテスト,2019,Q2,79.80422759818613
アドバンテスト,2019,Q3,61.45628239012343
アドバンテスト,2019,Q4,52.1405596487227
