,,,,決算期,決算月数,連結基準フラグ,決算種別フラグ,決算発表日,売上高・営業収益［累計］,売上総利益［累計］,営業利益［累計］,経常利益／税金等調整前当期純利益［累計］,売上高・営業収益［３ヵ月］,売上総利益［３ヵ月］,営業利益［３ヵ月］,経常利益／税金等調整前当期純利益［３ヵ月］,当期純利益（連結）［累計］,当期純利益（連結）［３ヵ月］,１株当たり利益［累計］,１株当たり利益（遡及調整後）［累計］,１株当たり利益［３ヵ月］,１株当たり利益（遡及調整後）［３ヵ月］,潜在株式調整後１株当たり利益［累計］,潜在株式調整後１株当たり利益（遡及調整後）［累計］,潜在株式調整後１株当たり利益［３ヵ月］,潜在株式調整後１株当たり利益（遡及調整後）［３ヵ月］,棚卸資産,資本的支出,期末従業員数,販売費及び一般管理費［累計］,販売費及び一般管理費［３ヵ月］,受取手形・売掛金／売掛金及びその他の短期債権
,,,,FINFSTA'ACC,FINFSTA'MACC,FINFSTA'A01_SECFLG,FINFSTA'A01_HACC,FINFSTA'A01036,FINFSTA'D01021,FINFSTA'D01026,FINFSTA'D01029,FINFSTA'D01066,FINFSTA'E01021,FINFSTA'E01026,FINFSTA'E01029,FINFSTA'E01066,FINFSTA'D01114,FINFSTA'E01114,FINFSTA'A01059,FINFSTA'A01161,FINFSTA'A01060,FINFSTA'A01162,FINFSTA'A01062,FINFSTA'A01164,FINFSTA'A01063,FINFSTA'A01165,FINFSTA'B01034,FINFSTA'I_A01143,FINFSTA'H01021,FINFSTA'D01027,FINFSTA'E01027,FINFSTA'B01023
,,,,年月,ヶ月,1桁コード,2桁コード,年月日,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,百万円,円,円,円,円,円,円,円,円,百万円,百万円,人,百万円,百万円,百万円
月次(M),2003/03,トヨタ自動車,T7203,2003/03,12,2,10,2003/07/31,15501553,3587308,1271646,1226652,-,-,-,-,-,-,211.32,-,-,-,211.32,-,-,-,1025838,1610229,-,2315662,-,1475797
月次(M),2003/06,トヨタ自動車,T7203,2003/06,3,2,21,2003/08/05,4092939,953636,340772,371279,4092939,953636,340772,371279,-,-,64.83,-,64.83,-,-,-,-,-,1054208,-,-,612864,612864,1335846
月次(M),2003/09,トヨタ自動車,T7203,2003/09,6,2,22,2003/11/05,8224241,1949877,767769,812013,-,-,-,-,-,-,153.36,-,-,-,153.35,-,-,-,1059824,743976,265532,1182108,-,1325168
月次(M),2003/12,トヨタ自動車,T7203,2003/12,9,2,23,2004/02/05,12610300,-,1169462,1241719,4386059,998333,401693,429705,-,-,-,-,84.83,-,-,-,84.82,-,1070562,-,-,-,596640,1313066
月次(M),2004/03,トヨタ自動車,T7203,2004/03,12,2,10,2004/05/11,17294760,3788423,1666890,1765793,-,-,-,-,-,-,342.9,-,-,-,342.86,-,-,-,1083326,1488541,264410,2121533,-,1560617
月次(M),2004/06,トヨタ自動車,T7203,2004/06,3,2,21,2004/08/03,4510316,1046536,448620,470429,4510316,1046536,448620,470429,-,-,86.24,-,86.24,-,86.22,-,86.22,-,1124779,-,-,597916,597916,1383492
月次(M),2004/09,トヨタ自動車,T7203,2004/09,6,2,22,2004/11/01,9025665,2064144,866249,913215,-,-,-,-,-,-,176.32,-,-,-,176.28,-,-,-,1191041,900594,269310,1197895,-,1425716
月次(M),2004/12,トヨタ自動車,T7203,2004/12,9,2,23,2005/02/03,13669727,-,1289149,1360403,4644062,956133,422900,447188,-,-,-,-,90.35,-,-,-,90.33,-,1181228,-,-,-,533233,1381343
月次(M),2005/03,トヨタ自動車,T7203,2005/03,12,2,10,2005/05/10,18551526,4051244,1672187,1754637,4881900,-,383000,394300,-,-,355.35,-,-,-,355.28,-,-,-,1306709,1923240,265753,2379057,-,1832381
月次(M),2005/06,トヨタ自動車,T7203,2005/06,3,2,21,2005/08/03,4981785,1103698,405128,421860,4981785,1103698,405128,421860,-,-,81.8,-,81.8,-,81.79,-,81.79,-,1386647,-,-,698570,698570,1427076
月次(M),2005/09,トヨタ自動車,T7203,2005/09,6,2,22,2005/11/04,9953160,2242892,809491,855997,-,-,-,-,-,-,175.13,-,-,-,175.1,-,-,-,1443333,1341262,278622,1433401,-,1631301
月次(M),2005/12,トヨタ自動車,T7203,2005/12,9,2,23,2006/02/07,15286547,-,1291702,1495971,5333387,1200452,482211,639974,-,-,-,-,122.22,-,-,-,122.17,-,1549685,-,-,-,718241,1503323
