企業名,会計年度,四半期,y_hat_sarima_f
きんでん,2018,Q1,9.416524360201556
きんでん,2018,Q2,24.49874330396385
きんでん,2018,Q3,31.35731846818296
きんでん,2018,Q4,71.27520087467724
きんでん,2019,Q1,7.541569610913506
きんでん,2019,Q2,28.301204209637216
きんでん,2019,Q3,31.987280593656838
きんでん,2019,Q4,67.23827604913744
きんでん,2020,Q1,14.753713240735747
きんでん,2020,Q2,31.67881266318037
きんでん,2020,Q3,40.52316787834558
きんでん,2020,Q4,63.70347838247621
さくらインターネット,2018,Q1,0.8172259004552828
さくらインターネット,2018,Q2,2.1756437625341083
さくらインターネット,2018,Q3,2.7928524977612676
さくらインターネット,2018,Q4,3.0993768753996997
さくらインターネット,2019,Q1,-0.09090178249511438
さくらインターネット,2019,Q2,2.5377121585517717
さくらインターネット,2019,Q3,0.5841656896902462
さくらインターネット,2019,Q4,-2.087501964193032
さくらインターネット,2020,Q1,5.786332630100429
さくらインターネット,2020,Q2,0.5347650597528754
さくらインターネット,2020,Q3,1.4288723115805038
さくらインターネット,2020,Q4,5.38684123133252
たけびし,2018,Q1,38.15599451605354
たけびし,2018,Q2,41.44127082803132
たけびし,2018,Q3,49.27151133421654
たけびし,2018,Q4,51.79047869176663
たけびし,2019,Q1,37.481173180703294
たけびし,2019,Q2,36.744794702089024
たけびし,2019,Q3,52.90755107174517
たけびし,2019,Q4,14.072643860005442
たけびし,2020,Q1,23.0056796960583
たけびし,2020,Q2,36.9940376906584
たけびし,2020,Q3,15.59193168855295
たけびし,2020,Q4,21.824135602433476
なとり,2018,Q1,22.196552086457903
なとり,2018,Q2,7.27166426878023
なとり,2018,Q3,47.102402578807926
なとり,2018,Q4,-16.350496986477275
なとり,2019,Q1,21.780735829585257
なとり,2019,Q2,20.02605710293355
なとり,2019,Q3,65.64729271910218
なとり,2019,Q4,-21.907653553608256
なとり,2020,Q1,12.748444876333393
なとり,2020,Q2,22.062304243297227
なとり,2020,Q3,60.591992768847625
なとり,2020,Q4,-5.5414709454253375
はせがわ,2018,Q1,-9.948435743362547
はせがわ,2018,Q2,30.060966392692347
はせがわ,2018,Q3,-0.5655799876055538
はせがわ,2018,Q4,10.584561477449741
はせがわ,2019,Q1,-8.392469965918732
はせがわ,2019,Q2,22.442329875823173
はせがわ,2019,Q3,-5.761471206504687
はせがわ,2019,Q4,-9.07750851317827
はせがわ,2020,Q1,-34.451262112465244
はせがわ,2020,Q2,22.965281895093316
はせがわ,2020,Q3,-23.033398847217203
はせがわ,2020,Q4,-25.586337365930856
はるやまホールディングス,2018,Q1,3.5398713048289663
はるやまホールディングス,2018,Q2,-24.90290380553877
はるやまホールディングス,2018,Q3,22.926371329881047
はるやまホールディングス,2018,Q4,75.60858349623513
はるやまホールディングス,2019,Q1,-28.34843601984857
はるやまホールディングス,2019,Q2,-43.34536848020796
はるやまホールディングス,2019,Q3,21.55506142658708
はるやまホールディングス,2019,Q4,28.265837429073805
はるやまホールディングス,2020,Q1,-10.17476459627494
はるやまホールディングス,2020,Q2,-31.10709786986071
はるやまホールディングス,2020,Q3,6.30135261403823
はるやまホールディングス,2020,Q4,10.216457779207076
ぴあ,2018,Q1,13.256882277854407
ぴあ,2018,Q2,21.98617538479095
ぴあ,2018,Q3,8.620194213861783
ぴあ,2018,Q4,9.360548306606237
ぴあ,2019,Q1,29.984945948519552
ぴあ,2019,Q2,4.074985292917579
ぴあ,2019,Q3,15.208200909292243
ぴあ,2019,Q4,4.198626017654805
ぴあ,2020,Q1,5.5740722832838525
