企業名,会計年度,四半期,y_hat_sarima_br
アズワン,2018,Q1,58.18383917394043
アズワン,2018,Q2,54.74835938942381
アズワン,2018,Q3,61.86349581995286
アズワン,2018,Q4,86.91765210676247
アズワン,2019,Q1,65.9396400064592
アズワン,2019,Q2,61.72243664092903
アズワン,2019,Q3,76.44863703087731
アズワン,2019,Q4,80.57781851775786
アズワン,2020,Q1,64.57612384002381
アズワン,2020,Q2,83.08648194064392
アズワン,2020,Q3,68.71547377753059
アズワン,2020,Q4,94.07051431743719
アツギ,2018,Q1,1.662624307577032
アツギ,2018,Q2,2.184458990827559
アツギ,2018,Q3,8.17785141039051
アツギ,2018,Q4,0.7498164909744718
アツギ,2019,Q1,-608.7672516935431
アツギ,2019,Q2,19.019848900457504
アツギ,2019,Q3,0.566947937712027
アツギ,2019,Q4,-380.1515066960924
アツギ,2020,Q1,-13.605158398283073
アツギ,2020,Q2,10.37611149581691
アツギ,2020,Q3,-171.7956923912979
アツギ,2020,Q4,-52.74507223234946
アドウェイズ,2018,Q1,63.1898846992341
アドウェイズ,2018,Q2,752.0258827864423
アドウェイズ,2018,Q3,247.76486017885398
アドウェイズ,2018,Q4,25.15651327650128
アドウェイズ,2019,Q1,19.16781451975341
アドウェイズ,2019,Q2,233.3897365278502
アドウェイズ,2019,Q3,45.072632264411084
アドウェイズ,2019,Q4,17.03207780257373
アドウェイズ,2020,Q1,3.020613865914229
アドウェイズ,2020,Q2,17.457577780258
アドウェイズ,2020,Q3,0.6917695067288074
アドウェイズ,2020,Q4,6.274943395582541
アドソル日進,2018,Q1,17.082314840283967
アドソル日進,2018,Q2,22.784121967170172
アドソル日進,2018,Q3,19.1058044144052
アドソル日進,2018,Q4,8.214626080395142
アドソル日進,2019,Q1,15.847719810549608
アドソル日進,2019,Q2,21.502097207024775
アドソル日進,2019,Q3,18.710650414760973
アドソル日進,2019,Q4,12.782291816259598
アドソル日進,2020,Q1,16.74825553492314
アドソル日進,2020,Q2,21.643578990865386
アドソル日進,2020,Q3,24.718956511053165
アドソル日進,2020,Q4,16.13424693488224
アドバンテスト,2018,Q1,19.504069680935153
アドバンテスト,2018,Q2,52.09558675959819
アドバンテスト,2018,Q3,45.5769558405473
