企業名,会計年度,四半期,y_hat_umlp
アイティメディア,2018,Q2,19.72933
アイティメディア,2018,Q3,-15.2074175
アイティメディア,2018,Q4,0.28172022
アイティメディア,2019,Q1,-0.8385003
アイティメディア,2019,Q2,24.636797
アイティメディア,2019,Q3,9.742538
アイティメディア,2019,Q4,35.44475
アイティメディア,2020,Q1,6.597377
アイティメディア,2020,Q2,12.365373
アイティメディア,2020,Q3,-10.863385
アイティメディア,2020,Q4,20.642345
アイネス,2018,Q1,-5.5835238
アイネス,2018,Q2,10.465754
アイネス,2018,Q3,-6.6385913
アイネス,2018,Q4,33.77656
アイネス,2019,Q1,13.606216
アイネス,2019,Q2,20.23828
アイネス,2019,Q3,30.788284
アイネス,2019,Q4,-19.0047
アイネス,2020,Q1,60.76291
アイネス,2020,Q2,32.876965
アイネス,2020,Q3,32.918518
アイネス,2020,Q4,24.048182
アイネット,2018,Q1,16.222544
アイネット,2018,Q2,29.203218
アイネット,2018,Q3,23.711363
アイネット,2018,Q4,26.639484
アイネット,2019,Q1,13.997909
アイネット,2019,Q2,20.754335
アイネット,2019,Q3,18.979485
アイネット,2019,Q4,29.130281
アイネット,2020,Q1,21.95904
アイネット,2020,Q2,35.21581
アイネット,2020,Q3,29.467997
アイネット,2020,Q4,29.735346
アイホン,2018,Q1,25.470665
アイホン,2018,Q2,44.572803
アイホン,2018,Q3,7.022189
アイホン,2018,Q4,35.706417
アイホン,2019,Q1,2.1429892
アイホン,2019,Q2,59.628456
アイホン,2019,Q3,34.24598
アイホン,2019,Q4,60.523666
アイホン,2020,Q1,25.84152
アイホン,2020,Q2,30.937706
アイホン,2020,Q3,22.045235
アイホン,2020,Q4,22.786236
アイロムグループ,2018,Q1,66.51558
アイロムグループ,2018,Q2,39.930996
アイロムグループ,2018,Q3,31.760578
アイロムグループ,2018,Q4,-49.72
アイロムグループ,2019,Q1,53.37045
アイロムグループ,2019,Q2,17.103352
アイロムグループ,2019,Q3,33.70828
アイロムグループ,2019,Q4,38.615818
アイロムグループ,2020,Q1,104.81286
アイロムグループ,2020,Q2,0.87912893
アイロムグループ,2020,Q3,76.81785
アイロムグループ,2020,Q4,25.208479
アキレス,2018,Q1,45.451397
アキレス,2018,Q2,35.99859
アキレス,2018,Q3,19.273026
アキレス,2018,Q4,0.9791404
アキレス,2019,Q1,1.5382506
アキレス,2019,Q2,-8.222359
アキレス,2019,Q3,4.3691845
アキレス,2019,Q4,5.769613
アキレス,2020,Q1,42.65847
アキレス,2020,Q2,40.787018
アキレス,2020,Q3,59.608185
アキレス,2020,Q4,3.0053704
アクシアル　リテイリング,2018,Q1,36.697563
アクシアル　リテイリング,2018,Q2,52.78734
アクシアル　リテイリング,2018,Q3,62.905552
アクシアル　リテイリング,2018,Q4,33.0194
アクシアル　リテイリング,2019,Q1,63.936966
アクシアル　リテイリング,2019,Q2,69.15871
アクシアル　リテイリング,2019,Q3,67.66526
アクシアル　リテイリング,2019,Q4,73.89632
アクシアル　リテイリング,2020,Q1,76.70812
アクシアル　リテイリング,2020,Q2,59.56068
アクシアル　リテイリング,2020,Q3,68.146286
アクシアル　リテイリング,2020,Q4,42.091957
アクセル,2018,Q1,-64.92032
アクセル,2018,Q2,185.98897
アクセル,2018,Q3,-110.953735
アクセル,2018,Q4,165.57634
アクセル,2019,Q1,89.93112
アクセル,2019,Q2,50.58071
アクセル,2019,Q3,165.06093
アクセル,2019,Q4,57.447968
アクセル,2020,Q1,116.30471
アクセル,2020,Q2,-57.39963
アクセル,2020,Q3,-61.894394
アクセル,2020,Q4,-100.8897
アジアパイルホールディングス,2018,Q1,14.358638
アジアパイルホールディングス,2018,Q2,11.468463
アジアパイルホールディングス,2018,Q3,15.068768
アジアパイルホールディングス,2018,Q4,15.389874
アジアパイルホールディングス,2019,Q1,16.964567
アジアパイルホールディングス,2019,Q2,29.935759
アジアパイルホールディングス,2019,Q3,17.233534
アジアパイルホールディングス,2019,Q4,18.762363
アジアパイルホールディングス,2020,Q1,7.6881623
アジアパイルホールディングス,2020,Q2,24.720728
アジアパイルホールディングス,2020,Q3,23.06528
アジアパイルホールディングス,2020,Q4,17.937374
アステラス製薬,2018,Q1,26.26474
アステラス製薬,2018,Q2,32.919495
アステラス製薬,2018,Q3,48.865562
アステラス製薬,2018,Q4,7.5145483
アステラス製薬,2019,Q1,23.785511
アステラス製薬,2019,Q2,28.60302
アステラス製薬,2019,Q3,62.9102
アステラス製薬,2019,Q4,16.250872
アステラス製薬,2020,Q1,52.865623
アステラス製薬,2020,Q2,39.824215
アステラス製薬,2020,Q3,62.76236
アステラス製薬,2020,Q4,6.164889
アズビル,2018,Q1,21.875748
アズビル,2018,Q2,49.04137
アズビル,2018,Q3,62.49991
アズビル,2018,Q4,88.89586
アズビル,2019,Q1,45.134495
アズビル,2019,Q2,56.806007
アズビル,2019,Q3,56.929737
アズビル,2019,Q4,115.86091
アズビル,2020,Q1,19.343994
アズビル,2020,Q2,57.928154
アズビル,2020,Q3,27.176811
アズビル,2020,Q4,39.004993
アズワン,2018,Q1,54.033688
アズワン,2018,Q2,48.49938
アズワン,2018,Q3,52.392365
アズワン,2018,Q4,83.08754
アズワン,2019,Q1,52.461082
アズワン,2019,Q2,48.730827
アズワン,2019,Q3,65.61711
アズワン,2019,Q4,75.430916
アズワン,2020,Q1,46.71073
アズワン,2020,Q2,55.65375
アズワン,2020,Q3,65.60869
アズワン,2020,Q4,56.37911
アツギ,2018,Q1,-3.9338183
アツギ,2018,Q2,11.260873
