企業名,会計年度,四半期,y_hat_rw
アイチコーポレーション,2020,Q2,10.47
アイチコーポレーション,2020,Q3,26.3
アイチコーポレーション,2020,Q4,12.92
アイティフォー,2018,Q1,25.16
アイティフォー,2018,Q2,3.35
アイティフォー,2018,Q3,7.61
アイティフォー,2018,Q4,8.59
アイティフォー,2019,Q1,22.25
アイティフォー,2019,Q2,5.95
アイティフォー,2019,Q3,12.13
アイティフォー,2019,Q4,5.89
アイティフォー,2020,Q1,20.98
アイティフォー,2020,Q2,7.91
アイティフォー,2020,Q3,16.23
アイティフォー,2020,Q4,12.15
アイティメディア,2018,Q1,8.09
アイティメディア,2018,Q2,3.76
アイティメディア,2018,Q3,5.56
アイティメディア,2018,Q4,5.23
アイティメディア,2019,Q1,4.78
アイティメディア,2019,Q2,7.37
アイティメディア,2019,Q3,8.77
アイティメディア,2019,Q4,13.97
アイティメディア,2020,Q1,9.36
アイティメディア,2020,Q2,11.04
アイティメディア,2020,Q3,17.0
アイティメディア,2020,Q4,20.13
アイネス,2018,Q1,33.8
アイネス,2018,Q2,-5.05
アイネス,2018,Q3,17.58
アイネス,2018,Q4,16.69
アイネス,2019,Q1,28.46
アイネス,2019,Q2,17.0
アイネス,2019,Q3,-49.93
アイネス,2019,Q4,148.09
アイネス,2020,Q1,-28.48
アイネス,2020,Q2,6.97
アイネス,2020,Q3,6.08
アイネス,2020,Q4,15.92
アイネット,2018,Q1,26.88
アイネット,2018,Q2,13.21
アイネット,2018,Q3,28.99
アイネット,2018,Q4,24.92
アイネット,2019,Q1,28.6
アイネット,2019,Q2,23.38
アイネット,2019,Q3,28.62
アイネット,2019,Q4,26.36
アイネット,2020,Q1,26.76
アイネット,2020,Q2,2.7
アイネット,2020,Q3,20.59
アイネット,2020,Q4,21.27
アイホン,2018,Q1,32.89
アイホン,2018,Q2,6.69
アイホン,2018,Q3,48.96
アイホン,2018,Q4,21.58
アイホン,2019,Q1,62.98
アイホン,2019,Q2,19.49
アイホン,2019,Q3,74.79
アイホン,2019,Q4,21.65
アイホン,2020,Q1,29.22
アイホン,2020,Q2,-9.76
アイホン,2020,Q3,64.24
アイホン,2020,Q4,35.77
アイロムグループ,2018,Q1,22.22
アイロムグループ,2018,Q2,14.12
アイロムグループ,2018,Q3,32.04
アイロムグループ,2018,Q4,12.68
アイロムグループ,2019,Q1,39.06
アイロムグループ,2019,Q2,14.95
アイロムグループ,2019,Q3,8.79
アイロムグループ,2019,Q4,20.68
アイロムグループ,2020,Q1,60.76
アイロムグループ,2020,Q2,4.32
アイロムグループ,2020,Q3,22.25
アイロムグループ,2020,Q4,59.49
アキレス,2018,Q1,24.06
アキレス,2018,Q2,23.18
アキレス,2018,Q3,18.93
アキレス,2018,Q4,-25.25
アキレス,2019,Q1,2.99
アキレス,2019,Q2,18.01
アキレス,2019,Q3,21.61
アキレス,2019,Q4,40.55
アキレス,2020,Q1,40.25
アキレス,2020,Q2,111.61
アキレス,2020,Q3,29.2
アキレス,2020,Q4,28.59
アクシアル　リテイリング,2018,Q1,49.09
アクシアル　リテイリング,2018,Q2,59.37
アクシアル　リテイリング,2018,Q3,74.32
アクシアル　リテイリング,2018,Q4,74.81
アクシアル　リテイリング,2019,Q1,66.86
アクシアル　リテイリング,2019,Q2,67.5
アクシアル　リテイリング,2019,Q3,66.96
アクシアル　リテイリング,2019,Q4,79.52
アクシアル　リテイリング,2020,Q1,56.24
アクシアル　リテイリング,2020,Q2,121.52
アクシアル　リテイリング,2020,Q3,97.99
アクシアル　リテイリング,2020,Q4,105.63
アクセル,2018,Q1,20.15
アクセル,2018,Q2,-77.88
アクセル,2018,Q3,-10.5
アクセル,2018,Q4,-75.12
アクセル,2019,Q1,-15.31
アクセル,2019,Q2,0.62
アクセル,2019,Q3,7.42
アクセル,2019,Q4,21.64
アクセル,2020,Q1,12.15
アクセル,2020,Q2,30.22
アクセル,2020,Q3,-9.48
アクセル,2020,Q4,10.95
アジアパイルホールディングス,2018,Q1,10.67
アジアパイルホールディングス,2018,Q2,27.85
アジアパイルホールディングス,2018,Q3,29.67
アジアパイルホールディングス,2018,Q4,21.61
アジアパイルホールディングス,2019,Q1,9.65
アジアパイルホールディングス,2019,Q2,23.64
アジアパイルホールディングス,2019,Q3,16.35
アジアパイルホールディングス,2019,Q4,20.05
アジアパイルホールディングス,2020,Q1,11.18
アジアパイルホールディングス,2020,Q2,33.09
アジアパイルホールディングス,2020,Q3,16.78
アジアパイルホールディングス,2020,Q4,17.19
アステラス製薬,2018,Q1,11.06
アステラス製薬,2018,Q2,27.68
アステラス製薬,2018,Q3,25.5
アステラス製薬,2018,Q4,45.64
アステラス製薬,2019,Q1,16.16
アステラス製薬,2019,Q2,31.03
アステラス製薬,2019,Q3,37.13
アステラス製薬,2019,Q4,32.8
アステラス製薬,2020,Q1,2.9
アステラス製薬,2020,Q2,27.14
アステラス製薬,2020,Q3,12.07
アステラス製薬,2020,Q4,32.34
アズビル,2018,Q1,116.87
アズビル,2018,Q2,21.12
アズビル,2018,Q3,59.285842365759926
アズビル,2018,Q4,37.82
アズビル,2019,Q1,53.78
アズビル,2019,Q2,10.32
アズビル,2019,Q3,31.81
アズビル,2019,Q4,36.36
アズビル,2020,Q1,62.88
アズビル,2020,Q2,15.19
アズビル,2020,Q3,28.53
アズビル,2020,Q4,40.12
アズワン,2018,Q1,81.84
アズワン,2018,Q2,66.81
アズワン,2018,Q3,61.95
アズワン,2018,Q4,72.13
アズワン,2019,Q1,81.1
アズワン,2019,Q2,66.91
アズワン,2019,Q3,78.78
アズワン,2019,Q4,70.12
アズワン,2020,Q1,103.79
アズワン,2020,Q2,65.51
アズワン,2020,Q3,71.35
アズワン,2020,Q4,53.55
アツギ,2018,Q1,-4.92
アツギ,2018,Q2,-12.96
アツギ,2018,Q3,15.68
アツギ,2018,Q4,4.13
アツギ,2019,Q1,-198.86
アツギ,2019,Q2,-15.12
アツギ,2019,Q3,2.96
アツギ,2019,Q4,-296.44
アツギ,2020,Q1,-61.5
アツギ,2020,Q2,-53.5
アツギ,2020,Q3,11.76
アツギ,2020,Q4,-26.07
アドウェイズ,2018,Q1,5.82
アドウェイズ,2018,Q2,5.0
アドウェイズ,2018,Q3,1.76
アドウェイズ,2018,Q4,3.36
アドウェイズ,2019,Q1,8.94
アドウェイズ,2019,Q2,-6.88
アドウェイズ,2019,Q3,1.01
アドウェイズ,2019,Q4,2.11
アドウェイズ,2020,Q1,7.43
アドウェイズ,2020,Q2,4.3
アドウェイズ,2020,Q3,9.93
アドウェイズ,2020,Q4,7.59
アドソル日進,2018,Q1,11.33
アドソル日進,2018,Q2,17.85
アドソル日進,2018,Q3,21.92
アドソル日進,2018,Q4,20.34
アドソル日進,2019,Q1,15.77
アドソル日進,2019,Q2,22.6
アドソル日進,2019,Q3,25.5
アドソル日進,2019,Q4,24.9
アドソル日進,2020,Q1,16.98
アドソル日進,2020,Q2,28.49
アドソル日進,2020,Q3,26.61
アドソル日進,2020,Q4,26.03
アドバンテスト,2018,Q1,59.64
アドバンテスト,2018,Q2,76.99
アドバンテスト,2018,Q3,88.25
アドバンテスト,2018,Q4,92.37
アドバンテスト,2019,Q1,45.71
アドバンテスト,2019,Q2,61.07
アドバンテスト,2019,Q3,74.13
アドバンテスト,2019,Q4,60.21
アドバンテスト,2020,Q1,74.7
アドバンテスト,2020,Q2,53.16
アドバンテスト,2020,Q3,70.48
アドバンテスト,2020,Q4,61.29
アドヴァングループ,2018,Q1,-1.32
アドヴァングループ,2018,Q2,26.94
アドヴァングループ,2018,Q3,23.72
アドヴァングループ,2018,Q4,18.44
アドヴァングループ,2019,Q1,32.3
アドヴァングループ,2019,Q2,15.0
アドヴァングループ,2019,Q3,31.24
アドヴァングループ,2019,Q4,36.61
アドヴァングループ,2020,Q1,33.29
アドヴァングループ,2020,Q2,25.69
アドヴァングループ,2020,Q3,7.14
アドヴァングループ,2020,Q4,6.35
アマダ,2018,Q1,18.62716717276212
アマダ,2018,Q2,13.25
アマダ,2018,Q3,31.17
アマダ,2018,Q4,14.58
アマダ,2019,Q1,32.84
アマダ,2019,Q2,10.25
アマダ,2019,Q3,27.17
アマダ,2019,Q4,12.79
アマダ,2020,Q1,15.68
アマダ,2020,Q2,18.48
アマダ,2020,Q3,13.8
アマダ,2020,Q4,7.22
アマノ,2018,Q1,44.53
アマノ,2018,Q2,10.11
アマノ,2018,Q3,40.44
アマノ,2018,Q4,19.17
アマノ,2019,Q1,51.64
アマノ,2019,Q2,19.01
アマノ,2019,Q3,43.6
アマノ,2019,Q4,33.06
