企業名,会計年度,四半期,y_hat_srw
アイホン,2018,Q3,12.04
アイホン,2018,Q4,32.89
アイホン,2019,Q1,6.69
アイホン,2019,Q2,48.96
アイホン,2019,Q3,21.58
アイホン,2019,Q4,62.98
アイホン,2020,Q1,19.49
アイホン,2020,Q2,74.79
アイホン,2020,Q3,21.65
アイホン,2020,Q4,29.22
アイロムグループ,2018,Q1,108.14
アイロムグループ,2018,Q2,1.72
アイロムグループ,2018,Q3,19.65
アイロムグループ,2018,Q4,22.22
アイロムグループ,2019,Q1,14.12
アイロムグループ,2019,Q2,32.04
アイロムグループ,2019,Q3,12.68
アイロムグループ,2019,Q4,39.06
アイロムグループ,2020,Q1,14.95
アイロムグループ,2020,Q2,8.79
アイロムグループ,2020,Q3,20.68
アイロムグループ,2020,Q4,60.76
アキレス,2018,Q1,47.57
アキレス,2018,Q2,22.39
アキレス,2018,Q3,38.12
アキレス,2018,Q4,24.06
アキレス,2019,Q1,23.18
アキレス,2019,Q2,18.93
アキレス,2019,Q3,-25.25
アキレス,2019,Q4,2.99
アキレス,2020,Q1,18.01
アキレス,2020,Q2,21.61
アキレス,2020,Q3,40.55
アキレス,2020,Q4,40.25
アクシアル　リテイリング,2018,Q1,61.62
アクシアル　リテイリング,2018,Q2,62.69
アクシアル　リテイリング,2018,Q3,86.66
アクシアル　リテイリング,2018,Q4,49.09
アクシアル　リテイリング,2019,Q1,59.37
アクシアル　リテイリング,2019,Q2,74.32
アクシアル　リテイリング,2019,Q3,74.81
アクシアル　リテイリング,2019,Q4,66.86
アクシアル　リテイリング,2020,Q1,67.5
アクシアル　リテイリング,2020,Q2,66.96
アクシアル　リテイリング,2020,Q3,79.52
アクシアル　リテイリング,2020,Q4,56.24
アクセル,2018,Q1,-12.2
アクセル,2018,Q2,1.14
アクセル,2018,Q3,-1.9
アクセル,2018,Q4,20.15
アクセル,2019,Q1,-77.88
アクセル,2019,Q2,-10.5
アクセル,2019,Q3,-75.12
アクセル,2019,Q4,-15.31
アクセル,2020,Q1,0.62
アクセル,2020,Q2,7.42
アクセル,2020,Q3,21.64
アクセル,2020,Q4,12.15
アジアパイルホールディングス,2018,Q1,7.02
アジアパイルホールディングス,2018,Q2,15.04
アジアパイルホールディングス,2018,Q3,22.61
アジアパイルホールディングス,2018,Q4,10.67
アジアパイルホールディングス,2019,Q1,27.85
アジアパイルホールディングス,2019,Q2,29.67
アジアパイルホールディングス,2019,Q3,21.61
アジアパイルホールディングス,2019,Q4,9.65
アジアパイルホールディングス,2020,Q1,23.64
アジアパイルホールディングス,2020,Q2,16.35
アジアパイルホールディングス,2020,Q3,20.05
アジアパイルホールディングス,2020,Q4,11.18
アステラス製薬,2018,Q1,20.57
アステラス製薬,2018,Q2,19.39
アステラス製薬,2018,Q3,30.0
アステラス製薬,2018,Q4,11.06
アステラス製薬,2019,Q1,27.68
アステラス製薬,2019,Q2,25.5
アステラス製薬,2019,Q3,45.64
アステラス製薬,2019,Q4,16.16
アステラス製薬,2020,Q1,31.03
アステラス製薬,2020,Q2,37.13
アステラス製薬,2020,Q3,32.8
アステラス製薬,2020,Q4,2.9
アズビル,2018,Q1,16.28
アズビル,2018,Q2,56.94
アズビル,2018,Q3,56.42
アズビル,2018,Q4,116.87
アズビル,2019,Q1,21.12
アズビル,2019,Q2,59.285842365759926
アズビル,2019,Q3,37.82
アズビル,2019,Q4,53.78
アズビル,2020,Q1,10.32
アズビル,2020,Q2,31.81
アズビル,2020,Q3,36.36
アズビル,2020,Q4,62.88
アズワン,2018,Q1,56.12
アズワン,2018,Q2,52.01
アズワン,2018,Q3,59.32
アズワン,2018,Q4,81.84
アズワン,2019,Q1,66.81
アズワン,2019,Q2,61.95
アズワン,2019,Q3,72.13
アズワン,2019,Q4,81.1
アズワン,2020,Q1,66.91
アズワン,2020,Q2,78.78
アズワン,2020,Q3,70.12
アズワン,2020,Q4,103.79
アツギ,2018,Q1,0.44
アツギ,2018,Q2,1.8129781509746472
アツギ,2018,Q3,17.07
アツギ,2018,Q4,-4.92
アツギ,2019,Q1,-12.96
アツギ,2019,Q2,15.68
アツギ,2019,Q3,4.13
アツギ,2019,Q4,-198.86
アツギ,2020,Q1,-15.12
アツギ,2020,Q2,2.96
アツギ,2020,Q3,-296.44
アツギ,2020,Q4,-61.5
アドウェイズ,2018,Q1,-1.41
アドウェイズ,2018,Q2,1.31
アドウェイズ,2018,Q3,-5.46
アドウェイズ,2018,Q4,5.82
アドウェイズ,2019,Q1,5.0
アドウェイズ,2019,Q2,1.76
アドウェイズ,2019,Q3,3.36
アドウェイズ,2019,Q4,8.94
アドウェイズ,2020,Q1,-6.88
アドウェイズ,2020,Q2,1.01
アドウェイズ,2020,Q3,2.11
アドウェイズ,2020,Q4,7.43
アドソル日進,2018,Q1,13.88
