企業名,会計年度,四半期,y_hat_umlp
アイティフォー,2019,Q4,16.928623
アイティフォー,2020,Q1,2.8386357
アイティフォー,2020,Q2,7.0345616
アイティフォー,2020,Q3,3.1219673
アイティフォー,2020,Q4,23.444654
アイティメディア,2018,Q1,-2.5339923
アイティメディア,2018,Q2,5.0882287
アイティメディア,2018,Q3,10.169593
アイティメディア,2018,Q4,6.1247244
アイティメディア,2019,Q1,13.160208
アイティメディア,2019,Q2,9.884794
アイティメディア,2019,Q3,10.4624
アイティメディア,2019,Q4,8.911917
アイティメディア,2020,Q1,6.4109254
アイティメディア,2020,Q2,19.322258
アイティメディア,2020,Q3,12.552036
アイティメディア,2020,Q4,20.94532
アイネス,2018,Q1,-2.9029555
アイネス,2018,Q2,11.159334
アイネス,2018,Q3,-1.971206
アイネス,2018,Q4,35.82173
アイネス,2019,Q1,1.5121474
アイネス,2019,Q2,35.38806
アイネス,2019,Q3,26.60172
アイネス,2019,Q4,-9.171519
アイネス,2020,Q1,37.614315
アイネス,2020,Q2,43.13001
アイネス,2020,Q3,27.814249
アイネス,2020,Q4,29.439234
アイネット,2018,Q1,11.8051195
アイネット,2018,Q2,24.738398
アイネット,2018,Q3,20.898514
アイネット,2018,Q4,26.084787
アイネット,2019,Q1,13.565104
アイネット,2019,Q2,26.226864
アイネット,2019,Q3,22.657255
アイネット,2019,Q4,26.003416
アイネット,2020,Q1,27.502518
アイネット,2020,Q2,22.746202
アイネット,2020,Q3,23.252274
アイネット,2020,Q4,24.012625
アイホン,2018,Q1,16.654093
アイホン,2018,Q2,43.826004
アイホン,2018,Q3,17.285095
アイホン,2018,Q4,71.126976
アイホン,2019,Q1,5.0243883
アイホン,2019,Q2,60.966976
アイホン,2019,Q3,20.245792
アイホン,2019,Q4,53.500122
アイホン,2020,Q1,40.16041
アイホン,2020,Q2,16.295187
アイホン,2020,Q3,5.1366916
アイホン,2020,Q4,32.53927
アイロムグループ,2018,Q1,47.91117
アイロムグループ,2018,Q2,74.03879
