企業名,会計年度,四半期,y_hat_uen,best_hyparam
アイネット,2019,Q1,16.763650013417905,[100.    0.5]
アイネット,2019,Q2,18.66167691835761,[100.    0.5]
アイネット,2019,Q3,18.969767956129807,[100.    0.5]
アイネット,2019,Q4,18.90175240733272,[100.    0.5]
アイネット,2020,Q1,19.4543437346345,[100.    0.5]
アイネット,2020,Q2,19.25820792977425,[100.    0.5]
アイネット,2020,Q3,19.53570792977425,[100.    0.5]
アイネット,2020,Q4,19.95459681866314,[100.    0.5]
アイホン,2018,Q1,8.723199059947852,[0.001 0.   ]
アイホン,2018,Q2,40.93227003416496,[0.001 0.   ]
アイホン,2018,Q3,13.378459472958284,[0.001 0.   ]
アイホン,2018,Q4,38.106089415219614,[0.001 0.   ]
アイホン,2019,Q1,13.734111256731834,[0.001 0.   ]
アイホン,2019,Q2,52.110473134396486,[0.001 0.   ]
アイホン,2019,Q3,21.08334172079769,[0.001 0.   ]
アイホン,2019,Q4,66.64477626096178,[0.001 0.   ]
アイホン,2020,Q1,17.53000704813975,[0.001 0.   ]
アイホン,2020,Q2,54.896869821354784,[0.001 0.   ]
アイホン,2020,Q3,21.4917609225509,[0.001 0.   ]
アイホン,2020,Q4,47.31133094766092,[0.001 0.   ]
アイロムグループ,2018,Q1,46.40739119782088,[1000.    1.]
アイロムグループ,2018,Q2,34.0332269649816,[1000.    1.]
アイロムグループ,2018,Q3,40.1864770156164,[1000.    1.]
アイロムグループ,2018,Q4,30.62262695353176,[1000.    1.]
アイロムグループ,2019,Q1,55.99344195350848,[1000.    1.]
アイロムグループ,2019,Q2,28.54358408177024,[1000.    1.]
アイロムグループ,2019,Q3,44.85794202273512,[1000.    1.]
アイロムグループ,2019,Q4,33.40764405468923,[1000.    1.]
アイロムグループ,2020,Q1,60.86349392163496,[1000.    1.]
アイロムグループ,2020,Q2,37.77284516572559,[1000.    1.]
アイロムグループ,2020,Q3,70.03085203430646,[1000.    1.]
アイロムグループ,2020,Q4,58.33796508887661,[1000.    1.]
アキレス,2018,Q1,13.557187128423228,[1000.    0.]
アキレス,2018,Q2,12.758887718253437,[1000.    0.]
アキレス,2018,Q3,12.944893978522868,[1000.    0.]
アキレス,2018,Q4,6.787463178387546,[1000.    0.]
アキレス,2019,Q1,5.123864135012767,[1000.    0.]
アキレス,2019,Q2,7.581478528362335,[1000.    0.]
アキレス,2019,Q3,9.309165734078569,[1000.    0.]
アキレス,2019,Q4,13.581836623365422,[1000.    0.]
アキレス,2020,Q1,16.688609326195497,[1000.    0.]
アキレス,2020,Q2,35.10096750886849,[1000.    0.]
アキレス,2020,Q3,31.645198347836818,[1000.    0.]
アキレス,2020,Q4,22.79992768915726,[1000.    0.]
アクシアル　リテイリング,2018,Q1,63.01514895471118,[100.   0.]
アクシアル　リテイリング,2018,Q2,64.20387567512451,[100.   0.]
アクシアル　リテイリング,2018,Q3,81.76572172301533,[100.   0.]
アクシアル　リテイリング,2018,Q4,55.88507119331107,[100.   0.]
アクシアル　リテイリング,2019,Q1,64.13135670585584,[100.   0.]
アクシアル　リテイリング,2019,Q2,73.42610853656913,[100.   0.]
アクシアル　リテイリング,2019,Q3,72.58247702641187,[100.   0.]
アクシアル　リテイリング,2019,Q4,68.68832431865614,[100.   0.]
アクシアル　リテイリング,2020,Q1,67.73070027714911,[100.   0.]
アクシアル　リテイリング,2020,Q2,73.7464643754654,[100.   0.]
アクシアル　リテイリング,2020,Q3,89.00780889820663,[100.   0.]
アクシアル　リテイリング,2020,Q4,78.6665774982043,[100.   0.]
アクセル,2018,Q1,45.5647751703285,[1.e+03 4.e-01]
アクセル,2018,Q2,12.912684438143952,[1.e+03 4.e-01]
アクセル,2018,Q3,11.739733319449869,[1.e+03 4.e-01]
アクセル,2018,Q4,7.846326185302812,[1.e+03 4.e-01]
アクセル,2019,Q1,3.547395754331995,[1.e+03 4.e-01]
アクセル,2019,Q2,6.923941200222072,[1.e+03 4.e-01]
アクセル,2019,Q3,7.724002960070045,[1.e+03 4.e-01]
アクセル,2019,Q4,7.853268801505315,[1.e+03 4.e-01]
アクセル,2020,Q1,8.393178012172392,[1.e+03 4.e-01]
アクセル,2020,Q2,8.381686706681482,[1.e+03 4.e-01]
アクセル,2020,Q3,8.581929051911855,[1.e+03 4.e-01]
アクセル,2020,Q4,5.982374729297343,[1.e+03 4.e-01]
アジアパイルホールディングス,2018,Q1,10.937097815780652,[1000.    0.]
アジアパイルホールディングス,2018,Q2,13.139370438312277,[1000.    0.]
アジアパイルホールディングス,2018,Q3,15.105373619600716,[1000.    0.]
アジアパイルホールディングス,2018,Q4,15.608661868882978,[1000.    0.]
アジアパイルホールディングス,2019,Q1,14.929325198405152,[1000.    0.]
アジアパイルホールディングス,2019,Q2,15.351732537736057,[1000.    0.]
アジアパイルホールディングス,2019,Q3,16.128719476244402,[1000.    0.]
アジアパイルホールディングス,2019,Q4,16.42494355006114,[1000.    0.]
アジアパイルホールディングス,2020,Q1,16.79117837511846,[1000.    0.]
アジアパイルホールディングス,2020,Q2,17.59282136047538,[1000.    0.]
アジアパイルホールディングス,2020,Q3,17.59800913365084,[1000.    0.]
アジアパイルホールディングス,2020,Q4,17.49573970262903,[1000.    0.]
アステラス製薬,2018,Q1,25.84947745737039,[0.001 0.   ]
アステラス製薬,2018,Q2,22.65250844661532,[0.001 0.   ]
アステラス製薬,2018,Q3,31.57780116565489,[0.001 0.   ]
アステラス製薬,2018,Q4,17.783144114348488,[0.001 0.   ]
アステラス製薬,2019,Q1,32.18670361568957,[0.001 0.   ]
アステラス製薬,2019,Q2,24.849022868486102,[0.001 0.   ]
アステラス製薬,2019,Q3,39.35537295361252,[0.001 0.   ]
アステラス製薬,2019,Q4,22.011152910757453,[0.001 0.   ]
アステラス製薬,2020,Q1,30.80075858113741,[0.001 0.   ]
アステラス製薬,2020,Q2,34.532911577543175,[0.001 0.   ]
アステラス製薬,2020,Q3,32.113400212434954,[0.001 0.   ]
アステラス製薬,2020,Q4,13.081521600161269,[0.001 0.   ]
アズビル,2018,Q1,22.60384915677773,[100.    0.2]
アズビル,2018,Q2,57.46483541386349,[100.    0.2]
アズビル,2018,Q3,56.27202211480304,[100.    0.2]
アズビル,2018,Q4,106.24104386226784,[100.    0.2]
アズビル,2019,Q1,26.050052243709267,[100.    0.2]
アズビル,2019,Q2,54.62319701668933,[100.    0.2]
アズビル,2019,Q3,36.10751001068245,[100.    0.2]
アズビル,2019,Q4,49.44292115031324,[100.    0.2]
アズビル,2020,Q1,18.39386073658219,[100.    0.2]
アズビル,2020,Q2,34.92730800772567,[100.    0.2]
アズビル,2020,Q3,34.16137287630096,[100.    0.2]
アズビル,2020,Q4,56.76130244933936,[100.    0.2]
アズワン,2018,Q1,59.90489041315971,[10.  1.]
アズワン,2018,Q2,57.35454043160481,[10.  1.]
アズワン,2018,Q3,65.4773246047798,[10.  1.]
アズワン,2018,Q4,85.81857555052605,[10.  1.]
アズワン,2019,Q1,72.02376745457201,[10.  1.]
アズワン,2019,Q2,67.37722574852063,[10.  1.]
アズワン,2019,Q3,78.44483176919232,[10.  1.]
アズワン,2019,Q4,82.61662329038964,[10.  1.]
アズワン,2020,Q1,73.92902932848008,[10.  1.]
アズワン,2020,Q2,85.58129116359731,[10.  1.]
アズワン,2020,Q3,76.14943856606567,[10.  1.]
アズワン,2020,Q4,101.88421811076093,[10.  1.]
アツギ,2018,Q1,1.2128605041937404,[1000.    1.]
アツギ,2018,Q2,0.8014716153048512,[1000.    1.]
アツギ,2018,Q3,1.222027170860407,[1000.    1.]
アツギ,2018,Q4,1.274527170860407,[1000.    1.]
アツギ,2019,Q1,-4.191861718028482,[1000.    1.]
アツギ,2019,Q2,-4.656861718028483,[1000.    1.]
アツギ,2019,Q3,-4.633806162472927,[1000.    1.]
アツギ,2019,Q4,-19.435458690962225,[1000.    1.]
アツギ,2020,Q1,-10.03009581675336,[1000.    1.]
アツギ,2020,Q2,-189.13510640574688,[1000.    1.]
アツギ,2020,Q3,-21.90622397340093,[1000.    1.]
アツギ,2020,Q4,-21.459970749812555,[1000.    1.]
アドウェイズ,2018,Q1,205.6628930847766,[0.001 0.   ]
アドウェイズ,2018,Q2,149.15531428389008,[0.001 0.   ]
アドウェイズ,2018,Q3,122.87182845530349,[0.001 0.   ]
アドウェイズ,2018,Q4,126.47238469278714,[0.001 0.   ]
アドウェイズ,2019,Q1,106.3348427095001,[0.001 0.   ]
アドウェイズ,2019,Q2,97.65706513233238,[0.001 0.   ]
アドウェイズ,2019,Q3,78.66502966641778,[0.001 0.   ]
アドウェイズ,2019,Q4,77.00013952972375,[0.001 0.   ]
アドウェイズ,2020,Q1,73.30402155308808,[0.001 0.   ]
アドウェイズ,2020,Q2,71.9387456217784,[0.001 0.   ]
アドウェイズ,2020,Q3,56.35262116785777,[0.001 0.   ]
アドウェイズ,2020,Q4,32.43855679011728,[0.001 0.   ]
アドソル日進,2018,Q1,16.220590452507807,[1000.    0.]
アドソル日進,2018,Q2,16.96991131785546,[1000.    0.]
アドソル日進,2018,Q3,17.307228816712122,[1000.    0.]
アドソル日進,2018,Q4,16.615251852034874,[1000.    0.]
アドソル日進,2019,Q1,17.540357305305438,[1000.    0.]
アドソル日進,2019,Q2,18.2198522795432,[1000.    0.]
アドソル日進,2019,Q3,17.928924836766658,[1000.    0.]
アドソル日進,2019,Q4,17.267978907718316,[1000.    0.]
アドソル日進,2020,Q1,18.43920611971808,[1000.    0.]
アドソル日進,2020,Q2,18.303537324763735,[1000.    0.]
アドソル日進,2020,Q3,19.46984417522713,[1000.    0.]
アドソル日進,2020,Q4,19.19226858042514,[1000.    0.]
アドバンテスト,2018,Q1,12.590636148368768,[0.001 0.1  ]
アドバンテスト,2018,Q2,38.980777167402174,[0.001 0.1  ]
アドバンテスト,2018,Q3,59.49024824479112,[0.001 0.1  ]
アドバンテスト,2018,Q4,67.1045171092101,[0.001 0.1  ]
アドバンテスト,2019,Q1,42.320918434857305,[0.001 0.1  ]
アドバンテスト,2019,Q2,47.29234482225997,[0.001 0.1  ]
アドバンテスト,2019,Q3,63.23040239173146,[0.001 0.1  ]
アドバンテスト,2019,Q4,52.15470203699639,[0.001 0.1  ]
アドバンテスト,2020,Q1,61.20108309716121,[0.001 0.1  ]
アドバンテスト,2020,Q2,53.42680196169661,[0.001 0.1  ]
アドバンテスト,2020,Q3,58.82681361553005,[0.001 0.1  ]
アドバンテスト,2020,Q4,59.51865380642288,[0.001 0.1  ]
アドヴァングループ,2018,Q1,15.607846478654936,[0.001 0.   ]
アドヴァングループ,2018,Q2,25.74453980842345,[0.001 0.   ]
アドヴァングループ,2018,Q3,22.000588029493706,[0.001 0.   ]
アドヴァングループ,2018,Q4,21.954824549465283,[0.001 0.   ]
アドヴァングループ,2019,Q1,28.603495238636945,[0.001 0.   ]
アドヴァングループ,2019,Q2,22.79133090718567,[0.001 0.   ]
アドヴァングループ,2019,Q3,29.228330631487765,[0.001 0.   ]
アドヴァングループ,2019,Q4,28.39114551945661,[0.001 0.   ]
アドヴァングループ,2020,Q1,29.93816345723523,[0.001 0.   ]
アドヴァングループ,2020,Q2,28.052430572825767,[0.001 0.   ]
アドヴァングループ,2020,Q3,23.42458953663247,[0.001 0.   ]
アドヴァングループ,2020,Q4,23.330422313925816,[0.001 0.   ]
アマダ,2018,Q1,11.773955467227026,[100.    0.3]
アマダ,2018,Q2,14.608284781316057,[100.    0.3]
