企業名,会計年度,四半期,y_hat_sarima_g
アイロムグループ,2019,Q2,-24.39358021268749
アイロムグループ,2019,Q3,67.06855063831735
アイロムグループ,2019,Q4,63.99015488060135
アイロムグループ,2020,Q1,-0.9314476912553147
アイロムグループ,2020,Q2,-22.4508695622702
アイロムグループ,2020,Q3,49.193386228955674
アイロムグループ,2020,Q4,90.2765960526093
アキレス,2018,Q1,36.00062721282043
アキレス,2018,Q2,23.12419573569336
アキレス,2018,Q3,31.33094399525944
アキレス,2018,Q4,-11.539629474826114
アキレス,2019,Q1,1.9268503061905728
アキレス,2019,Q2,7.65698958585705
アキレス,2019,Q3,16.24169141589075
アキレス,2019,Q4,30.632406023018873
アキレス,2020,Q1,41.87117626531506
アキレス,2020,Q2,91.33745702451861
アキレス,2020,Q3,54.03064569754193
アキレス,2020,Q4,42.688175638137565
アクシアル　リテイリング,2018,Q1,72.04990459662487
アクシアル　リテイリング,2018,Q2,75.04648981007519
アクシアル　リテイリング,2018,Q3,91.16065550465645
アクシアル　リテイリング,2018,Q4,45.71739327011582
アクシアル　リテイリング,2019,Q1,67.48700277620128
アクシアル　リテイリング,2019,Q2,80.70943118375672
アクシアル　リテイリング,2019,Q3,80.94060084465745
アクシアル　リテイリング,2019,Q4,72.73974070015693
アクシアル　リテイリング,2020,Q1,71.77109285256874
アクシアル　リテイリング,2020,Q2,72.49712217583291
アクシアル　リテイリング,2020,Q3,96.20915159221312
アクシアル　リテイリング,2020,Q4,62.462748416406036
アクセル,2018,Q1,19.94067175538647
アクセル,2018,Q2,-54.62802509001997
アクセル,2018,Q3,-22.615800026690366
アクセル,2018,Q4,-21.142670565362344
アクセル,2019,Q1,-62.03816610914356
アクセル,2019,Q2,-19.340617049307554
アクセル,2019,Q3,-34.419514076622946
アクセル,2019,Q4,-25.877545000284115
アクセル,2020,Q1,-13.774478089732426
アクセル,2020,Q2,19.681776596836638
アクセル,2020,Q3,2.0003250780450443
アクセル,2020,Q4,1.6690819646375372
アジアパイルホールディングス,2018,Q1,13.976438505705461
アジアパイルホールディングス,2018,Q2,29.459769876364533
アジアパイルホールディングス,2018,Q3,34.03787774552651
アジアパイルホールディングス,2018,Q4,14.939052107866257
アジアパイルホールディングス,2019,Q1,24.14483621985828
アジアパイルホールディングス,2019,Q2,26.96033141933676
アジアパイルホールディングス,2019,Q3,12.850666416382834
アジアパイルホールディングス,2019,Q4,6.894862652153254
アジアパイルホールディングス,2020,Q1,24.64182647936633
アジアパイルホールディングス,2020,Q2,28.71619879266435
アジアパイルホールディングス,2020,Q3,20.551471271839237
アジアパイルホールディングス,2020,Q4,8.389477077519112
アステラス製薬,2018,Q1,19.993628636794853
