企業名,会計年度,四半期,y_hat_ul1_i_tuned_simple,best_hyparam
アイコム,2018,Q2,7.2062568175613,[10]
アイコム,2018,Q3,14.01854558831479,[10]
アイコム,2018,Q4,34.602645767805285,[10]
アイコム,2019,Q1,23.378526084465996,[10]
アイコム,2019,Q2,14.312656862264365,[10]
アイコム,2019,Q3,24.376698700184846,[10]
アイコム,2019,Q4,64.11516509483656,[10]
アイコム,2020,Q1,22.49854924967521,[10]
アイコム,2020,Q2,18.008779585083577,[10]
アイコム,2020,Q3,21.988354309556115,[10]
アイコム,2020,Q4,74.35778465100279,[10]
アイシン,2018,Q1,93.42110640256274,[1000]
アイシン,2018,Q2,88.57661232235232,[1000]
アイシン,2018,Q3,86.3797447229914,[1000]
アイシン,2018,Q4,85.84780027854697,[1000]
アイシン,2019,Q1,86.00641138965808,[1000]
アイシン,2019,Q2,85.67418916743587,[1000]
アイシン,2019,Q3,84.75224472299142,[1000]
アイシン,2019,Q4,84.45113361188032,[1000]
アイシン,2020,Q1,81.612800278547,[1000]
アイシン,2020,Q2,-28.418142046379643,[1000]
アイシン,2020,Q3,83.00770047057347,[1000]
アイシン,2020,Q4,103.88824798931557,[1000]
アイダエンジニアリング,2018,Q1,15.621530344016783,[1]
アイダエンジニアリング,2018,Q2,25.866356755523864,[1]
アイダエンジニアリング,2018,Q3,16.552504691262875,[1]
アイダエンジニアリング,2018,Q4,10.668508049084572,[1]
アイダエンジニアリング,2019,Q1,18.460864611074246,[1]
アイダエンジニアリング,2019,Q2,19.158360500496972,[1]
アイダエンジニアリング,2019,Q3,20.52944592473467,[1]
アイダエンジニアリング,2019,Q4,20.92964890009891,[1]
アイダエンジニアリング,2020,Q1,17.622855401726447,[1]
アイダエンジニアリング,2020,Q2,20.85775354313568,[1]
アイダエンジニアリング,2020,Q3,14.942482380805812,[1]
アイダエンジニアリング,2020,Q4,17.65091804292406,[1]
アイチコーポレーション,2018,Q1,8.586111111111112,[100]
アイチコーポレーション,2018,Q2,8.907499999999999,[100]
アイチコーポレーション,2018,Q3,9.097499999999998,[100]
アイチコーポレーション,2018,Q4,9.661388888888887,[100]
アイチコーポレーション,2019,Q1,10.353055555555553,[100]
アイチコーポレーション,2019,Q2,11.069166666666666,[100]
アイチコーポレーション,2019,Q3,11.31472222222222,[100]
アイチコーポレーション,2019,Q4,11.616388888888888,[100]
アイチコーポレーション,2020,Q1,12.096944444444444,[100]
アイチコーポレーション,2020,Q2,12.54277777777778,[100]
アイチコーポレーション,2020,Q3,12.98388888888889,[100]
アイチコーポレーション,2020,Q4,13.39777777777778,[100]
アイティフォー,2018,Q1,4.814328448262878,[10]
アイティフォー,2018,Q2,7.15867144318927,[10]
アイティフォー,2018,Q3,7.035451929461517,[10]
アイティフォー,2018,Q4,15.907057575132063,[10]
アイティフォー,2019,Q1,5.668785075276318,[10]
アイティフォー,2019,Q2,8.108250734155689,[10]
アイティフォー,2019,Q3,8.837051245359389,[10]
アイティフォー,2019,Q4,16.02964500538413,[10]
アイティフォー,2020,Q1,7.5119377900617685,[10]
アイティフォー,2020,Q2,11.22952746023272,[10]
アイティフォー,2020,Q3,7.548765527991902,[10]
アイティフォー,2020,Q4,16.777857755574612,[10]
アイティメディア,2018,Q1,-15.777242459415927,[0.001]
アイティメディア,2018,Q2,11.900634829463232,[0.001]
アイティメディア,2018,Q3,13.013875216928447,[0.001]
アイティメディア,2018,Q4,9.793475922369492,[0.001]
アイティメディア,2019,Q1,5.825214761644116,[0.001]
アイティメディア,2019,Q2,-0.19854681091930404,[0.001]
アイティメディア,2019,Q3,8.308046201429446,[0.001]
アイティメディア,2019,Q4,8.733715046634233,[0.001]
アイティメディア,2020,Q1,7.640927490766054,[0.001]
アイティメディア,2020,Q2,8.737836306884939,[0.001]
アイティメディア,2020,Q3,10.654124508977224,[0.001]
アイティメディア,2020,Q4,10.249796607962912,[0.001]
アイネス,2018,Q1,9.582777777777778,[1000]
アイネス,2018,Q2,9.5275,[1000]
アイネス,2018,Q3,9.475555555555555,[1000]
アイネス,2018,Q4,10.025277777777777,[1000]
アイネス,2019,Q1,10.260833333333332,[1000]
アイネス,2019,Q2,11.011388888888888,[1000]
アイネス,2019,Q3,8.8475,[1000]
アイネス,2019,Q4,13.409166666666668,[1000]
アイネス,2020,Q1,11.960555555555553,[1000]
アイネス,2020,Q2,12.272499999999999,[1000]
アイネス,2020,Q3,11.668055555555556,[1000]
アイネス,2020,Q4,12.413333333333334,[1000]
アイネット,2018,Q1,14.48931904088536,[100]
アイネット,2018,Q2,15.084874596440917,[100]
アイネット,2018,Q3,15.654874596440916,[100]
アイネット,2018,Q4,16.68570792977425,[100]
アイネット,2019,Q1,16.801263485329805,[100]
アイネット,2019,Q2,17.669874596440913,[100]
アイネット,2019,Q3,18.14515237421869,[100]
アイネット,2019,Q4,18.873485707552028,[100]
アイネット,2020,Q1,19.244319040885358,[100]
アイネット,2020,Q2,19.25820792977425,[100]
アイネット,2020,Q3,19.53570792977425,[100]
アイネット,2020,Q4,19.95459681866314,[100]
アイホン,2018,Q1,8.723299100841764,[0.001]
アイホン,2018,Q2,40.93228601391297,[0.001]
アイホン,2018,Q3,13.378402647092614,[0.001]
アイホン,2018,Q4,38.105967565408235,[0.001]
アイホン,2019,Q1,13.734048306386343,[0.001]
アイホン,2019,Q2,52.110427949242386,[0.001]
アイホン,2019,Q3,21.083283506683195,[0.001]
アイホン,2019,Q4,66.64472623150687,[0.001]
アイホン,2020,Q1,17.530276026405808,[0.001]
アイホン,2020,Q2,54.89701740275473,[0.001]
アイホン,2020,Q3,21.491665236999467,[0.001]
アイホン,2020,Q4,47.3111058170047,[0.001]
アイロムグループ,2018,Q1,46.40739119782088,[1000]
アイロムグループ,2018,Q2,34.0332269649816,[1000]
アイロムグループ,2018,Q3,40.186477015616404,[1000]
アイロムグループ,2018,Q4,30.622626953531757,[1000]
アイロムグループ,2019,Q1,55.99344195350848,[1000]
アイロムグループ,2019,Q2,28.543584081770238,[1000]
アイロムグループ,2019,Q3,44.85794202273512,[1000]
アイロムグループ,2019,Q4,33.40764405468923,[1000]
アイロムグループ,2020,Q1,60.863493921634955,[1000]
アイロムグループ,2020,Q2,37.772845165725585,[1000]
アイロムグループ,2020,Q3,70.03085203430646,[1000]
アイロムグループ,2020,Q4,58.33796508887661,[1000]
アキレス,2018,Q1,7.043938824745535,[1000]
アキレス,2018,Q2,7.67949438030109,[1000]
アキレス,2018,Q3,8.21199438030109,[1000]
アキレス,2018,Q4,7.416994380301091,[1000]
アキレス,2019,Q1,7.506716602523314,[1000]
アキレス,2019,Q2,8.000327713634425,[1000]
アキレス,2019,Q3,8.515605491412202,[1000]
アキレス,2019,Q4,9.574216602523313,[1000]
アキレス,2020,Q1,10.630049935856645,[1000]
アキレス,2020,Q2,13.686716602523314,[1000]
アキレス,2020,Q3,14.463938824745535,[1000]
アキレス,2020,Q4,15.29616104696776,[1000]
アクシアル　リテイリング,2018,Q1,66.64948234177483,[0.001]
アクシアル　リテイリング,2018,Q2,66.97039603640917,[0.001]
アクシアル　リテイリング,2018,Q3,88.34802888588062,[0.001]
アクシアル　リテイリング,2018,Q4,56.20784844708102,[0.001]
アクシアル　リテイリング,2019,Q1,65.66112271055107,[0.001]
アクシアル　リテイリング,2019,Q2,76.61204852541155,[0.001]
