企業名,会計年度,四半期,y_hat_comb_mols
アキレス,2020,Q4,-28.910563224776634
アクシアル　リテイリング,2018,Q1,62.38732202418479
アクシアル　リテイリング,2018,Q2,77.37170496626949
アクシアル　リテイリング,2018,Q3,104.35532942732107
アクシアル　リテイリング,2018,Q4,61.84515767577968
アクシアル　リテイリング,2019,Q1,70.46961787363063
アクシアル　リテイリング,2019,Q2,75.57353747729947
アクシアル　リテイリング,2019,Q3,89.80010177026053
アクシアル　リテイリング,2019,Q4,65.00578187317195
アクシアル　リテイリング,2020,Q1,98.51394970805603
アクシアル　リテイリング,2020,Q2,68.57174029931168
アクシアル　リテイリング,2020,Q3,102.1504742762664
アクシアル　リテイリング,2020,Q4,-26.40945637900603
アクセル,2018,Q1,-14.398719464598136
アクセル,2018,Q2,102.191372709868
アクセル,2018,Q3,56.532076447621115
アクセル,2018,Q4,92.62776790676138
アクセル,2019,Q1,131.2458584004533
アクセル,2019,Q2,44.43663879326928
アクセル,2019,Q3,17.42341422354433
アクセル,2019,Q4,20.981813305648107
アクセル,2020,Q1,-16.32139222119405
アクセル,2020,Q2,44.03522891778175
アクセル,2020,Q3,36.30530300610321
アクセル,2020,Q4,-17.174275180601644
アジアパイルホールディングス,2018,Q1,12.094112548017998
アジアパイルホールディングス,2018,Q2,30.4975340995389
アジアパイルホールディングス,2018,Q3,19.009116993078685
アジアパイルホールディングス,2018,Q4,19.686654216795304
アジアパイルホールディングス,2019,Q1,29.01271248073842
アジアパイルホールディングス,2019,Q2,22.92295209918512
アジアパイルホールディングス,2019,Q3,19.235566404451546
アジアパイルホールディングス,2019,Q4,13.598323208358034
アジアパイルホールディングス,2020,Q1,16.79684520761904
アジアパイルホールディングス,2020,Q2,17.33175052435521
アジアパイルホールディングス,2020,Q3,14.548398268025727
アジアパイルホールディングス,2020,Q4,27.440416993782723
アステラス製薬,2018,Q1,51.91597549902281
アステラス製薬,2018,Q2,1.71328918625026
アステラス製薬,2018,Q3,26.984139310369226
アステラス製薬,2018,Q4,27.2764389317054
アステラス製薬,2019,Q1,26.2447831747243
アステラス製薬,2019,Q2,33.26946984139832
アステラス製薬,2019,Q3,26.444703190327388
アステラス製薬,2019,Q4,24.04843529752314
アステラス製薬,2020,Q1,67.92108057336469
アステラス製薬,2020,Q2,14.900814809501496
アステラス製薬,2020,Q3,32.87032409481166
アステラス製薬,2020,Q4,30.712965809847876
アズビル,2018,Q1,106.74737541047428
アズビル,2018,Q2,50.49702352710813
アズビル,2018,Q3,68.90663806122554
アズビル,2018,Q4,43.596386026654784
アズビル,2019,Q1,143.893082437127
アズビル,2019,Q2,62.8400636018035
アズビル,2019,Q3,13.81575349227946
アズビル,2019,Q4,38.700354295305964
アズビル,2020,Q1,-6.966840342126962
アズビル,2020,Q2,45.4227945993733
アズビル,2020,Q3,16.04243850023975
アズビル,2020,Q4,37.00604509045342
アズワン,2018,Q1,69.70724621286308
