企業名,会計年度,四半期,|(y_test - y_test) / y_test|,|(y_test - y_hat_rw) / y_test|,|(y_test - y_hat_sarima_br) / y_test|,|(y_test - y_hat_sarima_f) / y_test|,|(y_test - y_hat_sarima_g) / y_test|,|(y_test - y_hat_umlp) / y_test|,|(y_test - y_hat_mlm1) / y_test|,|(y_test - y_hat_mlm2) / y_test|,|(y_test - y_hat_mlm3) / y_test|,|(y_test - y_hat_mlm4) / y_test|
いすゞ自動車,2018,Q1,0.0,0.18200681835154764,0.09852026561953424,0.0305016655910917,0.062397791847024243,0.21570520094870796,0.03329844100235564,0.3531034887031537,0.3320898032733768,1.0
いすゞ自動車,2018,Q2,0.0,1.0,0.030483048550900848,0.02544256635490848,0.04419537057414013,0.012166108269157972,0.004865624714568271,0.01446592096158019,0.0012443000289881626,0.33894455280808206
いすゞ自動車,2018,Q3,0.0,0.2758005096454239,0.055996011445299566,0.053504434405762115,0.035397746126855346,0.04405290915669134,0.05507254808781058,0.01337478961829913,0.002825340887805021,1.0
いすゞ自動車,2018,Q4,0.0,0.8543830181853737,0.13222907387415844,0.04472454471831321,0.3274992926450918,0.01931064081381885,0.11531710984864446,0.02129927689224787,0.002103266202089854,0.6619483046233576
いすゞ自動車,2019,Q1,0.0,0.0830457969027233,0.032156061842428106,0.0844921180310983,0.07812457277847842,0.003966224616781956,0.38252936847942015,0.0024492624568378967,0.004460784216727461,0.1494830698782126
いすゞ自動車,2019,Q2,0.0,1.0,0.052521748268860274,0.05167603113248174,0.3461355064708649,0.31283318970154533,0.07919112066370611,0.21539149196453022,0.005589287805697066,1.0
いすゞ自動車,2019,Q3,0.0,0.30076626871764583,0.02536024165054096,0.0888046067101836,0.028812912049595824,0.1314564500850691,0.09932078972858704,0.012337756264958599,0.01691637150417084,0.022118663542772685
いすゞ自動車,2019,Q4,0.0,0.9872409600000003,0.05799459885790294,0.023098231871300317,0.1610276839428541,0.21644245144373764,0.7003990587687922,0.4078221994463553,0.07559476237791067,0.3798551904965831
いすゞ自動車,2020,Q1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
いすゞ自動車,2020,Q2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11963594937314656,0.025339296462559495,1.0
いすゞ自動車,2020,Q3,0.0,0.5398555902592441,0.009527777350632366,0.01875848995459938,0.19306558567230261,0.14608676356530975,0.12175817018363252,0.023493637108949406,0.08825875345334165,1.0
いすゞ自動車,2020,Q4,0.0,1.0,0.008482387146490649,0.0012031433013311589,0.1625178168176648,0.03563009492296374,0.186847279707121,0.19253674062485857,1.0,1.0
いなげや,2018,Q1,0.0,0.13231761940134865,0.8632390749544168,1.0,0.788818335605559,1.0,1.0,1.0,1.0,1.0
いなげや,2018,Q2,0.0,1.0,1.0,1.0,1.0,0.0015630733081414866,1.0,1.0,1.0,1.0
いなげや,2018,Q3,0.0,0.7188390675306084,0.1254967827225584,0.029269818780941002,0.08701649650231084,0.5428011020241373,0.6476539891835377,0.030102803571112047,0.3294823528051075,1.0
いなげや,2018,Q4,0.0,1.0,0.9881930504620781,0.6860293367650112,0.9050793915602152,1.0,0.8162167634631887,1.0,1.0,1.0
いなげや,2019,Q1,0.0,1.0,0.11798063564857153,0.786215296936212,0.17699254640923906,1.0,1.0,1.0,1.0,1.0
いなげや,2019,Q2,0.0,1.0,0.09993687454238713,0.019798266055972603,1.0,1.0,1.0,1.0,1.0,1.0
いなげや,2019,Q3,0.0,0.6105558813746258,0.17515048350687035,0.08461587282142231,0.007912711250524285,1.0,0.940959064891196,0.2725138417825718,0.042899322755270454,0.512948268236389
いなげや,2019,Q4,0.0,0.019897979364998646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
いなげや,2020,Q1,0.0,0.5726271432410641,1.0,1.0,1.0,1.0,1.0,0.7967688555666285,0.9681637388276544,1.0
いなげや,2020,Q2,0.0,1.0,0.006671233999592726,0.1316451732488052,0.7448673683925218,1.0,0.3015958129619534,0.2052575924673721,0.10516364853365265,0.6152226792109334
いなげや,2020,Q3,0.0,0.06650879310666652,0.10790670381544264,0.13019096295587781,0.06212884169548334,1.0,0.3737310529772328,0.1508857504603646,0.24558623394660906,0.06610099639879566
いなげや,2020,Q4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
かどや製油,2018,Q1,0.0,0.32813864387330755,0.24025784158047303,0.19205290590468227,0.12891201300935604,0.12539591137393552,0.6014878591203223,0.13001676572571844,0.08080678895185878,0.15727597114871153
