企業名,会計年度,四半期,y_hat_comb_uall
さくらインターネット,2020,Q1,2.1104960293016957
さくらインターネット,2020,Q2,6.316086196320942
さくらインターネット,2020,Q3,21.45456940000805
さくらインターネット,2020,Q4,6.133157905244682
たけびし,2018,Q1,37.4112543698313
たけびし,2018,Q2,40.02591850395053
たけびし,2018,Q3,42.50795526417516
たけびし,2018,Q4,46.408178630290685
たけびし,2019,Q1,37.459271948347975
たけびし,2019,Q2,34.27354443888335
たけびし,2019,Q3,41.87766296599305
たけびし,2019,Q4,23.847867038223526
たけびし,2020,Q1,25.533129719847167
たけびし,2020,Q2,29.954811944230915
たけびし,2020,Q3,23.663269313499743
たけびし,2020,Q4,24.24511571394852
なとり,2018,Q1,20.329089934763335
なとり,2018,Q2,13.516482523496924
なとり,2018,Q3,47.991194388220194
なとり,2018,Q4,-7.353672579784062
なとり,2019,Q1,19.035958502384005
なとり,2019,Q2,20.027529621435843
なとり,2019,Q3,57.06247951242538
なとり,2019,Q4,-12.43949352037119
なとり,2020,Q1,15.411943310173456
なとり,2020,Q2,21.22601433574035
なとり,2020,Q3,56.28077656862774
なとり,2020,Q4,1.8362891281440483
はせがわ,2018,Q1,-4.680707200892758
はせがわ,2018,Q2,22.34408681501099
はせがわ,2018,Q3,3.7808783008398885
はせがわ,2018,Q4,12.063397887977896
はせがわ,2019,Q1,-5.138470437412968
はせがわ,2019,Q2,12.780320524037858
はせがわ,2019,Q3,-1.5400931519067078
はせがわ,2019,Q4,-2.2480891941104013
はせがわ,2020,Q1,-26.889264587281094
はせがわ,2020,Q2,8.64274931459887
はせがわ,2020,Q3,-14.379507525885495
はせがわ,2020,Q4,-11.244330358243868
はるやまホールディングス,2018,Q1,11.361821580131723
はるやまホールディングス,2018,Q2,-18.836201659835112
はるやまホールディングス,2018,Q3,19.974136441062605
はるやまホールディングス,2018,Q4,60.495105644042496
はるやまホールディングス,2019,Q1,-8.208652109690222
はるやまホールディングス,2019,Q2,-29.752224387751234
はるやまホールディングス,2019,Q3,14.844662381450888
はるやまホールディングス,2019,Q4,34.2654569358473
はるやまホールディングス,2020,Q1,1.8650236067704835
はるやまホールディングス,2020,Q2,-40.75566508604804
はるやまホールディングス,2020,Q3,11.494786247726895
はるやまホールディングス,2020,Q4,0.007906015847749614
ぴあ,2018,Q1,13.385438813087116
ぴあ,2018,Q2,21.79842100592873
ぴあ,2018,Q3,9.206857259742865
ぴあ,2018,Q4,12.076944317426353
ぴあ,2019,Q1,21.375037060126346
ぴあ,2019,Q2,12.140747311221647
ぴあ,2019,Q3,14.077471416375555
ぴあ,2019,Q4,8.453893324522289
ぴあ,2020,Q1,5.863168760357353
ぴあ,2020,Q2,-89.68954947985819
ぴあ,2020,Q3,-79.22898712903711
ぴあ,2020,Q4,-43.95840065859154
りらいあコミュニケーションズ,2018,Q1,12.598330955305823
りらいあコミュニケーションズ,2018,Q2,12.234883236129987
りらいあコミュニケーションズ,2018,Q3,14.61544350995413
りらいあコミュニケーションズ,2018,Q4,14.387988184912004
りらいあコミュニケーションズ,2019,Q1,-49.96934439954427
りらいあコミュニケーションズ,2019,Q2,0.3682670831196823
りらいあコミュニケーションズ,2019,Q3,9.883026078693897
