企業名,会計年度,四半期,y_test - y_test,y_test - y_hat_rw,y_test - y_hat_sarima_br,y_test - y_hat_sarima_f,y_test - y_hat_sarima_g,y_test - y_hat_umlp,y_test - y_hat_mlm1,y_test - y_hat_mlm2,y_test - y_hat_mlm3,y_test - y_hat_mlm4
日東電工,2020,Q2,0.0,45.03999999999999,4.3628712005163095,-3.249397447924224,23.713072620337485,-33.77999,25.513846662954435,21.630970777997675,-8.662724874418188,76.03644491104143
日東電工,2020,Q3,0.0,40.93000000000001,36.91708422134735,77.0697216344638,37.99002291201779,25.28862000000001,51.60370500342651,77.44449383636675,60.45519446138589,41.18324808653051
日東電工,2020,Q4,0.0,-63.75,38.18111652846726,30.189857148491484,35.13241156132696,54.75083,22.82264425273297,58.51592519784572,60.912422555300054,410.0926690674187
日比谷総合設備,2018,Q1,0.0,-102.75,-262.6866171213619,-180.00474000868857,-265.5539551363203,-112.94586,-210.50891695535668,41.07823678451244,90.15837251858908,-350.5205234405771
日比谷総合設備,2018,Q2,0.0,-9.54,-16.29232482521319,-5.703634080627069,-48.34322903546277,-30.686698999999997,-157.51373816399342,-16.667001575412367,-6.7208329933948185,-318.5393803556813
日比谷総合設備,2018,Q3,0.0,55.129999999999995,22.47221853634703,34.29823184841533,9.33550859330979,25.6817396,0.29711653102760494,47.92777284091251,37.14992251027417,-115.35237726430393
日比谷総合設備,2018,Q4,0.0,81.66999999999999,26.820695533859094,20.57672018709127,26.026099419919106,47.043763999999996,35.785847730282725,10.919306360341835,4.147014482329155,-227.22553808514863
日比谷総合設備,2019,Q1,0.0,-132.44,-51.459625613417344,-8.558394809812947,-51.89707309928109,-59.52297,30.534320426015977,2.0451600464514748,3.6095394341034996,-247.42771909465765
日比谷総合設備,2019,Q2,0.0,30.06,20.499706585589088,35.11562248786148,3.824869901587597,15.2959994,24.387045135868775,47.41077462362533,62.62079237090824,-168.4504510939529
日比谷総合設備,2019,Q3,0.0,18.740000000000002,10.47696793206056,-6.49209900092044,5.874223200020992,-31.227290000000004,-18.715744671339863,35.13585985232678,22.070916642801627,-85.65946040002873
日比谷総合設備,2019,Q4,0.0,92.10999999999999,35.3542690283103,8.721728592002037,30.15314807570499,22.302959999999985,41.55827180615229,-13.187413686150236,-9.404044697327024,-46.95547748754056
日比谷総合設備,2020,Q1,0.0,-101.53999999999999,-1.4927979152023205,38.27783604682228,-7.636744007575235,8.866713000000003,87.04167550544747,29.90111241870322,25.988359792529238,-43.98109595415197
日比谷総合設備,2020,Q2,0.0,1.4399999999999977,19.723031612821597,5.564540800625807,5.348686438034868,15.2171925,13.268846744362106,17.973684418701495,34.97970655390917,214.9722321806533
日比谷総合設備,2020,Q3,0.0,3.8500000000000014,1.2090553909286044,-5.5889402203240905,-9.365891348247672,8.068719000000002,2.8188928830695303,3.0686885170958575,-6.300577032347896,45.303771764145466
日比谷総合設備,2020,Q4,0.0,31.159999999999997,-35.205091027990555,-64.53766862608515,-48.54336588043028,-19.67244,-20.25469508472441,-98.25375074464137,-97.52969897442111,-55.734171848546445
日水製薬,2018,Q1,0.0,-4.619999999999999,-2.756320823687675,3.624352188230856,-3.1444116618749547,-6.258846999999999,-23.267201135387936,4.288790478391169,2.9034391069042105,-31.61807555605683
