企業名,会計年度,四半期,y_hat_comb_all
わかもと製薬,2019,Q3,-11.001888864289533
わかもと製薬,2019,Q4,-11.31538366513377
わかもと製薬,2020,Q1,-3.961648045811409
わかもと製薬,2020,Q2,-6.179982494371557
わかもと製薬,2020,Q3,0.6513301159422957
わかもと製薬,2020,Q4,-3.547597604012464
アイカ工業,2018,Q1,42.35043154089193
アイカ工業,2018,Q2,48.49525214254114
アイカ工業,2018,Q3,49.81612357227973
アイカ工業,2018,Q4,48.54336280359872
アイカ工業,2019,Q1,49.48192396573035
アイカ工業,2019,Q2,51.66447974618945
アイカ工業,2019,Q3,51.38665508875078
アイカ工業,2019,Q4,53.36958444546676
アイカ工業,2020,Q1,43.13361784879505
アイカ工業,2020,Q2,41.69151885315885
アイカ工業,2020,Q3,44.84338118485339
アイカ工業,2020,Q4,48.158137347592145
アイコム,2018,Q1,5.465492054119498
アイコム,2018,Q2,14.467465647293942
アイコム,2018,Q3,18.013070251411285
アイコム,2018,Q4,67.58573914996313
アイコム,2019,Q1,13.534387632721547
アイコム,2019,Q2,23.556809476989656
アイコム,2019,Q3,29.71398510789963
アイコム,2019,Q4,52.005365750798454
アイコム,2020,Q1,19.730208158768043
アイコム,2020,Q2,-1.4126748221602183
アイコム,2020,Q3,22.801530152573324
アイコム,2020,Q4,61.44103124785219
アイシン,2018,Q1,142.21822507427615
アイシン,2018,Q2,94.95676848709743
アイシン,2018,Q3,119.23519082114815
アイシン,2018,Q4,118.37851193019964
アイシン,2019,Q1,128.18999755191157
アイシン,2019,Q2,43.854010054735866
アイシン,2019,Q3,75.09414257786153
アイシン,2019,Q4,75.91236962230649
アイシン,2020,Q1,-25.37601640197176
アイシン,2020,Q2,-102.78766957144997
アイシン,2020,Q3,120.97535118312456
アイシン,2020,Q4,32.82086370991196
アイダエンジニアリング,2018,Q1,16.22303021579503
アイダエンジニアリング,2018,Q2,11.92790777798313
アイダエンジニアリング,2018,Q3,11.074271777578502
アイダエンジニアリング,2018,Q4,21.67633555261495
アイダエンジニアリング,2019,Q1,13.120163443724696
アイダエンジニアリング,2019,Q2,16.711722852145154
アイダエンジニアリング,2019,Q3,17.846384881222022
アイダエンジニアリング,2019,Q4,24.296087889349376
アイダエンジニアリング,2020,Q1,13.084390642005372
アイダエンジニアリング,2020,Q2,19.806604061939268
アイダエンジニアリング,2020,Q3,21.235639542244893
アイダエンジニアリング,2020,Q4,9.947584734148187
アイチコーポレーション,2018,Q1,11.699049849999126
アイチコーポレーション,2018,Q2,18.833647097261363
アイチコーポレーション,2018,Q3,15.000645797710312
アイチコーポレーション,2018,Q4,20.430630767609625
アイチコーポレーション,2019,Q1,11.185739592682708
アイチコーポレーション,2019,Q2,20.911106452839793
アイチコーポレーション,2019,Q3,16.73009719124892
アイチコーポレーション,2019,Q4,23.55322298971491
アイチコーポレーション,2020,Q1,14.454614999524189
アイチコーポレーション,2020,Q2,16.656440787943932
アイチコーポレーション,2020,Q3,14.489564667413077
