企業名,会計年度,四半期,y_test,y_hat_rw,y_hat_srw,y_hat_sarima_br,y_hat_sarima_f,y_hat_sarima_g,y_hat_uen,y_hat_ul1,y_hat_ul2,y_hat_umlp,y_hat_ols1,y_hat_ols2,y_hat_ols3,y_hat_men,y_hat_ml1,y_hat_ml2,y_hat_mraf,y_hat_mmlp,y_hat_comb_all,y_hat_comb_uall,y_hat_comb_uml,y_hat_comb_mall,y_hat_comb_mml,y_hat_ibes
アイシン,2020,Q1,-186.66,-83.89,64.57,-26.826622707602937,-12.632006631759197,-20.14034724580685,81.612800278547,81.612800278547,4.973709814103133,56.223335,5.850895313393266,-59.3411497072093,-163.85445204930443,-176.27332230807292,-175.56767900533083,-216.3031816779021,24.94092204970907,117.56174,-29.26367991756994,16.167074309558682,56.10566134279928,-80.37327842308964,-85.12830418831933,-50.7
アイシン,2020,Q2,114.33,-186.66,48.17,-245.9450919439313,-145.60346773192765,-217.07718184153168,-28.418142046379643,-28.418142046379643,-151.6797044062938,-80.03711,-346.3349100362657,-209.602949990428,-309.9659815636551,84.49751461949567,23.508925033721503,154.47266436869222,-19.583963945371288,-95.348495,-103.17800214883852,-115.07431555738266,-72.13827462476327,-89.79464956422632,29.509329015307618,-27.7
アイシン,2020,Q3,217.38,114.33,60.44,86.76444673204315,83.0616645581782,16.13716109034391,83.00770047057347,83.00770047057347,133.99610754436492,155.12143,34.43107368006167,33.75953447600091,460.3034771379535,202.4487861740003,185.5914120405789,208.1068178341974,105.20896274438452,48.60093,123.1951297031326,90.6518012073419,113.78323462137796,159.80637426089717,149.9913817586322,121.6
アイシン,2020,Q4,246.91,217.38,-83.89,-119.69876260340456,-18.31929442536368,-175.76797665825023,103.88824798931556,103.88824798931556,65.0581412090503,90.366135,108.75910063666196,-85.77947468141338,-270.7759776315579,89.70017734112585,102.51197302544855,130.79564570164044,128.44069584263045,78.1917,27.33815169030582,20.322748722295884,90.80019304692036,35.23048002931699,105.92803838216904,100.6
アステラス製薬,2018,Q1,27.68,11.06,20.57,23.028569486850177,20.042495049962007,19.993628636794853,25.84947745737039,25.84947842987013,25.849471577352663,26.26474,24.35787314171432,22.58685807757945,108.80319527777463,33.5999150078914,32.41746993011396,33.97312731629637,22.887900000000013,21.156965,29.31124496409237,22.056428959800023,25.95329186614829,37.47291296892127,28.80707545086035,25.8
アステラス製薬,2018,Q2,25.5,27.68,19.39,21.56272765133564,19.842387002988936,19.213423351556376,22.65250844661532,22.65252038472442,22.652503850641665,32.919495,6.1204722312591,24.542490680220567,-25.523095352728888,27.365517424576733,24.45445030750724,28.9895971251572,21.9986,26.845736,20.19760788846202,23.17395174309582,25.21925692049535,16.849221051998995,25.93078017144823,28.3
アステラス製薬,2018,Q3,45.64,25.5,30.0,30.799328508564635,30.268548785915844,24.989216617167298,31.57780116565489,31.577786785480875,31.577799584914825,48.865562,19.488480428556613,29.738676050694096,31.72526145185697,35.53779862264122,28.02608014109797,39.67597888968369,26.63979999999999,23.038643,30.53098600189581,31.684004827522035,35.899737384012646,29.233839823066315,30.58366013068457,30.8
アステラス製薬,2018,Q4,16.16,45.64,11.06,13.45797080924902,10.988745542949395,7.987147804872695,17.783144114348488,17.783150342334466,17.783131383229154,7.5145483,-13.32269607670321,26.561785827395227,68.59022704442418,16.17267002121163,13.776710012514537,19.772214734290497,21.54660000000001,13.200026,18.60561034471271,16.66642647744258,15.215993534978027,20.78719219539161,16.893644153603333,15.4
アステラス製薬,2019,Q1,31.03,16.16,27.68,25.9324098626386,27.630543740218627,21.40165460029028,32.18670361568957,32.186701204295865,32.18669940109572,23.785511,20.16500298520464,29.72660639776552,28.84274014120274,36.236748823607385,31.75603482114926,39.25774966777546,28.76607759780394,23.841915,28.102535226984568,26.57224704713652,30.08640380527029,29.82410942931362,31.971705182067204,28.2
アステラス製薬,2019,Q2,37.13,31.03,25.5,23.75354665764172,25.392601300616107,19.886337280125563,24.849022868486102,24.84904182113774,24.84902071238341,28.60302,26.57609423688644,26.01853514878117,47.21378013852734,26.64098818352812,22.60957550183173,28.969547819910368,26.71545,22.390015,26.814504509991515,25.41251007115452,25.78752635050181,28.391748253683147,25.465115301054045,27.4
