企業名,会計年度,四半期,y_hat_ibes_comb_all
キーエンス,2019,Q1,448.92586958132176
キーエンス,2019,Q2,422.66195888566676
キーエンス,2019,Q3,360.40463861300714
キーエンス,2019,Q4,251.19604280799075
キーエンス,2020,Q1,213.37558511401102
キーエンス,2020,Q2,216.67578633488625
キーエンス,2020,Q3,188.73180969425266
キーエンス,2020,Q4,238.9172898130175
ケーズホールディングス,2018,Q1,53.44659524470476
ケーズホールディングス,2018,Q2,62.74476170849869
ケーズホールディングス,2018,Q3,52.7475151556755
ケーズホールディングス,2018,Q4,34.340686039038026
ケーズホールディングス,2019,Q1,28.564029973659128
ケーズホールディングス,2019,Q2,49.809604026508374
ケーズホールディングス,2019,Q3,37.51251223113816
ケーズホールディングス,2019,Q4,36.229623127421334
ケーズホールディングス,2020,Q1,33.640107875101094
ケーズホールディングス,2020,Q2,50.94615874873019
ケーズホールディングス,2020,Q3,35.03999015148023
ケーズホールディングス,2020,Q4,30.896192783197293
コマツ,2018,Q1,47.890051856583035
コマツ,2018,Q2,62.01755761301168
コマツ,2018,Q3,53.60411299454783
コマツ,2018,Q4,56.92126538018197
コマツ,2019,Q1,61.340893499026684
コマツ,2019,Q2,36.95281272815208
コマツ,2019,Q3,47.53721236414723
コマツ,2019,Q4,40.4855313751516
コマツ,2020,Q1,26.58390189623834
コマツ,2020,Q2,26.738283054992493
コマツ,2020,Q3,24.39204425404778
コマツ,2020,Q4,40.756526705498764
シスメックス,2018,Q1,39.346050043266835
シスメックス,2018,Q2,53.69344407576773
シスメックス,2018,Q3,51.76006715816149
シスメックス,2018,Q4,45.623073604885974
シスメックス,2019,Q1,47.025634231490564
シスメックス,2019,Q2,56.03840288169289
シスメックス,2019,Q3,45.0043698481628
シスメックス,2019,Q4,49.93516679270146
シスメックス,2020,Q1,34.91370525415975
シスメックス,2020,Q2,42.841651165673795
シスメックス,2020,Q3,41.9862609589715
シスメックス,2020,Q4,44.805898194708014
