企業名,会計年度,四半期,y_hat_ibes_comb_mml
コマツ,2019,Q4,36.081053018457595
コマツ,2020,Q1,25.378991431341138
コマツ,2020,Q2,28.255822935497168
コマツ,2020,Q3,24.525174623429717
コマツ,2020,Q4,53.13374167544264
シスメックス,2018,Q1,36.241253696340046
シスメックス,2018,Q2,54.25190036742185
シスメックス,2018,Q3,58.392679661499415
シスメックス,2018,Q4,53.789831927486865
シスメックス,2019,Q1,45.87539009812957
シスメックス,2019,Q2,57.02405131061843
シスメックス,2019,Q3,46.181666009331394
シスメックス,2019,Q4,45.59181946933017
シスメックス,2020,Q1,25.447485627960802
シスメックス,2020,Q2,45.70838147830161
シスメックス,2020,Q3,42.43958174475543
シスメックス,2020,Q4,38.30825620301055
スクウェア・エニックス・ホール,2018,Q1,33.29358522078095
スクウェア・エニックス・ホール,2018,Q2,52.47046158595837
スクウェア・エニックス・ホール,2018,Q3,40.47450401803592
スクウェア・エニックス・ホール,2018,Q4,42.83819690720917
スクウェア・エニックス・ホール,2019,Q1,42.264714051888156
スクウェア・エニックス・ホール,2019,Q2,59.563511968879006
スクウェア・エニックス・ホール,2019,Q3,56.584896215602896
スクウェア・エニックス・ホール,2019,Q4,30.283183760373756
スクウェア・エニックス・ホール,2020,Q1,81.86987854449659
スクウェア・エニックス・ホール,2020,Q2,50.50769222102523
スクウェア・エニックス・ホール,2020,Q3,76.96225526757588
スクウェア・エニックス・ホール,2020,Q4,62.593148421883335
スズキ,2018,Q1,149.91809511054552
スズキ,2018,Q2,109.23176286589904
スズキ,2018,Q3,146.87256142635675
スズキ,2018,Q4,46.5720547892303
スズキ,2019,Q1,125.7090327429978
スズキ,2019,Q2,59.989731956064645
スズキ,2019,Q3,111.57337618473451
スズキ,2019,Q4,26.474205310350737
スズキ,2020,Q1,31.067351592660255
スズキ,2020,Q2,40.75463641118014
スズキ,2020,Q3,63.89167700265936
スズキ,2020,Q4,82.6801615696041
セイコーエプソン,2018,Q1,41.33310014375669
セイコーエプソン,2018,Q2,30.950471628886614
セイコーエプソン,2018,Q3,61.91392716557024
セイコーエプソン,2018,Q4,37.244760205349316
セイコーエプソン,2019,Q1,18.25623754919981
セイコーエプソン,2019,Q2,2.5234835299055427
セイコーエプソン,2019,Q3,7.190665926556029
セイコーエプソン,2019,Q4,10.415671523130378
セイコーエプソン,2020,Q1,-30.91595336526869
セイコーエプソン,2020,Q2,19.96063889147198
セイコーエプソン,2020,Q3,49.12827159239319
