企業名,会計年度,四半期,y_hat_comb_mall
アマダ,2018,Q2,21.226794830616655
アマダ,2018,Q3,20.11013706622329
アマダ,2018,Q4,23.357400136841903
アマダ,2019,Q1,16.305837998165522
アマダ,2019,Q2,24.625907388513646
アマダ,2019,Q3,16.42445846161485
アマダ,2019,Q4,22.4052075086162
アマダ,2020,Q1,9.10882786433499
アマダ,2020,Q2,19.021242512083315
アマダ,2020,Q3,13.340483520835638
アマダ,2020,Q4,16.187600146687014
アマノ,2018,Q1,16.769999040883217
アマノ,2018,Q2,36.76885771972898
アマノ,2018,Q3,31.57223493529299
アマノ,2018,Q4,48.58755892628825
アマノ,2019,Q1,18.505877729729917
アマノ,2019,Q2,36.5456904148386
アマノ,2019,Q3,26.89713415627965
アマノ,2019,Q4,46.41877903910762
アマノ,2020,Q1,13.345689434132586
アマノ,2020,Q2,29.099026788299472
アマノ,2020,Q3,25.501537876141867
アマノ,2020,Q4,36.15267104144577
アミューズ,2018,Q1,46.16388930119769
アミューズ,2018,Q2,16.473563734705234
アミューズ,2018,Q3,39.82813831435594
アミューズ,2018,Q4,86.59766952583735
アミューズ,2019,Q1,84.38929171855528
アミューズ,2019,Q2,63.383752285469654
アミューズ,2019,Q3,65.05617684512734
アミューズ,2019,Q4,27.652325853645106
アミューズ,2020,Q1,28.705429971009913
アミューズ,2020,Q2,61.38720309273707
アミューズ,2020,Q3,71.99082091674013
アミューズ,2020,Q4,20.388034005755628
アリアケジャパン,2018,Q1,49.981617511040454
アリアケジャパン,2018,Q2,55.9281474971145
アリアケジャパン,2018,Q3,53.65268582142177
アリアケジャパン,2018,Q4,51.64881545132759
アリアケジャパン,2019,Q1,-39.949987279973946
アリアケジャパン,2019,Q2,60.883234916818516
アリアケジャパン,2019,Q3,64.86096082108696
アリアケジャパン,2019,Q4,90.28029270464131
アリアケジャパン,2020,Q1,55.22206097202657
アリアケジャパン,2020,Q2,44.912118041130235
アリアケジャパン,2020,Q3,66.96688023694263
アリアケジャパン,2020,Q4,78.33935052795991
アルインコ,2018,Q1,6.555699881867888
アルインコ,2018,Q2,32.19555539643368
アルインコ,2018,Q3,30.247335098579423
アルインコ,2018,Q4,9.254882658533802
アルインコ,2019,Q1,26.391891067921062
アルインコ,2019,Q2,32.72814099972428
アルインコ,2019,Q3,37.649590314758356
アルインコ,2019,Q4,15.708649584091997
アルインコ,2020,Q1,16.13386392182513
アルインコ,2020,Q2,16.13661508486579
アルインコ,2020,Q3,24.806324614733036
アルインコ,2020,Q4,19.318972740656392
アルコニックス,2018,Q1,86.70314102532015
アルコニックス,2018,Q2,56.681023344251344
アルコニックス,2018,Q3,67.63639732124422
アルコニックス,2018,Q4,42.21812449440756
アルコニックス,2019,Q1,58.521480632254665
