企業名,会計年度,四半期,y_hat_comb_uml
なとり,2020,Q3,54.380841929885776
なとり,2020,Q4,-8.854205725588344
はせがわ,2018,Q1,-1.6191892829600938
はせがわ,2018,Q2,21.119517706492996
はせがわ,2018,Q3,3.805484150181163
はせがわ,2018,Q4,14.58326124874597
はせがわ,2019,Q1,1.415391772009108
はせがわ,2019,Q2,11.541652183062897
はせがわ,2019,Q3,-2.108400434614229
はせがわ,2019,Q4,5.546785621873026
はせがわ,2020,Q1,-18.098592584633675
はせがわ,2020,Q2,3.6166542494926612
はせがわ,2020,Q3,-16.651573300901283
はせがわ,2020,Q4,-11.903474521232845
はるやまホールディングス,2018,Q1,5.910339145597345
はるやまホールディングス,2018,Q2,-13.288451007616144
はるやまホールディングス,2018,Q3,29.640587832627435
はるやまホールディングス,2018,Q4,62.798329288649256
はるやまホールディングス,2019,Q1,-8.303212563575402
はるやまホールディングス,2019,Q2,-24.029202884446832
はるやまホールディングス,2019,Q3,20.425706763054972
はるやまホールディングス,2019,Q4,34.707660923275995
はるやまホールディングス,2020,Q1,-2.0179782657946093
はるやまホールディングス,2020,Q2,-31.22401458918597
はるやまホールディングス,2020,Q3,35.92328669697326
はるやまホールディングス,2020,Q4,11.656619729704296
ぴあ,2018,Q1,12.222505150212935
ぴあ,2018,Q2,20.414095330251758
ぴあ,2018,Q3,8.402546189052849
ぴあ,2018,Q4,12.73319604835425
ぴあ,2019,Q1,20.691642344369264
ぴあ,2019,Q2,17.555337376051096
ぴあ,2019,Q3,14.711205027917702
ぴあ,2019,Q4,14.804983611243827
ぴあ,2020,Q1,7.198322632104632
ぴあ,2020,Q2,-103.89150477519209
ぴあ,2020,Q3,-73.88184215350465
ぴあ,2020,Q4,-34.66751270922676
りらいあコミュニケーションズ,2018,Q1,16.127222094752582
りらいあコミュニケーションズ,2018,Q2,15.406115288392048
りらいあコミュニケーションズ,2018,Q3,15.83481034442994
りらいあコミュニケーションズ,2018,Q4,17.7089802358631
りらいあコミュニケーションズ,2019,Q1,7.750516352216339
りらいあコミュニケーションズ,2019,Q2,-12.338243372275098
りらいあコミュニケーションズ,2019,Q3,9.554157073207927
りらいあコミュニケーションズ,2019,Q4,3.710115598659266
りらいあコミュニケーションズ,2020,Q1,16.32105132716312
りらいあコミュニケーションズ,2020,Q2,14.511869605273596
りらいあコミュニケーションズ,2020,Q3,13.557705937841565
りらいあコミュニケーションズ,2020,Q4,6.861513335005654
わかもと製薬,2018,Q1,0.6660623188750148
わかもと製薬,2018,Q2,-0.479550544990223
わかもと製薬,2018,Q3,0.4583853570410879
わかもと製薬,2018,Q4,4.526569663548574
わかもと製薬,2019,Q1,1.7060848166475215
わかもと製薬,2019,Q2,2.877445838185344
わかもと製薬,2019,Q3,-2.5058246210200523
わかもと製薬,2019,Q4,-3.833670868244967
わかもと製薬,2020,Q1,-2.1666085891212035
わかもと製薬,2020,Q2,1.021086964158123
わかもと製薬,2020,Q3,0.3374786254956377
わかもと製薬,2020,Q4,0.3996415586205144
アイカ工業,2018,Q1,38.93452108421608
アイカ工業,2018,Q2,42.49362875133034
アイカ工業,2018,Q3,41.678816440269706
アイカ工業,2018,Q4,42.77109753495545
アイカ工業,2019,Q1,40.97294304973147
アイカ工業,2019,Q2,47.97052492313117
アイカ工業,2019,Q3,42.70181723478018
アイカ工業,2019,Q4,43.78800783286688
アイカ工業,2020,Q1,43.74098439805866
アイカ工業,2020,Q2,37.87970346173791
アイカ工業,2020,Q3,39.03157420639698
