企業名,会計年度,四半期,y_hat_comb_uts
わかもと製薬,2020,Q3,-1.2662586407975431
わかもと製薬,2020,Q4,-2.7756551945454015
アイカ工業,2018,Q1,41.18400389928219
アイカ工業,2018,Q2,48.96077001535038
アイカ工業,2018,Q3,51.02095989424132
アイカ工業,2018,Q4,49.56753771971667
アイカ工業,2019,Q1,48.69782579444097
アイカ工業,2019,Q2,50.839168760909736
アイカ工業,2019,Q3,55.622643961514996
アイカ工業,2019,Q4,55.87022165106147
アイカ工業,2020,Q1,40.377687500053376
アイカ工業,2020,Q2,41.49830846289859
アイカ工業,2020,Q3,39.69827630219972
アイカ工業,2020,Q4,43.737695017800355
アイコム,2018,Q1,4.238922017387376
アイコム,2018,Q2,10.356565764336274
アイコム,2018,Q3,13.36922672844669
アイコム,2018,Q4,39.94591280131489
アイコム,2019,Q1,35.24011248470538
アイコム,2019,Q2,16.771008051795025
アイコム,2019,Q3,20.87994911859959
アイコム,2019,Q4,55.57524081797298
アイコム,2020,Q1,34.21437283432519
アイコム,2020,Q2,-0.8403965352012694
アイコム,2020,Q3,12.041587171766235
アイコム,2020,Q4,72.86844474617382
アイシン,2018,Q1,129.26671387405025
アイシン,2018,Q2,106.33956291952208
アイシン,2018,Q3,139.70713571272586
アイシン,2018,Q4,113.7574615798712
アイシン,2019,Q1,126.96219900191879
アイシン,2019,Q2,64.14330361499479
アイシン,2019,Q3,68.05696653667651
アイシン,2019,Q4,86.14789579652502
アイシン,2020,Q1,-15.783795317033798
アイシン,2020,Q2,-149.42314830347814
アイシン,2020,Q3,72.14665447611304
アイシン,2020,Q4,-36.05920673740369
アイダエンジニアリング,2018,Q1,22.674971758186256
アイダエンジニアリング,2018,Q2,16.678986022299746
アイダエンジニアリング,2018,Q3,11.562584064428409
アイダエンジニアリング,2018,Q4,30.839790920607573
アイダエンジニアリング,2019,Q1,17.64462407012801
アイダエンジニアリング,2019,Q2,12.71095827717831
アイダエンジニアリング,2019,Q3,20.016828931214214
アイダエンジニアリング,2019,Q4,26.4088412608201
アイダエンジニアリング,2020,Q1,12.460184157150419
アイダエンジニアリング,2020,Q2,12.73457142459388
アイダエンジニアリング,2020,Q3,11.290893568275143
アイダエンジニアリング,2020,Q4,14.6061174465776
アイチコーポレーション,2018,Q1,14.789335125237667
アイチコーポレーション,2018,Q2,21.110002729859268
アイチコーポレーション,2018,Q3,15.053266406209872
アイチコーポレーション,2018,Q4,23.23673417211912
アイチコーポレーション,2019,Q1,11.96720283083908
アイチコーポレーション,2019,Q2,18.003745963433232
アイチコーポレーション,2019,Q3,19.90099184802451
アイチコーポレーション,2019,Q4,24.4629829215287
アイチコーポレーション,2020,Q1,15.373832205523945
アイチコーポレーション,2020,Q2,16.190351200331513
アイチコーポレーション,2020,Q3,16.451479288910484
アイチコーポレーション,2020,Q4,20.800558523903913
アイティフォー,2018,Q1,7.343153866672817
アイティフォー,2018,Q2,6.597639172742677
アイティフォー,2018,Q3,6.282126599242481
アイティフォー,2018,Q4,20.179731773036163
アイティフォー,2019,Q1,7.215790229084929
アイティフォー,2019,Q2,7.620898125530408
アイティフォー,2019,Q3,9.17142914184743
アイティフォー,2019,Q4,18.80378838874502
アイティフォー,2020,Q1,8.611356128762655
アイティフォー,2020,Q2,10.75003720688934
アイティフォー,2020,Q3,8.894578061956613
アイティフォー,2020,Q4,20.26311243756506
アイティメディア,2018,Q1,4.013457012543917
アイティメディア,2018,Q2,6.220486384121614
アイティメディア,2018,Q3,7.33068294138305
アイティメディア,2018,Q4,6.277062435438014
アイティメディア,2019,Q1,2.640074972299517
アイティメディア,2019,Q2,6.926631645713155
アイティメディア,2019,Q3,7.036044474817052
アイティメディア,2019,Q4,9.479990825673674
アイティメディア,2020,Q1,9.66868406528064
アイティメディア,2020,Q2,9.917388928182458
アイティメディア,2020,Q3,16.04180115763516
アイティメディア,2020,Q4,13.972430130916996
アイネス,2018,Q1,2.309344374160542
アイネス,2018,Q2,9.509294022995254
アイネス,2018,Q3,5.258903027066569
アイネス,2018,Q4,30.035435312690208
アイネス,2019,Q1,2.3670044457375226
アイネス,2019,Q2,15.740180814388745
アイネス,2019,Q3,21.876854751869224
アイネス,2019,Q4,-32.95883871790857
アイネス,2020,Q1,26.66366031245537
アイネス,2020,Q2,-38.05765049820563
アイネス,2020,Q3,90.7240130831227
アイネス,2020,Q4,23.295982393248437
アイネット,2018,Q1,13.283930238921027
アイネット,2018,Q2,25.10517564353254
アイネット,2018,Q3,24.373455831198797
アイネット,2018,Q4,27.20036632283393
アイネット,2019,Q1,16.607506912298987
アイネット,2019,Q2,30.297104307903048
アイネット,2019,Q3,25.814834552527326
アイネット,2019,Q4,29.18644379892761
アイネット,2020,Q1,21.928032394599704
アイネット,2020,Q2,18.41663273760646
アイネット,2020,Q3,21.332524671930138
アイネット,2020,Q4,24.391305617915513
アイホン,2018,Q1,3.4574163621041736
アイホン,2018,Q2,37.80760156810001
アイホン,2018,Q3,20.05241247385617
アイホン,2018,Q4,33.38881009333234
アイホン,2019,Q1,22.675278137325495
アイホン,2019,Q2,46.59134206185845
アイホン,2019,Q3,40.01780038973772
アイホン,2019,Q4,54.3857519714389
アイホン,2020,Q1,13.827659891321101
アイホン,2020,Q2,45.954224832337495
アイホン,2020,Q3,27.484078132820635
アイホン,2020,Q4,37.4591320806446
アイロムグループ,2018,Q1,81.67020512891396
アイロムグループ,2018,Q2,-22.166767372797615
アイロムグループ,2018,Q3,28.124474753323845
アイロムグループ,2018,Q4,29.499567502461662
