,決算期,決算発表日,決算月数,売上高・営業収益,売上総利益,営業利益,経常利益／税金等調整前当期純利益,当期純利益（連結）,１株当たり利益,販売費及び一般管理費,棚卸資産,資本的支出,期末従業員数,受取手形・売掛金／売掛金及びその他の短期債権
19,2007-03-01,2007-05-09,12.0,6329618.0,1513232.0,570469.0,600440.0,,137.51999999999998,942763.0,1803956.0,2690195.0,299394.0,2048601.0
20,2007-06-01,2007-08-03,3.0,6522637.0,1531545.0,675427.0,739040.0,,153.98,856118.0,1932847.0,2056907.0,304595.5,1900258.0
21,2007-09-01,2007-11-07,6.0,6489572.0,1473970.0,596737.0,623238.0,,141.52,877233.0,1917129.0,1423619.0,309797.0,1909748.0
22,2007-12-01,2008-02-05,9.0,6709983.0,1528401.0,601558.0,652688.0,,144.48000000000002,926843.0,2014097.0,2129140.5,312959.0,1849447.0
23,2008-03-01,2008-05-08,12.0,6567048.0,1302986.0,396653.0,422256.0,,100.66999999999996,-161682.0,1825716.0,2834662.0,316121.0,2057704.0
24,2008-06-01,2008-08-07,3.0,6215130.0,1225363.0,412591.0,453054.0,,112.3,628456.0,2065832.0,709284.0,323650.0,1873294.0
25,2008-09-01,2008-11-06,6.0,5975275.0,1061209.0,169477.0,183433.0,,44.61999999999999,644681.0,1961300.0,1338814.0,324537.0,1716413.0
26,2008-12-01,2009-02-06,9.0,4802843.0,647828.0,-360551.0,-282139.0,,-52.25999999999999,655830.0,1858850.0,1831806.0,322045.0,1490876.0
27,2009-03-01,2009-05-08,12.0,3536322.0,126754.0,-682528.0,-914729.0,,-243.79,605814.0,1459394.0,2324897.0,320808.0,1407783.0
28,2009-06-01,2009-08-04,3.0,3836077.0,467217.0,-194863.0,-138508.0,,-24.82,478125.0,1483992.0,388562.0,324222.0,1405885.0
29,2009-09-01,2009-11-05,6.0,4541566.0,698032.0,58004.0,75533.0,,6.969999999999999,459453.0,1460746.0,758752.0,322650.0,1482453.0
30,2009-12-01,2010-02-04,9.0,5292890.0,902359.0,189109.0,224887.0,,48.86,542876.0,1416601.0,1383167.0,321274.0,1631793.0
31,2010-03-01,2010-05-11,12.0,5280440.0,911869.0,95266.0,129556.0,,35.78,639206.0,1422373.0,1775055.0,320590.0,1900008.0
32,2010-06-01,2010-08-04,3.0,4871825.0,899417.0,211663.0,263004.0,210582.0,60.74,518082.0,1412370.0,618199.0,319910.0,1549333.0
33,2010-09-01,2010-11-05,6.0,4806667.0,685481.0,111457.0,129069.0,115458.0,31.46999999999999,403639.0,1379433.0,893723.0,318001.0,1585350.0
34,2010-12-01,2011-02-08,9.0,4673113.0,718442.0,99070.0,129668.0,110876.0,29.85000000000001,479076.0,1373625.0,1256704.0,317734.0,1444942.0
35,2011-03-01,2011-05-11,12.0,4642083.0,704565.0,46089.0,41549.0,28569.0,8.109999999999985,509286.0,1304242.0,1691191.0,317716.0,1461007.0
36,2011-06-01,2011-08-02,3.0,3441050.0,465719.0,-107963.0,-80531.0,2859.0,0.37,412146.0,1383782.0,369928.0,322046.0,1388872.0
