,,,,,,決算期,決算月数,本決算・中間決算フラグ,実績・予想フラグ,連結基準フラグ,データ更新日,売上高,営業利益,経常利益,当期利益,一株利益,一株利益（自己株除く）
,,,,,,EARNING'ACC,EARNING'MACC,EARNING'HACC,EARNING'RPFLG,EARNING'CFLAG,EARNING'FLUPDATE,EARNING'ITEM02,EARNING'ITEM03,EARNING'ITEM04,EARNING'ITEM05,EARNING'ITEM06,EARNING'ITEM43
,,,,,,年月,ヶ月,,,,年月日,百万円,百万円,百万円,百万円,円,円
月次(M),1998/12,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1998/12,トヨタ自動車,T7203,,,1998/12,,2,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1999/01,トヨタ自動車,T7203,,,1999/01,,2,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#001,#001,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#002,#002,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#003,#003,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#004,#004,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#005,#005,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#010,#010,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,#999,#999,,,,,,,,,,,,
月次(M),1999/02,トヨタ自動車,T7203,,,1999/02,,2,,,,,,,,,
月次(M),1999/03,トヨタ自動車,T7203,#001,#001,1999/03,12,1,2,1,1998/05/20,11100000,-,700000,400000,105.18,-
月次(M),1999/03,トヨタ自動車,T7203,#002,#002,1999/03,12,1,2,1,1998/08/07,11100000,-,700000,400000,105.18,-
月次(M),1999/03,トヨタ自動車,T7203,#003,#003,1999/03,12,1,2,1,1998/09/14,11100000,-,760000,430000,113.25,-
月次(M),1999/03,トヨタ自動車,T7203,#004,#004,1999/03,12,1,2,1,1998/11/20,12460000,-,700000,351000,92.58,-
月次(M),1999/03,トヨタ自動車,T7203,#005,#005,1999/03,12,1,2,1,1999/03/16,12500000,-,720000,350000,92.84,-
月次(M),1999/03,トヨタ自動車,T7203,#006,#006,,,,,,,,,,,,
月次(M),1999/03,トヨタ自動車,T7203,#007,#007,,,,,,,,,,,,
月次(M),1999/03,トヨタ自動車,T7203,#008,#008,,,,,,,,,,,,
月次(M),1999/03,トヨタ自動車,T7203,#009,#009,,,,,,,,,,,,
