Firm,U-RW,U-SRW,U-ARIMA-F,U-ARIMA-G,U-ARIMA-BR,M-OLS1,M-OLS2,M-OLS3,U-RIDGE,U-LASSO,U-EN,U-RF,U-NN,M-RIDGE,M-LASSO,M-EN,M-RF,M-NN,IBES
グローセル,66.7,75.0,75.0,58.3,83.3,58.3,58.3,100.0,66.7,66.7,66.7,58.3,75.0,66.7,75.0,58.3,41.7,75.0,-
グローブライド,33.3,33.3,25.0,33.3,16.7,50.0,41.7,50.0,33.3,33.3,33.3,25.0,33.3,33.3,33.3,41.7,41.7,25.0,-
グローリー,33.3,25.0,16.7,16.7,16.7,33.3,16.7,75.0,16.7,16.7,16.7,16.7,33.3,16.7,16.7,16.7,25.0,33.3,-
グンゼ,58.3,33.3,41.7,41.7,58.3,41.7,58.3,100.0,50.0,33.3,33.3,41.7,58.3,50.0,41.7,50.0,41.7,50.0,-
ケンコーマヨネーズ,25.0,25.0,16.7,16.7,8.3,8.3,8.3,66.7,16.7,16.7,16.7,16.7,16.7,25.0,25.0,25.0,8.3,33.3,-
ケーズホールディングス,8.3,33.3,33.3,25.0,33.3,41.7,41.7,50.0,41.7,41.7,41.7,50.0,41.7,16.7,16.7,16.7,41.7,41.7,25.0
ケーユーホールディングス,8.3,8.3,8.3,8.3,8.3,16.7,16.7,25.0,8.3,8.3,8.3,8.3,16.7,0.0,8.3,8.3,8.3,8.3,-
ゲオホールディングス,41.7,41.7,41.7,91.7,91.7,75.0,91.7,83.3,91.7,91.7,91.7,33.3,100.0,33.3,66.7,66.7,33.3,58.3,-
コア,25.0,0.0,0.0,0.0,0.0,8.3,0.0,33.3,0.0,0.0,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,-
ココカラファイン,25.0,25.0,16.7,16.7,16.7,16.7,25.0,58.3,8.3,8.3,8.3,8.3,8.3,50.0,33.3,33.3,8.3,8.3,-
コニカミノルタ,41.7,50.0,50.0,50.0,41.7,58.3,50.0,75.0,58.3,58.3,50.0,58.3,50.0,58.3,58.3,58.3,50.0,58.3,-
コニシ,8.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,-
コネクシオ,0.0,0.0,0.0,0.0,0.0,0.0,16.7,16.7,8.3,8.3,8.3,0.0,58.3,0.0,0.0,0.0,0.0,16.7,-
コマツ,8.3,25.0,8.3,8.3,8.3,0.0,8.3,33.3,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,8.3,16.7,16.7
コムシスホールディングス,25.0,0.0,0.0,8.3,8.3,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
コムチュア,8.3,25.0,25.0,66.7,75.0,58.3,91.7,41.7,33.3,33.3,33.3,25.0,91.7,0.0,8.3,8.3,16.7,58.3,-
コメリ,33.3,16.7,16.7,8.3,8.3,16.7,16.7,41.7,16.7,16.7,16.7,16.7,16.7,33.3,16.7,16.7,16.7,16.7,-
コロナ,75.0,8.3,8.3,0.0,0.0,16.7,16.7,41.7,8.3,8.3,8.3,0.0,8.3,0.0,0.0,0.0,0.0,25.0,-
コロワイド,83.3,33.3,25.0,41.7,33.3,50.0,50.0,91.7,41.7,41.7,41.7,41.7,33.3,66.7,58.3,58.3,58.3,50.0,-
コンドーテック,8.3,8.3,8.3,8.3,8.3,8.3,8.3,25.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,16.7,-
コーセー,16.7,25.0,16.7,25.0,16.7,25.0,33.3,58.3,33.3,25.0,25.0,33.3,0.0,0.0,0.0,0.0,33.3,33.3,-
ゴールドウイン,41.7,33.3,33.3,41.7,33.3,41.7,50.0,91.7,41.7,25.0,25.0,25.0,25.0,16.7,25.0,16.7,33.3,33.3,-
ゴールドクレスト,50.0,33.3,25.0,58.3,41.7,58.3,41.7,83.3,41.7,41.7,41.7,41.7,50.0,33.3,8.3,8.3,8.3,58.3,-
サイネックス,66.7,41.7,41.7,33.3,33.3,33.3,50.0,83.3,41.7,41.7,41.7,25.0,41.7,50.0,41.7,41.7,50.0,33.3,-
サカイオーベックス,16.7,8.3,0.0,8.3,8.3,8.3,16.7,91.7,25.0,8.3,16.7,25.0,8.3,0.0,8.3,8.3,16.7,8.3,-
サカイ引越センター,25.0,0.0,0.0,0.0,0.0,0.0,8.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
サックスバー　ホールディングス,16.7,41.7,16.7,16.7,25.0,33.3,16.7,50.0,16.7,25.0,25.0,16.7,16.7,0.0,0.0,0.0,25.0,41.7,-
サトーホールディングス,25.0,25.0,25.0,25.0,25.0,50.0,25.0,66.7,41.7,16.7,16.7,16.7,25.0,33.3,16.7,8.3,25.0,16.7,-
サニックス,33.3,41.7,50.0,58.3,41.7,66.7,75.0,83.3,33.3,50.0,33.3,33.3,75.0,25.0,41.7,41.7,41.7,66.7,-
