Firm,U-RW,U-SRW,U-ARIMA-F,U-ARIMA-G,U-ARIMA-BR,M-OLS1,M-OLS2,M-OLS3,U-RIDGE,U-LASSO,U-EN,U-RF,U-NN,M-RIDGE,M-LASSO,M-EN,M-RF,M-NN,IBES
住友金属鉱山,41.7,41.7,25.0,25.0,16.7,41.7,50.0,66.7,25.0,16.7,16.7,25.0,25.0,50.0,41.7,25.0,25.0,25.0,-
住友電気工業,41.7,25.0,25.0,25.0,25.0,25.0,25.0,58.3,25.0,25.0,25.0,25.0,25.0,25.0,16.7,16.7,25.0,25.0,-
住友電設,25.0,16.7,16.7,8.3,16.7,8.3,8.3,58.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,-
佐田建設,50.0,33.3,33.3,33.3,41.7,50.0,66.7,100.0,33.3,25.0,25.0,50.0,33.3,25.0,25.0,25.0,41.7,33.3,-
信越ポリマー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
信越化学工業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
元気寿司,41.7,50.0,50.0,58.3,50.0,58.3,41.7,83.3,33.3,33.3,33.3,33.3,33.3,66.7,41.7,41.7,33.3,58.3,-
光通信,0.0,8.3,8.3,0.0,0.0,8.3,0.0,33.3,8.3,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,-
八洲電機,75.0,50.0,50.0,33.3,50.0,41.7,50.0,75.0,33.3,50.0,50.0,41.7,50.0,41.7,50.0,50.0,25.0,41.7,-
共同印刷,33.3,16.7,25.0,25.0,25.0,41.7,58.3,100.0,25.0,16.7,16.7,25.0,33.3,50.0,25.0,25.0,33.3,25.0,-
共和レザー,41.7,33.3,33.3,25.0,16.7,25.0,58.3,75.0,25.0,8.3,8.3,25.0,41.7,25.0,16.7,8.3,33.3,33.3,-
共栄タンカー,50.0,66.7,75.0,58.3,75.0,66.7,83.3,91.7,75.0,25.0,25.0,66.7,58.3,75.0,58.3,58.3,66.7,66.7,-
共立メンテナンス,33.3,33.3,25.0,33.3,33.3,33.3,25.0,58.3,33.3,33.3,33.3,33.3,41.7,8.3,8.3,8.3,25.0,25.0,-
共立印刷,41.7,50.0,58.3,33.3,58.3,50.0,58.3,83.3,58.3,50.0,58.3,50.0,41.7,25.0,25.0,25.0,41.7,83.3,-
共英製鋼,25.0,33.3,25.0,16.7,16.7,25.0,16.7,66.7,16.7,8.3,8.3,16.7,16.7,16.7,50.0,50.0,16.7,16.7,-
兼松エレクトロニクス,50.0,0.0,0.0,8.3,0.0,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
兼松サステック,0.0,0.0,0.0,0.0,0.0,16.7,25.0,100.0,0.0,0.0,0.0,0.0,25.0,8.3,0.0,0.0,0.0,0.0,-
出光興産,50.0,58.3,50.0,58.3,50.0,25.0,41.7,91.7,41.7,41.7,41.7,50.0,50.0,50.0,33.3,33.3,25.0,33.3,-
前沢化成工業,16.7,16.7,33.3,16.7,8.3,16.7,25.0,83.3,8.3,8.3,8.3,8.3,16.7,8.3,8.3,8.3,8.3,0.0,-
前沢給装工業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
前田建設工業,16.7,25.0,25.0,16.7,25.0,16.7,25.0,58.3,8.3,8.3,8.3,8.3,16.7,16.7,8.3,8.3,8.3,33.3,-
前田道路,16.7,8.3,8.3,0.0,8.3,0.0,8.3,58.3,8.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
加藤製作所,33.3,58.3,58.3,41.7,75.0,66.7,75.0,100.0,75.0,75.0,75.0,75.0,75.0,33.3,41.7,41.7,58.3,50.0,-
加賀電子,25.0,16.7,25.0,16.7,25.0,25.0,25.0,58.3,16.7,8.3,8.3,8.3,16.7,50.0,8.3,8.3,8.3,8.3,-
北川鉄工所,33.3,41.7,50.0,41.7,33.3,41.7,41.7,91.7,41.7,25.0,16.7,33.3,33.3,25.0,25.0,25.0,33.3,33.3,-
北沢産業,66.7,50.0,58.3,58.3,58.3,66.7,50.0,83.3,50.0,50.0,50.0,50.0,41.7,50.0,50.0,50.0,41.7,50.0,-
北海道ガス,83.3,25.0,33.3,25.0,33.3,41.7,50.0,75.0,33.3,41.7,33.3,33.3,41.7,50.0,16.7,25.0,41.7,41.7,-
北越コーポレーション,66.7,41.7,41.7,41.7,50.0,41.7,41.7,58.3,41.7,41.7,33.3,33.3,25.0,50.0,41.7,41.7,33.3,41.7,-
北越工業,8.3,16.7,16.7,16.7,16.7,16.7,25.0,8.3,16.7,16.7,16.7,16.7,16.7,16.7,0.0,8.3,16.7,8.3,-
北野建設,25.0,16.7,33.3,33.3,25.0,66.7,33.3,75.0,33.3,8.3,8.3,25.0,16.7,33.3,33.3,33.3,16.7,25.0,-
北陸電気工事,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
北陸電気工業,58.3,50.0,33.3,33.3,25.0,41.7,58.3,83.3,41.7,25.0,25.0,33.3,50.0,66.7,25.0,41.7,33.3,41.7,-
協和エクシオ,25.0,16.7,16.7,25.0,8.3,33.3,33.3,58.3,25.0,0.0,0.0,33.3,16.7,58.3,16.7,16.7,25.0,33.3,-
南海電気鉄道,66.7,41.7,50.0,50.0,41.7,50.0,75.0,100.0,66.7,33.3,33.3,50.0,41.7,58.3,33.3,33.3,25.0,41.7,-
南陽,8.3,0.0,0.0,8.3,0.0,16.7,0.0,41.7,8.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
博報堂ＤＹホールディングス,33.3,25.0,25.0,33.3,33.3,25.0,33.3,58.3,25.0,25.0,25.0,25.0,33.3,25.0,33.3,41.7,25.0,33.3,-
原田工業,50.0,58.3,75.0,66.7,66.7,66.7,66.7,66.7,58.3,58.3,58.3,50.0,66.7,41.7,33.3,33.3,58.3,58.3,-
参天製薬,16.7,16.7,16.7,8.3,16.7,16.7,25.0,58.3,16.7,16.7,16.7,25.0,33.3,8.3,8.3,8.3,16.7,16.7,8.3
双信電機,41.7,100.0,66.7,66.7,50.0,58.3,66.7,75.0,50.0,58.3,58.3,58.3,66.7,75.0,58.3,41.7,41.7,75.0,-
双葉電子工業,41.7,75.0,83.3,50.0,33.3,58.3,50.0,91.7,33.3,25.0,16.7,50.0,33.3,83.3,16.7,33.3,41.7,50.0,-
古河機械金属,25.0,33.3,16.7,25.0,16.7,33.3,33.3,83.3,25.0,8.3,8.3,8.3,16.7,83.3,58.3,58.3,8.3,8.3,-
古河電気工業,50.0,50.0,50.0,50.0,41.7,58.3,66.7,91.7,41.7,25.0,25.0,41.7,41.7,25.0,25.0,33.3,33.3,33.3,-
古河電池,25.0,8.3,8.3,16.7,8.3,16.7,25.0,50.0,0.0,0.0,0.0,16.7,25.0,8.3,8.3,8.3,16.7,16.7,-
合同製鉄,16.7,25.0,25.0,25.0,8.3,50.0,58.3,83.3,25.0,8.3,8.3,25.0,25.0,50.0,25.0,41.7,25.0,25.0,-
名古屋鉄道,33.3,33.3,33.3,25.0,33.3,33.3,41.7,91.7,41.7,25.0,25.0,33.3,41.7,16.7,25.0,16.7,33.3,25.0,-
名村造船所,33.3,58.3,58.3,33.3,41.7,41.7,50.0,83.3,33.3,41.7,41.7,41.7,50.0,41.7,16.7,16.7,8.3,25.0,-
名糖産業,83.3,50.0,33.3,41.7,41.7,33.3,41.7,75.0,25.0,33.3,41.7,25.0,41.7,50.0,41.7,41.7,50.0,50.0,-
味の素,58.3,41.7,41.7,41.7,41.7,41.7,50.0,83.3,33.3,33.3,33.3,33.3,41.7,41.7,33.3,33.3,33.3,41.7,-
品川リフラクトリーズ,25.0,16.7,16.7,33.3,25.0,33.3,50.0,100.0,25.0,25.0,25.0,16.7,8.3,16.7,25.0,25.0,16.7,25.0,-
商船三井,41.7,50.0,50.0,33.3,33.3,66.7,91.7,75.0,83.3,91.7,91.7,66.7,75.0,58.3,58.3,58.3,58.3,41.7,-
四国化成工業,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,-
四電工,50.0,25.0,33.3,25.0,25.0,41.7,66.7,75.0,33.3,8.3,8.3,25.0,8.3,33.3,16.7,16.7,25.0,25.0,-
因幡電機産業,8.3,16.7,8.3,25.0,0.0,8.3,16.7,50.0,8.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,16.7,-
図研,33.3,8.3,8.3,16.7,16.7,16.7,16.7,58.3,16.7,16.7,8.3,33.3,16.7,0.0,0.0,0.0,25.0,8.3,-
堺化学工業,16.7,25.0,33.3,25.0,25.0,16.7,41.7,91.7,33.3,16.7,16.7,25.0,33.3,66.7,25.0,16.7,25.0,25.0,-
塩水港精糖,58.3,25.0,16.7,16.7,8.3,8.3,41.7,75.0,33.3,33.3,33.3,25.0,25.0,75.0,33.3,33.3,33.3,50.0,-
大同特殊鋼,41.7,41.7,41.7,41.7,41.7,50.0,75.0,91.7,33.3,25.0,25.0,41.7,41.7,66.7,33.3,25.0,16.7,33.3,33.3
大和ハウス工業,0.0,0.0,0.0,8.3,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
大和工業,33.3,25.0,33.3,33.3,16.7,41.7,25.0,50.0,16.7,16.7,16.7,16.7,16.7,33.3,16.7,16.7,25.0,16.7,-
大崎電気工業,25.0,50.0,50.0,41.7,25.0,33.3,41.7,83.3,33.3,25.0,25.0,58.3,58.3,83.3,41.7,16.7,25.0,41.7,-
大平洋金属,75.0,50.0,50.0,33.3,50.0,58.3,66.7,100.0,58.3,66.7,66.7,58.3,50.0,58.3,16.7,16.7,33.3,58.3,-
大建工業,16.7,8.3,16.7,8.3,8.3,33.3,16.7,66.7,8.3,0.0,0.0,16.7,16.7,41.7,16.7,16.7,8.3,16.7,-
大成ラミック,8.3,16.7,16.7,33.3,16.7,41.7,41.7,58.3,16.7,16.7,16.7,16.7,41.7,66.7,16.7,16.7,41.7,16.7,-
大成建設,25.0,0.0,8.3,8.3,8.3,41.7,41.7,100.0,33.3,8.3,8.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,-
大日本住友製薬,25.0,25.0,25.0,25.0,16.7,25.0,25.0,50.0,16.7,16.7,16.7,16.7,16.7,25.0,16.7,16.7,16.7,25.0,-
大日本印刷,58.3,58.3,66.7,41.7,41.7,66.7,66.7,100.0,75.0,25.0,25.0,33.3,33.3,91.7,50.0,50.0,50.0,66.7,-
大日本塗料,8.3,16.7,16.7,16.7,16.7,33.3,25.0,66.7,16.7,8.3,8.3,16.7,16.7,25.0,16.7,16.7,16.7,16.7,-
大日精化工業,33.3,25.0,33.3,16.7,25.0,50.0,66.7,91.7,33.3,25.0,25.0,16.7,16.7,50.0,16.7,16.7,25.0,16.7,-
大末建設,0.0,8.3,8.3,0.0,8.3,0.0,25.0,58.3,0.0,0.0,0.0,8.3,8.3,0.0,0.0,0.0,0.0,0.0,-
大林組,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
大気社,25.0,33.3,33.3,16.7,16.7,8.3,16.7,58.3,16.7,8.3,8.3,8.3,8.3,25.0,16.7,16.7,16.7,8.3,-
大王製紙,25.0,33.3,33.3,33.3,16.7,8.3,33.3,66.7,8.3,8.3,8.3,25.0,25.0,41.7,8.3,8.3,16.7,41.7,-
大真空,58.3,66.7,58.3,58.3,83.3,50.0,50.0,100.0,50.0,58.3,58.3,75.0,33.3,75.0,58.3,41.7,41.7,58.3,-
大紀アルミニウム工業所,8.3,8.3,8.3,8.3,8.3,8.3,8.3,25.0,8.3,0.0,8.3,8.3,8.3,0.0,0.0,0.0,8.3,8.3,-
大阪ガス,33.3,41.7,41.7,33.3,50.0,33.3,33.3,83.3,41.7,25.0,16.7,25.0,16.7,33.3,25.0,25.0,33.3,41.7,33.3
大阪ソーダ,0.0,0.0,0.0,0.0,0.0,8.3,16.7,83.3,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,-
大阪製鉄,41.7,33.3,33.3,33.3,41.7,66.7,33.3,83.3,33.3,33.3,33.3,41.7,41.7,50.0,83.3,83.3,25.0,41.7,-
太平洋セメント,8.3,0.0,0.0,8.3,0.0,16.7,33.3,83.3,25.0,8.3,8.3,8.3,8.3,8.3,8.3,0.0,8.3,16.7,-
太平洋工業,16.7,8.3,8.3,16.7,16.7,16.7,25.0,75.0,8.3,8.3,8.3,8.3,8.3,0.0,0.0,0.0,8.3,8.3,0.0
太平洋興発,50.0,50.0,41.7,50.0,50.0,75.0,50.0,100.0,41.7,33.3,33.3,33.3,41.7,50.0,33.3,58.3,33.3,50.0,-
太平電業,33.3,16.7,25.0,16.7,25.0,25.0,33.3,66.7,16.7,8.3,8.3,8.3,8.3,0.0,16.7,16.7,25.0,8.3,-
太陽ホールディングス,41.7,8.3,8.3,16.7,16.7,16.7,16.7,41.7,16.7,25.0,25.0,25.0,16.7,25.0,58.3,58.3,16.7,16.7,-
太陽誘電,25.0,16.7,16.7,16.7,16.7,16.7,0.0,41.7,8.3,8.3,8.3,16.7,16.7,8.3,8.3,8.3,8.3,8.3,8.3
奥村組,8.3,8.3,8.3,25.0,16.7,41.7,25.0,100.0,25.0,16.7,0.0,25.0,8.3,0.0,0.0,0.0,8.3,8.3,-
宇徳,33.3,25.0,25.0,33.3,25.0,16.7,33.3,83.3,25.0,25.0,25.0,25.0,25.0,16.7,16.7,25.0,25.0,25.0,-
宇部興産,25.0,25.0,33.3,25.0,25.0,33.3,50.0,83.3,25.0,8.3,8.3,16.7,41.7,50.0,33.3,33.3,16.7,16.7,-
安永,58.3,75.0,66.7,41.7,58.3,66.7,50.0,75.0,50.0,58.3,41.7,50.0,50.0,41.7,25.0,25.0,25.0,58.3,-
宝ホールディングス,25.0,8.3,8.3,0.0,8.3,0.0,8.3,58.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,-
宮地エンジニアリンググループ,25.0,16.7,33.3,33.3,33.3,16.7,41.7,91.7,33.3,0.0,0.0,8.3,8.3,58.3,25.0,25.0,8.3,8.3,-
富士フイルムホールディングス,16.7,8.3,16.7,16.7,16.7,8.3,16.7,58.3,16.7,8.3,8.3,16.7,8.3,25.0,8.3,8.3,16.7,8.3,8.3
富士急行,50.0,33.3,41.7,50.0,41.7,41.7,66.7,75.0,41.7,50.0,50.0,41.7,58.3,33.3,25.0,33.3,25.0,58.3,-
富士石油,66.7,83.3,83.3,58.3,58.3,66.7,50.0,100.0,50.0,66.7,66.7,41.7,66.7,25.0,33.3,16.7,16.7,41.7,-
富士紡ホールディングス,16.7,8.3,8.3,8.3,8.3,8.3,25.0,75.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,-
富士興産,33.3,41.7,50.0,58.3,25.0,41.7,16.7,100.0,25.0,16.7,16.7,41.7,50.0,41.7,16.7,25.0,41.7,91.7,-
富士通,41.7,25.0,41.7,50.0,41.7,41.7,75.0,58.3,58.3,25.0,25.0,25.0,41.7,41.7,25.0,33.3,25.0,33.3,25.0
富士通ゼネラル,58.3,25.0,25.0,33.3,25.0,41.7,41.7,75.0,25.0,16.7,16.7,33.3,58.3,8.3,8.3,16.7,33.3,33.3,-
富士電機,41.7,16.7,33.3,33.3,25.0,50.0,41.7,58.3,33.3,25.0,25.0,33.3,8.3,58.3,41.7,33.3,50.0,25.0,-
寿スピリッツ,41.7,33.3,25.0,33.3,25.0,33.3,33.3,41.7,33.3,33.3,33.3,41.7,33.3,16.7,16.7,16.7,33.3,33.3,-
小松マテーレ,33.3,16.7,16.7,16.7,16.7,33.3,33.3,41.7,25.0,25.0,25.0,16.7,16.7,25.0,16.7,25.0,25.0,25.0,-
小森コーポレーション,58.3,41.7,41.7,66.7,50.0,75.0,66.7,91.7,75.0,75.0,75.0,75.0,66.7,75.0,58.3,58.3,33.3,83.3,-
小田急電鉄,41.7,41.7,41.7,41.7,41.7,33.3,16.7,50.0,33.3,33.3,33.3,33.3,25.0,16.7,0.0,16.7,33.3,33.3,-
小糸製作所,25.0,8.3,8.3,8.3,16.7,16.7,8.3,58.3,8.3,8.3,8.3,8.3,8.3,25.0,8.3,8.3,8.3,8.3,-
小野建,16.7,0.0,0.0,8.3,0.0,0.0,8.3,41.7,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,-
小野薬品工業,16.7,0.0,0.0,0.0,0.0,0.0,8.3,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
尾家産業,41.7,33.3,50.0,33.3,41.7,33.3,41.7,41.7,41.7,41.7,41.7,41.7,33.3,33.3,16.7,25.0,41.7,50.0,-
山一電機,16.7,25.0,25.0,25.0,25.0,33.3,16.7,50.0,16.7,8.3,8.3,16.7,8.3,8.3,8.3,16.7,8.3,8.3,-
山九,0.0,0.0,0.0,0.0,0.0,8.3,16.7,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
山善,8.3,0.0,0.0,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.3,8.3,8.3,0.0,0.0,8.3,8.3,-
山洋電気,41.7,33.3,50.0,58.3,50.0,50.0,75.0,91.7,33.3,33.3,25.0,41.7,41.7,58.3,8.3,8.3,33.3,41.7,-
山田コンサルティンググループ,41.7,50.0,66.7,100.0,100.0,91.7,91.7,83.3,100.0,100.0,100.0,66.7,91.7,91.7,83.3,75.0,75.0,75.0,-
山陽特殊製鋼,33.3,41.7,33.3,41.7,41.7,58.3,50.0,83.3,33.3,25.0,25.0,41.7,33.3,50.0,50.0,50.0,41.7,58.3,-
山陽電気鉄道,41.7,16.7,16.7,33.3,25.0,33.3,41.7,91.7,33.3,16.7,16.7,25.0,58.3,16.7,16.7,16.7,25.0,33.3,-
岩崎電気,50.0,16.7,25.0,25.0,16.7,41.7,66.7,83.3,41.7,25.0,16.7,16.7,16.7,25.0,33.3,33.3,16.7,33.3,-
岩谷産業,8.3,0.0,8.3,16.7,8.3,8.3,41.7,83.3,16.7,8.3,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
島津製作所,25.0,0.0,0.0,0.0,0.0,8.3,0.0,58.3,0.0,0.0,0.0,8.3,0.0,8.3,0.0,0.0,0.0,0.0,-
島精機製作所,25.0,50.0,50.0,41.7,41.7,50.0,41.7,75.0,50.0,75.0,66.7,50.0,25.0,58.3,50.0,41.7,25.0,66.7,-
川崎汽船,50.0,75.0,75.0,58.3,58.3,66.7,58.3,83.3,58.3,66.7,58.3,66.7,50.0,50.0,66.7,66.7,58.3,66.7,-
川崎重工業,66.7,41.7,50.0,50.0,50.0,41.7,58.3,58.3,66.7,41.7,41.7,66.7,50.0,33.3,16.7,33.3,50.0,33.3,-
巴コーポレーション,33.3,33.3,33.3,41.7,33.3,33.3,33.3,58.3,33.3,16.7,16.7,33.3,33.3,25.0,16.7,16.7,8.3,33.3,-
帝人,33.3,8.3,8.3,33.3,25.0,16.7,25.0,75.0,25.0,16.7,16.7,25.0,25.0,16.7,16.7,16.7,25.0,25.0,-
帝国通信工業,41.7,58.3,50.0,41.7,33.3,66.7,50.0,91.7,33.3,25.0,25.0,25.0,33.3,66.7,25.0,25.0,33.3,50.0,-
常磐興産,58.3,33.3,25.0,33.3,16.7,66.7,41.7,83.3,25.0,50.0,50.0,33.3,50.0,16.7,16.7,16.7,25.0,25.0,-
平河ヒューテック,25.0,16.7,16.7,16.7,8.3,25.0,25.0,25.0,16.7,16.7,16.7,16.7,41.7,33.3,8.3,25.0,8.3,8.3,-
平田機工,8.3,33.3,16.7,16.7,16.7,25.0,25.0,66.7,0.0,0.0,0.0,25.0,25.0,16.7,0.0,0.0,25.0,33.3,-
愛三工業,33.3,50.0,41.7,41.7,16.7,25.0,50.0,75.0,16.7,16.7,16.7,33.3,41.7,50.0,41.7,33.3,33.3,25.0,-
愛眼,66.7,33.3,33.3,66.7,75.0,83.3,66.7,100.0,66.7,66.7,66.7,75.0,58.3,58.3,58.3,58.3,50.0,83.3,-
愛知時計電機,33.3,8.3,8.3,8.3,8.3,0.0,25.0,83.3,8.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
愛知製鋼,16.7,16.7,16.7,16.7,16.7,25.0,25.0,83.3,25.0,16.7,16.7,8.3,16.7,8.3,0.0,0.0,16.7,16.7,-
戸田工業,75.0,25.0,33.3,50.0,25.0,91.7,66.7,83.3,58.3,41.7,41.7,58.3,58.3,58.3,41.7,41.7,41.7,50.0,-
戸田建設,16.7,8.3,16.7,16.7,8.3,33.3,25.0,83.3,8.3,8.3,8.3,16.7,16.7,25.0,8.3,8.3,16.7,25.0,-
扶桑化学工業,0.0,0.0,0.0,0.0,0.0,8.3,8.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
扶桑薬品工業,41.7,16.7,25.0,41.7,41.7,41.7,50.0,75.0,41.7,41.7,41.7,41.7,41.7,50.0,33.3,25.0,33.3,25.0,-
持田製薬,66.7,25.0,25.0,33.3,25.0,41.7,50.0,91.7,33.3,41.7,41.7,41.7,41.7,33.3,16.7,16.7,25.0,33.3,-
文化シヤッター,41.7,16.7,25.0,33.3,0.0,8.3,25.0,58.3,25.0,25.0,25.0,33.3,16.7,8.3,16.7,16.7,25.0,33.3,-
新京成電鉄,25.0,41.7,33.3,33.3,25.0,41.7,33.3,58.3,25.0,33.3,16.7,41.7,41.7,8.3,16.7,8.3,33.3,41.7,-
新光商事,33.3,25.0,25.0,33.3,41.7,33.3,50.0,91.7,41.7,50.0,41.7,50.0,41.7,33.3,25.0,8.3,41.7,33.3,-
新光電気工業,33.3,58.3,41.7,41.7,33.3,25.0,33.3,66.7,33.3,33.3,33.3,41.7,50.0,8.3,8.3,0.0,33.3,33.3,33.3
新家工業,25.0,33.3,33.3,50.0,25.0,33.3,50.0,91.7,33.3,8.3,8.3,41.7,33.3,33.3,33.3,33.3,16.7,33.3,-
新日本建設,16.7,0.0,0.0,16.7,0.0,8.3,0.0,41.7,16.7,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,-
新日本科学,25.0,58.3,58.3,50.0,66.7,41.7,33.3,100.0,83.3,75.0,75.0,50.0,41.7,66.7,41.7,41.7,41.7,50.0,-
新日本空調,33.3,8.3,8.3,8.3,8.3,33.3,25.0,58.3,8.3,16.7,16.7,8.3,25.0,8.3,8.3,8.3,0.0,8.3,-
新晃工業,8.3,0.0,0.0,8.3,0.0,8.3,0.0,25.0,8.3,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,8.3,-
新東工業,50.0,33.3,33.3,33.3,33.3,50.0,33.3,75.0,33.3,33.3,33.3,41.7,33.3,41.7,41.7,33.3,41.7,33.3,-
新電元工業,50.0,41.7,41.7,50.0,41.7,41.7,66.7,83.3,33.3,25.0,16.7,41.7,50.0,66.7,50.0,50.0,33.3,41.7,-
日亜鋼業,50.0,41.7,58.3,25.0,25.0,33.3,16.7,75.0,25.0,16.7,16.7,50.0,41.7,33.3,16.7,16.7,33.3,41.7,-
日伝,0.0,8.3,0.0,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,8.3,-
日工,75.0,25.0,41.7,41.7,41.7,41.7,58.3,66.7,66.7,33.3,33.3,50.0,50.0,66.7,33.3,25.0,33.3,41.7,-
日揮ホールディングス,50.0,41.7,41.7,50.0,83.3,75.0,83.3,91.7,66.7,66.7,66.7,58.3,66.7,50.0,41.7,33.3,41.7,75.0,-
日新,25.0,25.0,25.0,25.0,25.0,25.0,25.0,91.7,25.0,16.7,16.7,25.0,16.7,41.7,25.0,16.7,25.0,25.0,-
日新電機,33.3,16.7,16.7,25.0,16.7,41.7,16.7,50.0,16.7,25.0,25.0,8.3,25.0,25.0,16.7,16.7,8.3,33.3,-
日本カーバイド工業,33.3,41.7,41.7,33.3,25.0,41.7,41.7,100.0,41.7,16.7,16.7,16.7,25.0,16.7,16.7,16.7,16.7,25.0,-
日本ガイシ,33.3,33.3,33.3,33.3,33.3,25.0,41.7,91.7,25.0,25.0,25.0,25.0,58.3,91.7,25.0,83.3,25.0,33.3,25.0
日本ギア工業,50.0,25.0,25.0,41.7,50.0,33.3,25.0,58.3,16.7,16.7,16.7,25.0,41.7,16.7,0.0,0.0,16.7,50.0,-
日本ケミコン,58.3,83.3,91.7,50.0,75.0,75.0,58.3,100.0,58.3,50.0,58.3,75.0,66.7,66.7,58.3,58.3,50.0,58.3,-
日本ケミファ,75.0,41.7,41.7,41.7,41.7,58.3,83.3,91.7,41.7,41.7,41.7,33.3,41.7,41.7,33.3,41.7,25.0,41.7,-
日本コンクリート工業,33.3,50.0,50.0,33.3,25.0,33.3,33.3,66.7,25.0,25.0,25.0,33.3,33.3,25.0,25.0,25.0,33.3,33.3,-
日本コークス工業,33.3,50.0,50.0,75.0,58.3,33.3,41.7,33.3,16.7,25.0,16.7,33.3,66.7,33.3,25.0,16.7,8.3,58.3,-
日本システムウエア,8.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
日本システム技術,66.7,50.0,33.3,58.3,41.7,33.3,58.3,66.7,41.7,33.3,50.0,50.0,41.7,58.3,50.0,50.0,33.3,50.0,-
日本ゼオン,16.7,16.7,16.7,16.7,8.3,16.7,25.0,66.7,16.7,16.7,16.7,16.7,25.0,8.3,8.3,8.3,8.3,16.7,-
日本テレビホールディングス,33.3,16.7,25.0,16.7,16.7,25.0,25.0,75.0,25.0,25.0,25.0,16.7,33.3,33.3,16.7,16.7,33.3,41.7,-
日本トムソン,58.3,50.0,50.0,50.0,41.7,33.3,33.3,50.0,41.7,41.7,41.7,25.0,58.3,33.3,33.3,41.7,33.3,41.7,-
日本トランスシティ,0.0,0.0,0.0,0.0,0.0,0.0,8.3,75.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,8.3,-
日本トリム,25.0,16.7,33.3,33.3,33.3,25.0,25.0,75.0,33.3,25.0,33.3,33.3,50.0,33.3,8.3,8.3,16.7,8.3,-
日本ハム,58.3,25.0,25.0,25.0,25.0,41.7,16.7,83.3,33.3,33.3,16.7,33.3,25.0,25.0,25.0,16.7,25.0,25.0,-
日本パーカライジング,8.3,8.3,8.3,0.0,8.3,25.0,25.0,25.0,25.0,25.0,25.0,25.0,41.7,8.3,8.3,8.3,16.7,16.7,-
日本ヒューム,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,-
日本ピストンリング,50.0,33.3,41.7,50.0,58.3,50.0,33.3,91.7,58.3,33.3,41.7,50.0,41.7,33.3,25.0,25.0,50.0,58.3,-
日本ピラー工業,0.0,8.3,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
日本プラスト,58.3,41.7,41.7,41.7,33.3,58.3,33.3,100.0,33.3,33.3,25.0,41.7,58.3,33.3,25.0,25.0,8.3,58.3,-
