,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
,,,,,,FINHISA'ACC,FINHISA'MACC,FINHISA'HACC,FINHISA'SECFLG,FINHISA'RPFLG,FINHISA'PUBLISHDATE,FINHISA'CE001,FINHISA'CE002,FINHISA'CE066,FINHISA'CE003,FINHISA'CE004,FINHISA'CE005,FINHISA'CE009,FINHISA'CE007,FINHISA'CE006,FINHISA'CE008,FINHISA'CE011,FINHISA'CE012,FINHISA'CE013,FINHISA'CE014,FINHISA'CE015,FINHISA'CE016
,,,,,,年月,ヶ月,2桁コード,1桁コード,1桁コード,年月日,年月日,年月日,1桁コード,百万円,百万円,百万円,円,円,百万円,百万円,百万円,百万円,百万円,百万円,円,百万円
トヨタ自動車,T7203,月次(M),2006/09,#0003,#0003,2006/09,6,22,0,0,2006/09/20,-,-,1,5500000,-,740000,-,-,500000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2007/03,#0001,#0001,2007/03,12,10,2,0,2006/05/10,-,-,0,22300000,-,1970000,-,404.1,1310000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2007/03,#0002,#0002,2007/03,12,10,2,0,2006/08/04,-,-,0,22300000,-,1970000,-,407.36,1310000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2007/03,#0003,#0003,2007/03,12,10,2,0,2006/11/07,-,-,0,23200000,-,2300000,-,481.95,1550000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2007/03,#0004,#0004,2007/03,12,10,2,0,2007/02/06,-,-,1,23200000,-,2300000,-,484.75,1550000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2007/09,#0001,#0001,2007/09,6,22,0,0,2007/05/09,-,-,0,5600000,-,800000,-,-,560000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2007/09,#0002,#0002,2007/09,6,22,0,0,2007/08/03,-,-,1,5600000,-,800000,-,-,560000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/03,#0001,#0001,2008/03,12,10,2,0,2007/05/09,-,-,0,25000000,-,2400000,-,515.96,1650000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/03,#0002,#0002,2008/03,12,10,2,0,2007/08/03,-,-,0,25000000,-,2400000,-,517.34,1650000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/03,#0003,#0003,2008/03,12,10,2,0,2007/11/07,-,-,0,25500000,2300000,2450000,-,533.81,1700000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/03,#0004,#0004,2008/03,12,10,2,0,2008/02/05,-,-,1,25500000,2300000,2450000,-,536.3,1700000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/03,#2001,#2001,2008/03,12,10,2,2,2008/05/08,2007/04/01,2008/03/31,-,26289240,2270375,2437222,540.44,540.65,1717879,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/03,#2002,#2002,2008/03,12,10,2,2,2009/05/08,2007/04/01,2008/03/31,-,26289240,2270375,2437222,540.44,540.65,1717879,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2008/06,#2001,#2001,2008/06,3,21,2,2,2008/08/07,2008/04/01,2008/06/30,-,6215130,412591,453054,112.28,112.3,353659,-,-,-,-,-,-,-
