企業名,会計年度,四半期,y_hat_ibes
トヨタ紡織,2020,Q4,56.0
トヨタ自動車,2018,Q1,40.48
トヨタ自動車,2018,Q2,34.5
トヨタ自動車,2018,Q3,42.36
トヨタ自動車,2018,Q4,37.38
トヨタ自動車,2019,Q1,42.8
トヨタ自動車,2019,Q2,39.32
トヨタ自動車,2019,Q3,38.34
トヨタ自動車,2019,Q4,33.46
トヨタ自動車,2020,Q1,19.46
トヨタ自動車,2020,Q2,22.18
トヨタ自動車,2020,Q3,32.1
トヨタ自動車,2020,Q4,32.06
ニコン,2018,Q1,23.5
ニコン,2018,Q2,22.0
ニコン,2018,Q3,44.1
ニコン,2018,Q4,37.4
ニコン,2019,Q1,23.6
ニコン,2019,Q2,19.9
ニコン,2019,Q3,37.4
ニコン,2019,Q4,-5.9
ニコン,2020,Q1,-20.9
ニコン,2020,Q2,7.9
ニコン,2020,Q3,-14.4
ニコン,2020,Q4,-29.1
ニチコン,2018,Q1,14.6
ニチコン,2018,Q2,21.1
ニチコン,2018,Q3,16.3
ニチコン,2018,Q4,18.9
ニチコン,2019,Q1,10.0
ニチコン,2019,Q2,12.4
ニチコン,2019,Q3,13.6
ニチコン,2019,Q4,2.7
ニチコン,2020,Q1,-3.0
ニチコン,2020,Q2,-2.5
ニチコン,2020,Q3,8.5
ニチコン,2020,Q4,11.0
ニフコ,2018,Q1,56.9
ニフコ,2018,Q2,56.9
ニフコ,2018,Q3,53.6
ニフコ,2018,Q4,47.7
ニフコ,2019,Q1,53.3
ニフコ,2019,Q2,48.5
ニフコ,2019,Q3,48.5
ニフコ,2019,Q4,48.3
ニフコ,2020,Q1,45.8
ニフコ,2020,Q2,6.8
ニフコ,2020,Q3,40.8
ニフコ,2020,Q4,50.7
バンダイナムコホールディングス,2018,Q1,45.4
バンダイナムコホールディングス,2018,Q2,63.5
バンダイナムコホールディングス,2018,Q3,77.9
バンダイナムコホールディングス,2018,Q4,44.1
バンダイナムコホールディングス,2019,Q1,61.9
バンダイナムコホールディングス,2019,Q2,68.6
バンダイナムコホールディングス,2019,Q3,79.1
バンダイナムコホールディングス,2019,Q4,41.9
バンダイナムコホールディングス,2020,Q1,13.1
バンダイナムコホールディングス,2020,Q2,69.5
バンダイナムコホールディングス,2020,Q3,88.5
バンダイナムコホールディングス,2020,Q4,-29.6
パナソニック,2018,Q1,23.8
パナソニック,2018,Q2,30.7
パナソニック,2018,Q3,33.6
パナソニック,2018,Q4,28.0
パナソニック,2019,Q1,21.0
パナソニック,2019,Q2,18.5
パナソニック,2019,Q3,21.0
パナソニック,2019,Q4,22.2
パナソニック,2020,Q1,8.1
パナソニック,2020,Q2,24.6
パナソニック,2020,Q3,20.9
パナソニック,2020,Q4,10.3
ヒロセ電機,2018,Q1,128.5
ヒロセ電機,2018,Q2,134.1
ヒロセ電機,2018,Q3,140.9
ヒロセ電機,2018,Q4,81.1
ヒロセ電機,2019,Q1,93.4
ヒロセ電機,2019,Q2,114.5
ヒロセ電機,2019,Q3,134.9
ヒロセ電機,2019,Q4,143.2
ヒロセ電機,2020,Q1,126.8
ヒロセ電機,2020,Q2,94.4
ヒロセ電機,2020,Q3,123.5
ヒロセ電機,2020,Q4,111.9
ファナック,2018,Q1,265.8
ファナック,2018,Q2,219.4
ファナック,2018,Q3,177.3
ファナック,2018,Q4,131.4
ファナック,2019,Q1,115.3
ファナック,2019,Q2,113.7
ファナック,2019,Q3,100.0
ファナック,2019,Q4,79.9
ファナック,2020,Q1,60.3
ファナック,2020,Q2,54.0
ファナック,2020,Q3,95.7
ファナック,2020,Q4,172.6
マツダ,2018,Q1,37.1
マツダ,2018,Q2,37.0
マツダ,2018,Q3,21.6
マツダ,2018,Q4,32.1
マツダ,2019,Q1,28.9
マツダ,2019,Q2,22.8
マツダ,2019,Q3,26.1
マツダ,2019,Q4,21.9
マツダ,2020,Q1,-146.0
マツダ,2020,Q2,-21.4
マツダ,2020,Q3,1.9
マツダ,2020,Q4,18.1
ミネベアミツミ,2018,Q1,25.1
ミネベアミツミ,2018,Q2,41.6
ミネベアミツミ,2018,Q3,60.1
ミネベアミツミ,2018,Q4,28.8
ミネベアミツミ,2019,Q1,26.3
ミネベアミツミ,2019,Q2,42.5
ミネベアミツミ,2019,Q3,47.1
ミネベアミツミ,2019,Q4,43.9
ミネベアミツミ,2020,Q1,8.5
ミネベアミツミ,2020,Q2,29.5
ミネベアミツミ,2020,Q3,36.9
ミネベアミツミ,2020,Q4,27.2
ユニプレス,2018,Q1,55.0
ユニプレス,2018,Q2,78.8
ユニプレス,2018,Q3,80.3
ユニプレス,2018,Q4,87.6
ユニプレス,2019,Q1,39.7
ユニプレス,2019,Q2,42.1
ユニプレス,2019,Q3,38.7
ユニプレス,2019,Q4,66.1
ユニプレス,2020,Q1,55.2
ユニプレス,2020,Q2,-91.7
ユニプレス,2020,Q3,23.9
ユニプレス,2020,Q4,-89.7
リコー,2018,Q1,18.0
リコー,2018,Q2,19.2
リコー,2018,Q3,23.6
リコー,2018,Q4,13.3
リコー,2019,Q1,22.1
リコー,2019,Q2,23.2
リコー,2019,Q3,26.5
リコー,2019,Q4,29.7
リコー,2020,Q1,13.1
リコー,2020,Q2,12.8
リコー,2020,Q3,8.9
リコー,2020,Q4,-11.4
ローム,2018,Q1,114.1
ローム,2018,Q2,143.2
ローム,2018,Q3,125.6
ローム,2018,Q4,95.4
ローム,2019,Q1,72.9
ローム,2019,Q2,91.3
ローム,2019,Q3,64.1
ローム,2019,Q4,56.8
ローム,2020,Q1,-6.1
ローム,2020,Q2,29.3
ローム,2020,Q3,75.3
ローム,2020,Q4,96.3
三井不動産,2018,Q1,37.7
三井不動産,2018,Q2,26.8
三井不動産,2018,Q3,34.5
三井不動産,2018,Q4,57.6
三井不動産,2019,Q1,41.6
三井不動産,2019,Q2,45.0
三井不動産,2019,Q3,38.6
三井不動産,2019,Q4,80.3
三井不動産,2020,Q1,40.4
三井不動産,2020,Q2,32.8
三井不動産,2020,Q3,59.8
三井不動産,2020,Q4,36.7
三菱地所,2018,Q1,11.2
三菱地所,2018,Q2,23.3
三菱地所,2018,Q3,27.5
三菱地所,2018,Q4,22.5
三菱地所,2019,Q1,13.2
三菱地所,2019,Q2,23.8
三菱地所,2019,Q3,31.3
三菱地所,2019,Q4,32.8
三菱地所,2020,Q1,19.0
三菱地所,2020,Q2,12.7
三菱地所,2020,Q3,20.1
三菱地所,2020,Q4,32.3
三菱自動車工業,2018,Q1,19.1
三菱自動車工業,2018,Q2,16.4
三菱自動車工業,2018,Q3,16.1
三菱自動車工業,2018,Q4,23.9
三菱自動車工業,2019,Q1,18.9
三菱自動車工業,2019,Q2,12.4
三菱自動車工業,2019,Q3,9.1
三菱自動車工業,2019,Q4,4.7
三菱自動車工業,2020,Q1,-3.1
三菱自動車工業,2020,Q2,-29.3
三菱自動車工業,2020,Q3,-15.0
三菱自動車工業,2020,Q4,-60.2
三菱電機,2018,Q1,26.3
三菱電機,2018,Q2,27.3
三菱電機,2018,Q3,25.7
三菱電機,2018,Q4,33.5
三菱電機,2019,Q1,18.3
三菱電機,2019,Q2,22.4
三菱電機,2019,Q3,25.8
三菱電機,2019,Q4,28.5
三菱電機,2020,Q1,13.1
三菱電機,2020,Q2,7.0
三菱電機,2020,Q3,15.9
三菱電機,2020,Q4,24.5
丸井グループ,2018,Q1,21.7
丸井グループ,2018,Q2,22.0
丸井グループ,2018,Q3,36.4
丸井グループ,2018,Q4,28.2
丸井グループ,2019,Q1,28.2
丸井グループ,2019,Q2,35.1
丸井グループ,2019,Q3,31.4
丸井グループ,2019,Q4,30.5
丸井グループ,2020,Q1,26.3
丸井グループ,2020,Q2,57.1
丸井グループ,2020,Q3,51.3
丸井グループ,2020,Q4,7.9
九電工,2018,Q1,42.8
九電工,2018,Q2,100.7
九電工,2018,Q3,66.7
九電工,2018,Q4,207.3
九電工,2019,Q1,31.8
九電工,2019,Q2,80.8
九電工,2019,Q3,63.0
九電工,2019,Q4,179.7
九電工,2020,Q1,42.3
九電工,2020,Q2,87.9
九電工,2020,Q3,78.7
九電工,2020,Q4,177.2
京セラ,2018,Q1,92.0
京セラ,2018,Q2,76.9
京セラ,2018,Q3,117.1
京セラ,2018,Q4,34.7
京セラ,2019,Q1,91.2
京セラ,2019,Q2,67.7
京セラ,2019,Q3,103.0
京セラ,2019,Q4,54.9
京セラ,2020,Q1,45.8
京セラ,2020,Q2,35.6
京セラ,2020,Q3,96.4
京セラ,2020,Q4,65.1
任天堂,2018,Q1,203.2
任天堂,2018,Q2,317.6
任天堂,2018,Q3,749.1
任天堂,2018,Q4,130.4
任天堂,2019,Q1,205.8
任天堂,2019,Q2,380.2
任天堂,2019,Q3,1011.0
任天堂,2019,Q4,292.8
任天堂,2020,Q1,222.7
任天堂,2020,Q2,503.8
任天堂,2020,Q3,1092.3
任天堂,2020,Q4,528.9
伊藤忠テクノソリューションズ,2018,Q1,9.4
伊藤忠テクノソリューションズ,2018,Q2,23.7
伊藤忠テクノソリューションズ,2018,Q3,20.1
伊藤忠テクノソリューションズ,2018,Q4,54.5
伊藤忠テクノソリューションズ,2019,Q1,10.4
伊藤忠テクノソリューションズ,2019,Q2,23.4
伊藤忠テクノソリューションズ,2019,Q3,23.5
伊藤忠テクノソリューションズ,2019,Q4,54.4
伊藤忠テクノソリューションズ,2020,Q1,14.1
伊藤忠テクノソリューションズ,2020,Q2,26.7
伊藤忠テクノソリューションズ,2020,Q3,32.0
伊藤忠テクノソリューションズ,2020,Q4,62.9
住友不動産,2018,Q1,87.5
住友不動産,2018,Q2,66.0
住友不動産,2018,Q3,69.9
住友不動産,2018,Q4,59.3
住友不動産,2019,Q1,77.8
住友不動産,2019,Q2,68.5
住友不動産,2019,Q3,55.8
住友不動産,2019,Q4,66.1
住友不動産,2020,Q1,86.5
住友不動産,2020,Q2,58.2
住友不動産,2020,Q3,45.9
住友不動産,2020,Q4,46.6
参天製薬,2018,Q1,21.1
参天製薬,2018,Q2,17.8
参天製薬,2018,Q3,18.4
参天製薬,2018,Q4,18.7
参天製薬,2019,Q1,17.8
参天製薬,2019,Q2,12.0
参天製薬,2019,Q3,14.5
参天製薬,2019,Q4,8.3
参天製薬,2020,Q1,16.5
参天製薬,2020,Q2,10.8
参天製薬,2020,Q3,17.0
参天製薬,2020,Q4,5.0
塩野義製薬,2018,Q1,56.3
塩野義製薬,2018,Q2,85.4
塩野義製薬,2018,Q3,104.9
塩野義製薬,2018,Q4,106.2
塩野義製薬,2019,Q1,94.5
塩野義製薬,2019,Q2,80.0
塩野義製薬,2019,Q3,123.1
塩野義製薬,2019,Q4,122.4
塩野義製薬,2020,Q1,67.3
塩野義製薬,2020,Q2,73.3
塩野義製薬,2020,Q3,91.1
塩野義製薬,2020,Q4,101.6
大同特殊鋼,2018,Q1,124.3
大同特殊鋼,2018,Q2,130.9
大同特殊鋼,2018,Q3,133.0
大同特殊鋼,2018,Q4,124.8
大同特殊鋼,2019,Q1,129.0
大同特殊鋼,2019,Q2,100.9
大同特殊鋼,2019,Q3,131.4
大同特殊鋼,2019,Q4,104.5
大同特殊鋼,2020,Q1,92.8
大同特殊鋼,2020,Q2,-54.0
大同特殊鋼,2020,Q3,24.2
大同特殊鋼,2020,Q4,49.9
大阪ガス,2018,Q1,52.1
大阪ガス,2018,Q2,18.0
大阪ガス,2018,Q3,19.4
大阪ガス,2018,Q4,51.9
大阪ガス,2019,Q1,47.0
大阪ガス,2019,Q2,-3.8
大阪ガス,2019,Q3,1.9
大阪ガス,2019,Q4,50.7
大阪ガス,2020,Q1,99.9
大阪ガス,2020,Q2,19.1
大阪ガス,2020,Q3,11.3
大阪ガス,2020,Q4,34.0
太平洋工業,2018,Q1,31.5
太平洋工業,2018,Q2,34.2
太平洋工業,2018,Q3,36.1
太平洋工業,2018,Q4,37.1
太平洋工業,2019,Q1,30.4
太平洋工業,2019,Q2,43.8
太平洋工業,2019,Q3,34.8
太平洋工業,2019,Q4,40.0
太平洋工業,2020,Q1,-3.3
太平洋工業,2020,Q2,2.5
太平洋工業,2020,Q3,38.1
太平洋工業,2020,Q4,37.0
太陽誘電,2018,Q1,18.8
太陽誘電,2018,Q2,43.3
太陽誘電,2018,Q3,47.5
太陽誘電,2018,Q4,14.2
太陽誘電,2019,Q1,50.4
太陽誘電,2019,Q2,59.4
太陽誘電,2019,Q3,51.3
太陽誘電,2019,Q4,47.9
太陽誘電,2020,Q1,13.8
太陽誘電,2020,Q2,37.9
太陽誘電,2020,Q3,50.4
太陽誘電,2020,Q4,56.8
富士フイルムホールディングス,2018,Q1,37.0
富士フイルムホールディングス,2018,Q2,78.2
富士フイルムホールディングス,2018,Q3,93.3
富士フイルムホールディングス,2018,Q4,73.6
富士フイルムホールディングス,2019,Q1,71.4
富士フイルムホールディングス,2019,Q2,97.3
富士フイルムホールディングス,2019,Q3,120.4
富士フイルムホールディングス,2019,Q4,97.0
富士フイルムホールディングス,2020,Q1,86.3
富士フイルムホールディングス,2020,Q2,59.2
富士フイルムホールディングス,2020,Q3,94.4
富士フイルムホールディングス,2020,Q4,68.0
富士通,2018,Q1,8.6
富士通,2018,Q2,80.7
富士通,2018,Q3,68.7
富士通,2018,Q4,155.6
富士通,2019,Q1,-39.2
富士通,2019,Q2,100.9
富士通,2019,Q3,98.7
富士通,2019,Q4,321.8
富士通,2020,Q1,9.8
富士通,2020,Q2,186.0
富士通,2020,Q3,187.6
富士通,2020,Q4,305.2
