企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
住友倉庫,大阪市北区中之島３－２－１８,27127,大阪市北区中之島３－２－１８　住友中之島ビル,27127,1923/08/01,1923/08/01,日本倉庫協会,日本港運協会,日本物流団体連合会,大阪商工会議所
住友化学,東京都中央区新川２－２７－１,13102,東京都中央区新川２－２７－１　東京住友ツインビル東館,13102,1925/06/03,1925/06/03,日本化学工業協会,石油化学工業協会,日本肥料アンモニア協会,大阪商工会議所
住友大阪セメント,東京都千代田区六番町６－２８,13101,東京都千代田区六番町６－２８,13101,1907/11/29,1907/11/29,セメント協会,石灰石鉱業協会,-,東京商工会議所
住友理工,愛知県小牧市東３－１,23219,名古屋市中村区名駅１－１－１　ＪＰタワー名古屋,23105,1929/12/20,1929/12/20,日本ゴム工業会,日本ホース金具工業会,日本ゴムホース工業会,小牧商工会議所
住友精化,兵庫県加古郡播磨町宮西３４６－１,28382,大阪市中央区北浜４－５－３３　住友ビル,27128,1944/07/20,1944/07/20,日本化学工業協会,関西化学工業協会,-,大阪商工会議所
住友重機械工業,東京都品川区大崎２－１－１　ＴｈｉｎｋＰａｒｋ　Ｔｏｗｅｒ,13109,東京都品川区大崎２－１－１　ＴｈｉｎｋＰａｒｋ　Ｔｏｗｅｒ,13109,1934/11/01,1934/11/01,日本造船工業会,日本産業機械工業会,日本プラント協会,東京商工会議所
住友金属鉱山,東京都港区新橋５－１１－３　新橋住友ビル,13103,東京都港区新橋５－１１－３　新橋住友ビル,13103,1950/03/01,1950/03/01,日本鉱業協会,-,-,東京商工会議所
住友電気工業,大阪市中央区北浜４－５－３３　住友ビル,27128,大阪市中央区北浜４－５－３３　住友ビル,27128,1920/12/11,1920/12/11,日本電線工業会,通信電線線材協会,日本粉末冶金工業会,大阪商工会議所
住友電設,大阪市西区阿波座２－１－４,27106,大阪市西区阿波座２－１－４,27106,1950/04/20,1950/04/20,日本電設工業協会,日本建築協会,日本電気協会,大阪商工会議所
佐田建設,群馬県前橋市元総社町１－１－７,10201,群馬県前橋市元総社町１－１－７,10201,1949/10/03,1949/10/03,群馬県建設業協会,土木学会,群馬建築士会,前橋商工会議所
保土谷化学工業,東京都中央区八重洲２－４－１,13102,東京都中央区八重洲２－４－１　住友不動産八重洲ビル,13102,1916/12/11,1916/12/11,化成品工業協会,日本化学工業協会,-,-
信越ポリマー,東京都千代田区神田須田町１－９　相鉄神田須田町ビル,13101,東京都千代田区神田須田町１－９　相鉄神田須田町ビル,13101,1960/09/15,1960/09/15,ＪＥＩＴＡ,ＳＥＭＩジャパン,日本プラスチック板協会,東京商工会議所
信越化学工業,東京都千代田区大手町２－６－１　朝日生命大手町ビル,13101,東京都千代田区大手町２－６－１　朝日生命大手町ビル,13101,1926/09/16,1926/09/16,日本化学工業協会,塩ビ工業・環境協会,日本ソーダ工業会,東京商工会議所
元気寿司,栃木県宇都宮市大通り２－１－５,09201,栃木県宇都宮市大通り２－１－５,09201,1979/07/26,1979/07/26,日本フードサービス協会,-,-,宇都宮商工会議所
光村印刷,東京都品川区大崎１－１５－９,13109,東京都品川区大崎１－１５－９,13109,1936/12/21,1936/12/21,印刷工業会,日本印刷産業連合会,日本印刷技術協会,東京商工会議所
光通信,東京都豊島区西池袋１－４－１０,13116,東京都豊島区西池袋１－４－１０,13116,1988/02/05,1952/04/01,-,-,-,-
八洲電機,東京都港区新橋３－１－１,13103,東京都港区新橋３－１－１,13103,1947/04/30,1947/04/30,中央労働災害防止協会,建設業労働災害防止協会,東京労働基準協会連合会,東京商工会議所
共同印刷,東京都文京区小石川４－１４－１２,13105,東京都文京区小石川４－１４－１２,13105,1918/12/13,1918/12/13,日本印刷産業連合会,印刷工業会,日本フォーム印刷工業連合会,東京商工会議所
共和レザー,浜松市南区東町１８７６,22134,浜松市南区東町１８７６,22134,1935/08/01,1935/08/01,日本ビニル工業会,-,-,浜松商工会議所
共栄タンカー,東京都港区三田３－２－６,13103,東京都港区三田３－２－６　Ｇスクエア三田,13103,1949/07/01,1949/07/01,日本船主協会,-,-,-
共立メンテナンス,東京都千代田区外神田２－１８－８,13101,東京都千代田区外神田２－１８－８,13101,1979/09/27,1979/09/27,-,-,-,東京商工会議所
共立印刷,東京都板橋区清水町３６－１,13119,東京都板橋区清水町３６－１,13119,1980/08/01,1980/08/01,印刷工業会,日本オフセット輪転印刷協議会,日本ダイレクトメール協会,東京商工会議所
共英製鋼,大阪市北区堂島浜１－４－１６,27127,大阪市北区堂島浜１－４－１６,27127,1947/08/21,1947/08/21,日本鉄鋼連盟,普通鋼電炉工業会,全国小棒懇談会,大阪商工会議所
兼松エレクトロニクス,東京都中央区京橋２－１３－１０,13102,東京都中央区京橋２－１３－１０　京橋ＭＩＤビル,13102,1968/07/23,1968/07/23,-,-,-,東京商工会議所
兼松サステック,東京都中央区日本橋浜町３－３－２,13102,東京都中央区日本橋浜町３－３－２　トルナーレ日本橋浜町,13102,1934/03/06,1934/03/06,日本木材防腐工業組合,-,-,東京商工会議所
凸版印刷,東京都台東区台東１－５－１,13106,東京都千代田区神田和泉町１,13101,1908/06/04,1908/06/04,印刷工業会,日本印刷産業連合会,-,東京商工会議所
出光興産,東京都千代田区丸の内３－１－１,13101,東京都千代田区丸の内３－１－１,13101,1940/03/30,1940/03/30,石油連盟,石油化学工業協会,石油学会,東京商工会議所
前沢化成工業,東京都中央区日本橋本町２－７－１,13102,東京都中央区日本橋本町２－７－１,13102,1954/12/10,1954/12/10,日本下水道協会,日本水道協会,塩化ビニル管・継手協会,-
前沢給装工業,東京都目黒区鷹番２－１４－４,13110,東京都目黒区鷹番２－１４－４,13110,1957/01/23,1957/01/23,日本水道協会,全国簡易水道協議会,日本水道工業団体連合会,東京商工会議所
加藤製作所,東京都品川区東大井１－９－３７,13109,東京都品川区東大井１－９－３７,13109,1935/01/20,1935/01/20,日本建設機械工業会,日本自動車車体工業会,日本建設機械化協会,東京商工会議所
加賀電子,東京都千代田区神田松永町２０,13101,東京都千代田区神田松永町２０,13101,1968/09/12,1968/09/12,全国電子部品流通連合会,東京都電機卸商業協同組合,-,東京商工会議所
北川鉄工所,広島県府中市元町７７－１,34208,広島県府中市元町７７－１,34208,1941/11/28,1941/11/28,日本鋳造協会,日本工作機器工業会,日本建設機械工業会,府中商工会議所
北沢産業,東京都渋谷区東２－２３－１０,13113,東京都渋谷区東２－２３－１０,13113,1960/04/04,1951/03/28,日本厨房工業会,日本ガス石油機器工業会,日本洋菓子協会,札幌商工会議所
北海道ガス,札幌市東区北七条東２－１－１,01103,札幌市東区北七条東２－１－１,01103,1911/07/12,1911/07/12,日本瓦斯協会,化学工学会,日本エネルギー学会,札幌商工会議所
北越コーポレーション,新潟県長岡市西蔵王３－５－１,15202,東京都中央区日本橋本石町３－２－２,13102,1907/05/09,1907/05/09,日本製紙連合会,-,-,東京商工会議所
北越工業,新潟県燕市下粟生津３０７４,15213,新潟県燕市下粟生津３０７４,15213,1938/05/15,1938/05/15,日本建設機械工業会,日本産業機械工業会,日本電機工業会,燕商工会議所
北野建設,長野市県町５２４,20201,長野市県町５２４,20201,1946/08/31,1946/08/31,日本建設業連合会,-,-,長野商工会議所
北陸電気工事,富山市小中２６９,16201,富山市小中２６９,16201,1944/10/01,1944/10/01,電気工事会社連絡協議会,日本電設工業協会,送電線建設技術研究会,富山商工会議所
北陸電気工業,富山市下大久保３１５８,16201,富山市下大久保３１５８,16201,1943/04/04,1943/04/04,電子情報技術産業協会,-,-,富山商工会議所
南海電気鉄道,大阪市中央区難波５－１－６０,27128,大阪市浪速区敷津東２－１－４１,27111,1925/03/28,1925/03/28,日本民営鉄道協会,関西鉄道協会,-,大阪商工会議所
南陽,福岡市博多区博多駅前３－１９－８,40132,福岡市博多区博多駅前３－１９－８,40132,1953/08/01,1953/08/01,-,-,-,福岡商工会議所
博報堂ＤＹホールディングス,東京都港区赤坂５－３－１,13103,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー,13103,2003/10/01,2003/10/01,日本広告業協会,東京広告協会,日本広告審査機構,東京商工会議所
原田工業,東京都品川区南大井６－２６－２,13109,東京都品川区南大井６－２６－２　大森ベルポートＢ館,13109,1958/03/29,1958/03/29,日本自動車部品工業会,電子情報技術産業協会,-,東京商工会議所
参天製薬,大阪市北区大深町４－２０,27127,大阪市北区大深町４－２０　グランフロント大阪タワーＡ,27127,1925/08/06,1925/08/06,日本製薬団体連合会,日本製薬工業協会,日本ＯＴＣ医薬品協会,大阪商工会議所
双信電機,長野県佐久市長土呂８００－３８,20217,東京都港区芝浦１－１－１　浜松町ビルディング,13103,1944/04/27,1944/04/27,電子情報技術産業協会,-,-,東京商工会議所
双葉電子工業,千葉県茂原市大芝６２９,12210,千葉県茂原市大芝６２９,12210,1948/02/03,1948/02/03,電子情報技術産業協会,日本金型工業会,日本ＵＡＳ産業振興協議会,茂原商工会議所
古河機械金属,東京都千代田区丸の内２－２－３　丸の内仲通りビル,13101,東京都千代田区丸の内２－２－３　丸の内仲通りビル,13101,1918/04/15,1918/04/15,日本鉱業協会,日本建設機械工業会,-,東京商工会議所
古河電気工業,東京都千代田区丸の内２－２－３　丸の内仲通りビル,13101,東京都千代田区丸の内２－２－３　丸の内仲通りビル,13101,1896/06/25,1896/06/25,日本電線工業会,日本伸銅協会,-,東京商工会議所
古河電池,横浜市保土ケ谷区星川２－４－１,14106,横浜市保土ケ谷区星川２－４－１,14106,1950/09/01,1950/08/30,電池工業会,日本電機工業会,情報通信ネットワーク産業協会,横浜商工会議所
合同製鉄,大阪市北区堂島浜２－２－８,27127,大阪市北区堂島浜２－２－８,27127,1937/12/09,1937/12/09,普通鋼電炉工業会,日本鉄鋼連盟,日本鉄鋼協会,大阪商工会議所
名古屋鉄道,名古屋市中村区名駅１－２－４,23105,名古屋市中村区名駅１－２－４,23105,1921/06/13,1921/06/13,日本民営鉄道協会,-,-,名古屋商工会議所
名村造船所,大阪市西区立売堀２－１－９　日建ビル,27106,大阪市西区立売堀２－１－９　日建ビル,27106,1931/04/13,1931/04/13,日本造船工業会,日本中小型造船工業会,日本橋梁建設協会,大阪商工会議所
名糖産業,名古屋市西区笹塚町２－４１,23104,名古屋市西区笹塚町２－４１,23104,1945/02/08,1945/02/08,全日本菓子協会,愛知県医薬品工業協会,日本チョコレート・ココア協会,名古屋商工会議所
味の素,東京都中央区京橋１－１５－１,13102,東京都中央区京橋１－１５－１,13102,1925/12/17,1925/12/17,日本うま味調味料協会,日本スープ協会,全国マヨネーズ協会,東京商工会議所
品川リフラクトリーズ,東京都千代田区大手町２－２－１,13101,東京都千代田区大手町２－２－１　新大手町ビル,13101,1903/06/25,1903/06/25,耐火物協会,日本セラミツクス協会,耐火物技術協会,-
商船三井,東京都港区虎ノ門２－１－１,13103,東京都港区虎ノ門２－１－１,13103,1942/12/28,1942/12/28,日本船主協会,-,-,東京商工会議所
四国化成工業,香川県丸亀市土器町東８－５３７－１,37202,香川県丸亀市土器町東８－５３７－１,37202,1947/10/10,1947/10/10,二硫化炭素工業会,日本建築仕上材工業会,日本エクステリア工業会,丸亀商工会議所
四電工,香川県高松市花ノ宮町２－３－９,37201,香川県高松市花ノ宮町２－３－９,37201,1963/05/01,1948/12/22,日本電設工業協会,電気工事会社連絡協議会,送電線建設技術研究会,高松商工会議所
因幡電機産業,大阪市西区立売堀４－１１－１４,27106,大阪市西区立売堀４－１１－１４,27106,1949/05/27,1949/05/27,全日電材連,全日本電気工事業工業組合,大阪府電設資材卸業協同組合,大阪商工会議所
図研,横浜市都筑区荏田東２－２５－１,14118,横浜市都筑区荏田東２－２５－１,14118,1976/12/17,1976/12/17,日本プリント回路工業会,電子情報通信学会,情報処理学会,横浜商工会議所
堺化学工業,堺市堺区戎島町５－２,27141,堺市堺区戎島町５－２,27141,1932/02/25,1932/02/25,日本化学工業協会,日本無機薬品協会,日本酸化チタン工業会,堺商工会議所
塩水港精糖,東京都中央区日本橋堀留町２－９－６,13102,東京都中央区日本橋堀留町２－９－６　ニューＥＳＲビル,13102,1950/07/01,1950/07/01,精糖工業会,-,-,東京商工会議所
塩野義製薬,大阪市中央区道修町３－１－８,27128,大阪市中央区道修町３－１－８,27128,1919/06/11,1919/06/11,日本製薬団体連合会,日本製薬工業協会,関西医薬品協会,大阪商工会議所
大同メタル工業,名古屋市中区栄２－３－１　名古屋広小路ビルヂング,23106,名古屋市中区栄２－３－１　名古屋広小路ビルヂング,23106,1939/11/04,1939/11/04,日本自動車部品工業会,自動車技術会,-,名古屋商工会議所
大同工業,石川県加賀市熊坂町イ１９７,17206,石川県加賀市熊坂町イ１９７,17206,1933/05/25,1933/05/25,日本チェーン工業会,石川県鉄工機電協会,-,加賀商工会議所
大同特殊鋼,名古屋市東区東桜１－１－１０,23102,名古屋市東区東桜１－１－１０　アーバンネット名古屋ビル,23102,1950/02/01,1950/02/01,日本鉄鋼連盟,特殊鋼倶楽部,日本鉄鋼協会,名古屋商工会議所
大和ハウス工業,大阪市北区梅田３－３－５,27127,大阪市北区梅田３－３－５,27127,1955/04/05,1947/03/04,住宅生産団体連合会,プレハブ建築協会,住宅生産振興財団,大阪商工会議所
大和工業,兵庫県姫路市大津区吉美３８０,28201,兵庫県姫路市大津区吉美３８０,28201,1944/11/08,1944/11/08,-,-,-,-
大崎電気工業,東京都品川区東五反田２－１０－２,13109,東京都品川区東五反田２－１０－２　東五反田スクエア,13109,1937/01/26,1937/01/26,日本電機工業会,日本電気計測器工業会,電気設備学会,東京商工会議所
大平洋金属,東京都千代田区大手町１－６－１　大手町ビル,13101,青森県八戸市大字河原木字遠山新田５－２,02203,1949/12/01,1949/12/01,日本鉄鋼連盟,日本鉱業協会,日本鉄鋼協会,東京商工会議所
大建工業,富山県南砺市井波１－１,16210,大阪市北区中之島３－２－４　中之島フェスティバルタワー・ウエスト,27127,1945/09/26,1945/09/26,日本建材・住宅設備産業協会,日本繊維板工業会,日本木造住宅産業協会,大阪商工会議所
大成ラミック,埼玉県白岡市下大崎８７３－１,11246,埼玉県白岡市下大崎８７３－１,11246,1966/03/22,1943/11/06,軟包装衛生協議会,日本包装機械工業会,クリーン・オーシャン・マテリア,-
大成建設,東京都新宿区西新宿１－２５－１,13104,東京都新宿区西新宿１－２５－１,13104,1917/12/28,1917/12/28,日本建設業連合会,-,-,東京商工会議所
大日本住友製薬,大阪市中央区道修町２－６－８,27128,大阪市中央区道修町２－６－８,27128,1897/05/14,1897/05/14,日本製薬団体連合会,日本製薬工業協会,関西医薬品協会,大阪商工会議所
大日本印刷,東京都新宿区市谷加賀町１－１－１,13104,東京都新宿区市谷加賀町１－１－１,13104,1894/01/19,1894/01/19,印刷工業会,-,-,東京商工会議所
大日本塗料,大阪市中央区南船場１－１８－１１,27128,大阪市中央区南船場１－１８－１１,27128,1929/07/25,1929/07/25,日本塗料工業会,日本塗料検査協会,-,大阪商工会議所
大日精化工業,東京都中央区日本橋馬喰町１－７－６,13102,東京都中央区日本橋馬喰町１－７－６,13102,1939/12/20,1939/12/20,日本化学工業協会,化成品工業協会,印刷インキ工業会,東京商工会議所
大末建設,大阪市中央区久太郎町２－５－２８,27128,大阪市中央区久太郎町２－５－２８,27128,1947/03/20,1947/03/20,日本建設業連合会,日本住宅産業協会,日本免震構造協会,大阪商工会議所
大東建託,東京都港区港南２－１６－１　品川イーストワンタワー,13103,東京都港区港南２－１６－１　品川イーストワンタワー,13103,1974/06/20,1974/06/20,-,-,-,東京商工会議所
大林組,東京都港区港南２－１５－２　品川インターシティＢ棟,13103,東京都港区港南２－１５－２　品川インターシティＢ棟,13103,1936/12/19,1936/12/19,日本建設業連合会,-,-,東京商工会議所
大気社,東京都新宿区西新宿８－１７－１,13104,東京都新宿区西新宿８－１７－１　住友不動産新宿グランドタワー,13104,1949/07/07,1949/07/07,日本空調衛生工事業協会,建築設備技術者協会,日本塗装技術協会,東京商工会議所
大王製紙,愛媛県四国中央市三島紙屋町２－６０,38213,東京都千代田区富士見２－１０－２　飯田橋グラン・ブルーム,13101,1943/05/05,1943/05/05,日本製紙連合会,日本家庭紙工業会,紙パルプ技術協会,四国中央商工会議所
大真空,兵庫県加古川市平岡町新在家１３８９,28210,兵庫県加古川市平岡町新在家１３８９,28210,1963/05/08,1963/05/08,日本水晶デバイス工業会,-,-,加古川商工会議所
大紀アルミニウム工業所,大阪市西区土佐堀１－４－８,27106,大阪市西区土佐堀１－４－８　日栄ビル,27106,1948/10/29,1948/10/29,日本アルミニウム協会,日本アルミニウム合金協会,-,大阪商工会議所
大豊工業,愛知県豊田市緑ケ丘３－６５,23211,愛知県豊田市緑ケ丘３－６５,23211,1939/12/01,1939/12/01,日本自動車部品工業会,自動車技術会,-,豊田商工会議所
大阪ガス,大阪市中央区平野町４－１－２,27128,大阪市中央区平野町４－１－２,27128,1897/04/10,1897/04/10,日本瓦斯協会,-,-,大阪商工会議所
大阪ソーダ,大阪市西区阿波座１－１２－１８,27106,大阪市西区阿波座１－１２－１８,27106,1915/11/09,1915/11/09,日本ソーダ工業会,-,-,大阪商工会議所
大阪製鉄,大阪市大正区南恩加島１－９－３,27108,大阪市中央区道修町３－６－１　京阪神御堂筋ビル,27128,1978/05/15,1978/05/15,普通鋼電炉工業会,日本鉄鋼連盟,-,大阪商工会議所
天馬,東京都北区赤羽１－６３－６,13117,東京都北区赤羽１－６３－６,13117,1949/08/26,1949/08/26,日本プラスチック日用品工業組合,日本ドゥイットユアセルフ協会,日本プラスチック型枠工業会,東京商工会議所
太平洋セメント,東京都文京区小石川１－１－１,13105,東京都文京区小石川１－１－１　文京ガーデンゲートタワー,13105,1881/05/03,1881/05/03,セメント協会,石灰石鉱業協会,-,東京商工会議所
太平洋工業,岐阜県大垣市久徳町１００,21202,岐阜県大垣市久徳町１００,21202,1938/04/19,1938/04/19,日本自動車部品工業会,日本ゴム協会,日本機械学会,大垣商工会議所
太平洋興発,東京都台東区元浅草２－６－７,13106,東京都台東区元浅草２－６－７　マタイビル,13106,1920/04/22,1920/04/22,石炭フロンティア機構,マンション管理業協会,-,-
太平電業,東京都千代田区神田神保町２－４,13101,東京都千代田区神田神保町２－４,13101,1947/03/25,1947/03/25,火力原子力発電技術協会,日本原子力産業協会,日本計装工業会,東京商工会議所
太陽ホールディングス,埼玉県比企郡嵐山町大字大蔵３８８,11342,東京都豊島区西池袋１－１１－１　メトロポリタンプラザビル,13116,1953/09/29,1953/09/29,日本プリント回路工業会,-,-,東京商工会議所
太陽誘電,東京都中央区京橋２－７－１９　京橋イーストビル,13102,東京都中央区京橋２－７－１９　京橋イーストビル,13102,1950/03/23,1950/03/23,電子情報技術産業協会,日本電子材料技術協会,-,東京商工会議所
奥村組,大阪市阿倍野区松崎町２－２－２,27119,大阪市阿倍野区松崎町２－２－２,27119,1938/03/03,1938/03/03,日本建設業連合会,大阪建設業協会,全国建設業協会,大阪商工会議所
宇徳,横浜市中区弁天通６－８５,14104,横浜市中区弁天通６－８５,14104,1915/12/08,1915/12/08,日本港運協会,日本関税協会,-,横浜商工会議所
宇部興産,山口県宇部市大字小串１９７８－９６,35202,東京都港区芝浦１－２－１　シーバンスＮ館,13103,1942/03/10,1942/03/10,日本化学工業協会,石油化学工業協会,セメント協会,東京商工会議所
安永,三重県伊賀市緑ケ丘中町３８６０,24216,三重県伊賀市緑ケ丘中町３８６０,24216,1949/09/19,1949/09/19,-,-,-,上野商工会議所
宝ホールディングス,京都市下京区四条通烏丸東入長刀鉾町２０　四条烏丸ＦＴスクエア,26106,京都市下京区四条通烏丸東入長刀鉾町２０　四条烏丸ＦＴスクエア,26106,1925/09/06,1925/09/06,-,-,-,京都商工会議所
宮地エンジニアリンググループ,東京都中央区日本橋富沢町９－１９,13102,東京都中央区日本橋富沢町９－１９,13102,2003/09/29,2003/09/29,-,-,-,東京商工会議所
富士フイルムホールディングス,東京都港区西麻布２－２６－３０,13103,東京都港区赤坂９－７－３,13103,1934/01/20,1934/01/20,-,-,-,-
富士急行,山梨県富士吉田市上吉田２－５－１,19202,山梨県富士吉田市新西原５－２－１,19202,1926/09/18,1926/09/18,日本民営鉄道協会,日本バス協会,日本遊園地協会,富士吉田商工会議所
富士石油,東京都品川区東品川２－５－８,13109,東京都品川区東品川２－５－８　天王洲パークサイドビル,13109,2003/01/31,2003/01/31,石油連盟,石油海事協会,-,-
富士紡ホールディングス,東京都中央区日本橋人形町１－１８－１２,13102,東京都中央区日本橋人形町１－１８－１２,13102,1896/03/24,1896/03/24,日本紡績協会,日本化学繊維協会,-,東京商工会議所
富士興産,東京都千代田区神田東松下町１３,13101,東京都千代田区神田東松下町１３　神田プラザビル,13101,1949/09/17,1949/09/17,潤滑油協会,日本アスファルト協会,-,-
富士通,川崎市中原区上小田中４－１－１,14133,東京都港区東新橋１－５－２　汐留シティセンター,13103,1935/06/20,1935/06/20,情報通信ネットワーク産業協会,電子情報技術産業協会,-,東京商工会議所
富士通ゼネラル,川崎市高津区末長３－３－１７,14134,川崎市高津区末長３－３－１７,14134,1936/01/15,1936/01/15,日本電機工業会,日本冷凍空調工業会,家電製品協会,川崎商工会議所
富士電機,川崎市川崎区田辺新田１－１,14131,東京都品川区大崎１－１１－２　ゲートシティ大崎イーストタワー,13109,1923/08/29,1923/08/29,日本電機工業会,日本電気協会,電子情報技術産学協会,東京商工会議所
寿スピリッツ,鳥取県米子市旗ヶ崎２０２８,31202,鳥取県米子市旗ヶ崎２０２８,31202,1952/04/25,1952/04/25,-,-,-,米子商工会議所
小松ウオール工業,石川県小松市工業団地１－７２,17203,石川県小松市工業団地１－７２,17203,1968/01/22,1968/01/22,日本パーティション工業会,-,-,小松商工会議所
小松マテーレ,石川県能美市浜町ヌ１６７,17211,石川県能美市浜町ヌ１６７,17211,1943/10/08,1943/10/08,日本染色協会,-,-,小松商工会議所
小森コーポレーション,東京都墨田区吾妻橋３－１１－１,13107,東京都墨田区吾妻橋３－１１－１,13107,1946/12/28,1946/12/28,日本印刷産業機械工業会,-,-,東京商工会議所
小田急電鉄,東京都渋谷区代々木２－２８－１２,13113,東京都新宿区西新宿１－８－３　小田急明治安田生命ビル,13104,1948/06/01,1948/06/01,日本民営鉄道協会,日本鉄道運転協会,日本交通協会,東京商工会議所
小糸製作所,東京都港区高輪４－８－３,13103,東京都港区高輪４－８－３,13103,1936/04/01,1936/04/01,日本自動車部品工業会,日本航空宇宙工業会,日本照明工業会,東京商工会議所
小野建,北九州市小倉北区西港町１２－１,40106,北九州市小倉北区西港町１２－１,40106,1949/08/11,1949/08/11,-,-,-,-
小野薬品工業,大阪市中央区道修町２－１－５,27128,大阪市中央区久太郎町１－８－２,27128,1947/07/04,1947/07/04,日本製薬団体連合会,日本製薬工業協会,大阪医薬品協会,大阪商工会議所
尾家産業,大阪市北区豊崎６－１１－２７,27127,大阪市北区豊崎６－１１－２７,27127,1961/02/16,1961/02/16,日本外食品流通協会,-,-,大阪商工会議所
山一電機,東京都大田区南蒲田２－１６－２,13111,東京都大田区南蒲田２－１６－２,13111,1956/11/01,1956/11/01,電子情報技術産業協会,-,-,東京商工会議所
山九,北九州市門司区港町６－７,40101,東京都中央区勝どき６－５－２３,13102,1917/11/27,1917/11/27,日本港運協会,日本橋梁建設協会,-,東京商工会議所
山善,大阪市西区立売堀２－３－１６,27106,大阪市西区立売堀２－３－１６,27106,1947/05/30,1947/05/30,全日本機械工具商連合会,日本工作機械販売協会,日本機械輸出組合,大阪商工会議所
山洋電気,東京都豊島区南大塚３－３３－１,13116,東京都豊島区南大塚３－３３－１　ＪＲ大塚南口ビル,13116,1936/12/31,1936/12/31,日本電機工業会,-,-,-
山田コンサルティンググループ,東京都千代田区丸の内１－８－１　丸の内トラストタワーＮ館,13101,東京都千代田区丸の内１－８－１　丸の内トラストタワーＮ館,13101,1989/07/10,1989/07/10,-,-,-,-
山陽特殊製鋼,兵庫県姫路市飾磨区中島字一文字３００７,28201,兵庫県姫路市飾磨区中島字一文字３００７,28201,1935/01/11,1935/01/11,日本鉄鋼連盟,特殊鋼倶楽部,-,姫路商工会議所
山陽電気鉄道,神戸市長田区御屋敷通３－１－１,28106,神戸市長田区御屋敷通３－１－１,28106,1933/06/06,1933/06/06,日本民営鉄道協会,関西鉄道協会,-,神戸商工会議所
岡谷電機産業,東京都世田谷区等々力６－１６－９,13112,東京都世田谷区等々力６－１６－９,13112,1939/04/11,1939/04/11,電子情報技術産業協会,-,-,東京商工会議所
岩崎通信機,東京都杉並区久我山１－７－４１,13115,東京都杉並区久我山１－７－４１,13115,1938/08/14,1938/08/14,情報通信ネットワーク産業協会,-,-,東京商工会議所
岩崎電気,東京都中央区東日本橋１－１－７,13102,東京都中央区東日本橋１－１－７　野村不動産東日本橋ビル,13102,1944/08/18,1944/08/18,日本照明工業会,-,-,東京商工会議所
岩谷産業,大阪市中央区本町３－６－４,27128,大阪市中央区本町３－６－４,27128,1945/02/02,1945/02/02,日本ＬＰガス協会,全国ＬＰガス協会,日本産業・医療ガス協会,大阪商工会議所
島津製作所,京都市中京区西ノ京桑原町１,26104,京都市中京区西ノ京桑原町１,26104,1917/09/01,1917/09/01,日本分析機器工業会,日本計量機器工業連合会,京都工業会,京都商工会議所
島精機製作所,和歌山市坂田８５,30201,和歌山市坂田８５,30201,1961/07/13,1976/08/24,日本繊維機械協会,和歌山県機械金属工業協同組合,発明協会,和歌山商工会議所
川崎汽船,神戸市中央区海岸通８　神港ビル,28110,東京都千代田区内幸町２－１－１　飯野ビルディング,13101,1919/04/10,1919/04/10,日本船主協会,-,-,神戸商工会議所
川崎重工業,神戸市中央区東川崎町３－１－１,28110,神戸市中央区東川崎町１－１－３　神戸クリスタルタワー,28110,1896/10/15,1896/10/15,日本造船工業会,日本航空宇宙工業会,日本鉄道車輛工業会,神戸商工会議所
巴コーポレーション,東京都中央区月島４－１６－１３,13102,東京都中央区月島４－１６－１３,13102,1934/06/26,1934/06/26,日本鉄塔協会,鉄骨建設業協会,日本橋梁建設協会,東京商工会議所
巴川製紙所,東京都中央区京橋２－１－３,13102,東京都中央区京橋２－１－３　京橋トラストタワー,13102,1917/08/15,1917/08/15,日本製紙連合会,紙パルプ技術協会,-,-
帝人,大阪市北区中之島３－２－４　中之島フェスティバルタワー・ウエスト,27127,東京都千代田区霞が関３－２－１,13101,1918/06/17,1918/06/17,日本化学繊維協会,日本化学協会,-,東京商工会議所
帝国通信工業,川崎市中原区苅宿４５－１,14133,川崎市中原区苅宿４５－１,14133,1944/08/01,1944/08/01,電子情報技術産業協会,電機・電子・情報通信産業経営者,-,-
帝国電機製作所,兵庫県たつの市新宮町平野６０,28229,兵庫県たつの市新宮町平野６０,28229,1939/09/12,1939/09/12,電気学会,高圧ガス保安協会,兵庫工業会,龍野商工会議所
常磐興産,福島県いわき市常磐藤原町蕨平５０,07204,福島県いわき市常磐藤原町蕨平５０,07204,1944/03/31,1944/03/31,石炭エネルギーセンター,-,-,いわき商工会議所
平和,東京都台東区東上野１－１６－１,13106,東京都台東区東上野２－２２－９　管理本部ビル,13106,1960/09/09,1969/12/16,日本遊技機工業組合,日本遊技関連事業協会,余暇環境整備推進協議会,東京商工会議所
平和不動産,東京都中央区日本橋兜町１－１０,13102,東京都中央区日本橋兜町１－１０,13102,1947/07/15,1947/07/15,不動産協会,日本ビルヂング協会連合会,不動産証券化協会,東京商工会議所
平河ヒューテック,東京都港区芝４－１７－５,13103,東京都港区芝４－１７－５　相鉄田町ビル,13103,1948/09/29,1948/09/29,日本電線工業会,-,-,東京商工会議所
