企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
オイレス工業,東京都港区港南１－２－７０,13103,神奈川県藤沢市桐原町８,14205,1952/03/11,1952/03/11,日本免震構造協会,発明推進協会,日本トライボロジー学会,東京商工会議所
オカダアイヨン,大阪市港区海岸通４－１－１８,27107,大阪市港区海岸通４－１－１８,27107,1960/09/01,1960/09/01,日本建設機械工業会,-,-,大阪商工会議所
オカムラ,横浜市西区北幸２－７－１８,14103,横浜市西区北幸１－４－１　天理ビル,14103,1946/07/15,1946/07/15,日本オフィス家具協会,ニューオフィス推進協議会,-,横浜商工会議所
オカモト,東京都文京区本郷３－２７－１２,13105,東京都文京区本郷３－２７－１２,13105,1934/01/10,1934/01/10,日本ゴム工業会,日本ビニル工業会,-,東京商工会議所
オリエンタルランド,千葉県浦安市舞浜１－１,12227,千葉県浦安市舞浜１－１,12227,1960/07/11,1960/07/11,-,-,-,-
オリジン,さいたま市桜区栄和３－３－２７,11106,さいたま市中央区新都心１１－２　明治安田生命さいたま新都心ビル,11105,1938/05/01,1938/05/01,電子情報技術産業協会,情報通信ネットワーク産業協会,日本塗料工業会,-
オリンパス,東京都八王子市石川町２９５１,13201,東京都新宿区西新宿２－３－１　新宿モノリス,13104,1919/10/12,1919/10/12,カメラ映像機器工業会,日本顕微鏡工業会,日本医用光学機器工業会,東京商工会議所
オルガノ,東京都江東区新砂１－２－８,13108,東京都江東区新砂１－２－８,13108,1946/05/01,1941/07/29,日本水道協会,日本下水道協会,日本産業機械工業会,東京商工会議所
オーイズミ,神奈川県厚木市中町２－７－１０,14212,神奈川県厚木市中町２－７－１０,14212,1974/07/18,1974/07/18,遊技場メダル自動補給装置工業会,日本遊技機工業組合,日本電動式遊技機工業協同組合,厚木商工会議所
オークマ,愛知県丹羽郡大口町下小口５－２５－１,23361,愛知県丹羽郡大口町下小口５－２５－１,23361,1918/07/15,1918/07/15,日本工作機械工業会,日本機械工業連合会,日本工作機械販売協会,名古屋商工会議所
オートバックスセブン,東京都江東区豊洲５－６－５２,13108,東京都江東区豊洲５－６－５２,13108,1948/08/12,1948/08/12,日本フランチャイズチェーン協会,全国自動車用品工業会,自動車用品小売業協会,-
オーハシテクニカ,東京都港区虎ノ門４－３－１３,13103,東京都港区虎ノ門４－３－１３　ヒューリック神谷町ビル,13103,1953/03/12,1953/03/12,自動車技術会,日本塑性加工学会,日本金属プレス工業会,東京商工会議所
オーバル,東京都新宿区上落合３－１０－８,13104,東京都新宿区上落合３－１０－８,13104,1949/05/10,1949/05/10,日本電気計測器工業会,日本計量機器工業連合会,-,東京商工会議所
オービック,東京都中央区京橋２－４－１５,13102,東京都中央区京橋２－４－１５,13102,1968/04/08,1968/04/08,情報サービス産業協会,-,-,東京商工会議所
オービックビジネスコンサルタン,東京都新宿区西新宿６－８－１　住友不動産新宿オークタワー,13104,東京都新宿区西新宿６－８－１　住友不動産新宿オークタワー,13104,1980/12/12,1980/12/12,ＣＳＡＪ,ＪＣＳＳＡ,-,東京商工会議所
カシオ計算機,東京都渋谷区本町１－６－２,13113,東京都渋谷区本町１－６－２,13113,1957/06/01,1946/06/04,ＪＢＭＩＡ,日本時計協会,日本機械輸出組合,東京商工会議所
カナデン,東京都中央区晴海１－８－１２　トリトンスクエアＺ棟,13102,東京都中央区晴海１－８－１２　トリトンスクエアＺ棟,13102,1912/12/18,1912/12/18,-,-,-,東京商工会議所
カネカ,大阪市北区中之島２－３－１８,27127,大阪市北区中之島２－３－１８　中之島フェスティバルタワー,27127,1949/09/01,1949/09/01,日本化学工業協会,塩ビ工業・環境協会,日本化学繊維協会,大阪商工会議所
カプコン,大阪市中央区内平野町３－１－３,27128,大阪市中央区内平野町３－１－３,27128,1979/05/30,1979/05/30,ＣＥＳＡ,ＡＣＣＳ,ＪＡＩＡ,大阪商工会議所
カメイ,仙台市青葉区国分町３－１－１８,04101,仙台市青葉区国分町３－１－１８,04101,1932/12/29,1932/12/29,全国石油商業組合連合会,全国卸売酒販組合中央会,日本エルピーガス協会,仙台商工会議所
カワタ,大阪市西区阿波座１－１５－１５　第一協業ビル,27106,大阪市西区阿波座１－１５－１５　第一協業ビル,27106,1951/07/13,1951/07/13,大阪府工業会,日本プラスチック機械工業会,-,大阪商工会議所
カワチ薬品,栃木県小山市大字卒島１２９３,09208,栃木県小山市大字卒島１２９３,09208,1980/07/04,1980/07/04,オールジャパンドラッグ,日本チェーンドラッグストア協会,-,小山商工会議所
キッコーマン,千葉県野田市野田２５０,12208,千葉県野田市野田２５０,12208,1917/12/07,1924/12/11,日本醤油協会,全国トマト工業会,-,野田商工会議所
キッセイ薬品工業,長野県松本市芳野１９－４８,20202,長野県松本市芳野１９－４８,20202,1946/08/09,1946/08/09,日本製薬団体連合会,日本製薬工業協会,長野県製薬協会,松本商工会議所
キトー,山梨県中巨摩郡昭和町築地新居２０００,19384,山梨県中巨摩郡昭和町築地新居２０００,19384,1944/07/28,1944/07/28,日本産業機械工業会,日本クレーン協会,日本電機工業会,甲府商工会議所
キムラタン,神戸市中央区加納町２－４－１０　水木ビルディング,28110,神戸市中央区加納町２－４－１０　水木ビルディング,28110,1964/12/10,1947/06/09,神戸ファッション協会,-,-,神戸商工会議所
キムラユニティー,名古屋市中区錦３－８－３２,23106,名古屋市中区錦３－８－３２,23106,1973/10/01,1973/10/01,-,-,-,名古屋商工会議所
キューブシステム,東京都品川区大崎２－１１－１,13109,東京都品川区大崎２－１１－１　大崎ウィズタワー,13109,1972/07/05,1972/07/05,情報サービス産業協会,日本能率協会,-,東京商工会議所
キョーリン製薬ホールディングス,東京都千代田区神田駿河台４－６,13101,東京都千代田区神田駿河台４－６　御茶ノ水ソラシティ,13101,1958/10/31,1958/10/31,-,-,-,-
キング,京都市下京区東塩小路高倉町２－１,26106,東京都品川区西五反田２－１４－９,13109,1948/09/09,1948/09/09,日本アパレル産業協会,関西ファッション連合,京都織物卸商業組合,東京商工会議所
キーエンス,大阪市東淀川区東中島１－３－１４,27114,大阪市東淀川区東中島１－３－１４,27114,1974/05/27,1974/05/27,-,-,-,-
キーコーヒー,東京都港区西新橋２－３４－４,13103,東京都港区西新橋２－３４－４,13103,1952/10/16,1952/10/16,全日本コーヒー協会,東日本コーヒー商工組合,日本紅茶協会,東京商工会議所
クオールホールディングス,東京都港区虎ノ門４－３－１　城山トラストタワー,13103,東京都港区虎ノ門４－３－１　城山トラストタワー,13103,1992/10/13,1992/10/13,日本保険薬局協会,-,-,-
クニミネ工業,東京都千代田区岩本町１－１０－５,13101,東京都千代田区岩本町１－１０－５,13101,1943/06/01,1943/06/01,-,-,-,東京商工会議所
クボテック,大阪市北区中之島４－３－３６　玉江橋ビル,27127,大阪市北区中之島４－３－３６　玉江橋ビル,27127,1985/07/16,1985/07/16,-,-,-,-
クラボウ,岡山県倉敷市本町７－１,33202,大阪市中央区久太郎町２－４－３１,27128,1888/03/09,1888/03/09,日本紡績協会,-,-,大阪商工会議所
クリナップ,東京都荒川区西日暮里６－２２－２２,13118,東京都荒川区西日暮里６－２２－２２,13118,1954/10/05,1954/10/05,キッチン・バス工業会,リビングアメニティ協会,日本厨房機器工業会,東京商工会議所
クレスコ,東京都港区港南２－１５－１,13103,東京都港区港南２－１５－１　品川インターシティＡ棟,13103,1988/04/01,1948/09/09,情報サービス産業協会,ＰＭＩ日本支部,組込みシステム技術協会,東京商工会議所
クレハ,東京都中央区日本橋浜町３－３－２,13102,東京都中央区日本橋浜町３－３－２,13102,1944/06/21,1944/06/21,日本ソーダ工業会,農薬工業会,日本化学工業協会,東京商工会議所
