企業名,日経業種コード,日経業種名（漢字）,日経業種名（英文）,日経業種大分類,日経業種中分類,日経業種小分類,東証業種コード,東証業種名（漢字）,東証業種名（英文）,日本標準産業分類（１）,日本標準産業分類（２）,日本標準産業分類（３）
エーアンドエーマテリアル,115143,セメント二次,Concrete Products,1,15,143,3400,ガラス・土石製品,Glass & Ceramics Products,000002129,000002199,000000000
エーザイ,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001651,000000000,000000000
エー・アンド・デイ,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002734,000002741,000000000
オイレス工業,121208,軸受,Bearings,1,21,208,3600,機械,Machinery,000002594,000000000,000000000
オカダアイヨン,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002621,000000000,000000000
オカムラ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000001312,000001311,000000000
オカモト,113122,その他ゴム製品,"Rubber Products, NEC",1,13,122,3350,ゴム製品,Rubber Products,000001992,000001921,000001991
オリエンタルランド,271702,娯楽施設,Amusement Services,2,71,702,9050,サービス業,Services,000008053,000000000,000000000
オリジン,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002899,000001644,000002813
オリンパス,131302,カメラ,Optical Instrument,1,31,302,3750,精密機器,Precision Instruments,000002752,000002741,000002751
オルガノ,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000002652,000001636,000000000
オーイズミ,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002729,000000000,000000000
オークマ,121201,工作機械,Machine Tools,1,21,201,3600,機械,Machinery,000002661,000000000,000000000
オートバックスセブン,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005422,000005913,000000000
オーハシテクニカ,243425,機械金属商社,Wholesale - Machinery &   Metals,2,43,425,6050,卸売業,Wholesale Trade,000005422,000000000,000000000
オーバル,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002733,000002735,000000000
オービック,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003921,000000000,000000000
オービックビジネスコンサルタン,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003913,000000000,000000000
カシオ計算機,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002719,000003231,000003039
カナデン,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000005492,000005419
カネカ,107065,合成樹脂,Plastics,1,07,065,3200,化学,Chemicals,000001634,000001635,000000000
カプコン,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003251,000003913,000000000
カメイ,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005331,000000000,000000000
カワタ,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002653,000002535,000002652
カワチ薬品,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006032,000006034,000005699
キッコーマン,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000942,000000000,000000000
キッセイ薬品工業,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
キトー,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002533,000000000,000000000
キムラタン,243424,繊維商社,Wholesale - Fabrics & Apparel,2,43,424,3100,繊維製品,Textile & Apparels,000005122,000000000,000000000
キムラユニティー,257561,陸運,Trucking,2,57,561,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004841,000004411,000007041
キューブシステム,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003921,000003929
キョーリン製薬ホールディングス,109082,医家向医薬品,Ethical Drugs,1,09,082,3250,医薬品,Pharmaceutical,000001652,000000000,000000000
キング,243424,繊維商社,Wholesale - Fabrics & Apparel,2,43,424,3100,繊維製品,Textile & Apparels,000005122,000005121,000005113
キーエンス,123226,制御機器,Electric Industrial Controls,1,23,226,3650,電気機器,Electric Appliances,000002972,000002971,000000000
キーコーヒー,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000001032,000000000,000000000
クオールホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006033,000000000,000000000
クニミネ工業,115146,カーボン・その他,"Carbon, NEC",1,15,146,3400,ガラス・土石製品,Glass & Ceramics Products,000002186,000001692,000000000
クボテック,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000002739,000000000,000000000
クラボウ,103022,綿紡績,Cotton Spinning & Weaving,1,03,022,3100,繊維製品,Textile & Apparels,000001114,000000000,000000000
クリナップ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000002452,000000000,000000000
クレスコ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
クレハ,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001635,000001634,000000000
クロスキャット,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
クロップス,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003731,000005931,000009121
クワザワホールディングス,243427,建材商社,Wholesale - Lumber & Building  Materials,2,43,427,6050,卸売業,Wholesale Trade,000005312,000005319,000000000
グランディハウス,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006812,000000000
グリムス,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000005431,000000000
グルメ杵屋,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007631,000000000,000000000
グローセル,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
グローブライド,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000003253,000000000,000000000
グローリー,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002729,000000000,000000000
グンゼ,103023,絹紡績,Silk Reeling,1,03,023,3100,繊維製品,Textile & Apparels,000001132,000001184,000000000
ケンコーマヨネーズ,101008,調味料,Flavoring Extracts,1,01,008,3050,食料品,Foods,000000943,000000000,000000000
ケーズホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005931,000000000,000000000
ケーユーホールディングス,243422,自動車販売,Auto Wholesales & Dealers,2,43,422,6100,小売業,Retail Trade,000005911,000000000,000000000
ゲオホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006098,000006073,000007092
コア,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003912,000003913,000000000
コニカミノルタ,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3650,電気機器,Electric Appliances,000001695,000002752,000000000
コニシ,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001646,000001694,000000000
コネクシオ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003731,000000000,000000000
コマツ,121204,運搬機・建設機械・内燃機,Construction Machines,1,21,204,3600,機械,Machinery,000002621,000000000,000000000
コムシスホールディングス,241404,電設工事,Electric Plant Construction,2,41,404,2050,建設業,Construction,000000821,000000811,000000000
コムチュア,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000000000,000000000
コメリ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006091,000000000,000000000
コロナ,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002432,000000000,000000000
コロワイド,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007629,000000000,000000000
コンドーテック,119186,その他金属製品,"Metal Products, NEC",1,19,186,6050,卸売業,Wholesale Trade,000002442,000000000,000000000
コーセー,107068,化粧品・歯磨,Cosmetics & Toilet Goods,1,07,068,3200,化学,Chemicals,000001669,000000000,000000000
ゴールドウイン,243429,その他商社,Miscellaneous Wholesales,2,43,429,3100,繊維製品,Textile & Apparels,000005593,000000000,000000000
ゴールドクレスト,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006821,000000000
サイネックス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000004141,000009299,000000000
サカイオーベックス,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001142,000000000,000000000
サカイ引越センター,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000000000,000000000
サクサホールディングス,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003011,000003031,000003039
サックスバー　ホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005791,000000000,000000000
サトーホールディングス,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000003034,000002999,000000000
サニックス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007429,000005419,000008822
サンケン電気,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000002813,000002912,000002914
サンゲツ,243427,建材商社,Wholesale - Lumber & Building  Materials,2,43,427,6050,卸売業,Wholesale Trade,000005532,000005514,000000000
サンコール,119186,その他金属製品,"Metal Products, NEC",1,19,186,3550,金属製品,Metal Products,000002492,000002479,000000000
サンデンホールディングス,121206,化工機械,Special Industrial Machcnes,1,21,206,3600,機械,Machinery,000003113,000002535,000000000
サンドラッグ,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000006032,000006034,000000000
サンフロンティア不動産,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006821,000000000
サンマルクホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000007629,000007621,000000000
サンリオ,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005594,000005599,000000000
サンリツ,263622,運輸関連,Harbor Transportation,2,63,622,5200,倉庫・運輸関連業,Warehousing and Harbor transportation,000004841,000004411,000004711
サンワテクノス,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
シキボウ,103022,綿紡績,Cotton Spinning & Weaving,1,03,022,3100,繊維製品,Textile & Apparels,000001114,000001115,000000000
システムリサーチ,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000000000,000000000
シスメックス,123229,その他電気機器,"Electric Equipment, NEC",1,23,229,3650,電気機器,Electric Appliances,000002741,000001651,000000000
シチズン時計,131301,時計,Watches & Clocks,1,31,301,3750,精密機器,Precision Instruments,000003231,000002661,000003035
シップヘルスケアホールディング,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005493,000000000,000000000
シモジマ,243429,その他商社,Miscellaneous Wholesales,2,43,429,6050,卸売業,Wholesale Trade,000005532,000000000,000000000
シャープ,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000003032,000002899,000002931
シンニッタン,117167,その他鉄鋼,"Steel, NEC",1,17,167,3450,鉄鋼,Iron & Steel,000003113,000002621,000002599
シンフォニア　テクノロジー,123222,重電,Heavy Electric,1,23,222,3650,電気機器,Electric Appliances,000002911,000002914,000000000
シーティーエス,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000007099,000003913,000005319
シード,131303,計器・その他,"Measuring Devices, NEC",1,31,303,3750,精密機器,Precision Instruments,000003297,000000000,000000000
ジェイテクト,121208,軸受,Bearings,1,21,208,3600,機械,Machinery,000003113,000002594,000000000
ジェコス,271704,その他サービス業,Miscellaneous Services,2,71,704,6050,卸売業,Wholesale Trade,000007022,000000000,000000000
ジャストシステム,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000003913,000000000
ジャパンフーズ,101010,その他食品,"Foods, NEC",1,01,010,3050,食料品,Foods,000001011,000000999,000000000
ジーエス・ユアサ　コーポレーシ,123227,電池,Battery,1,23,227,3650,電気機器,Electric Appliances,000002951,000002899,000002942
ジーテクト,127263,車体・その他,"Auto Body, NEC",1,27,263,3550,金属製品,Metal Products,000003112,000000000,000000000
スカパーＪＳＡＴホールディング,265641,通信,Communication Services,2,65,641,5250,情報・通信業,Information & Communication,000003823,000003712,000000000
スクウェア・エニックス・ホール,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003911,000004141,000003913
スクロール,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005799,000000000,000000000
スズキ,127261,自動車,Motor Vehicles,1,27,261,3700,輸送用機器,Transport Equipment,000003111,000003113,000000000
スズケン,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005521,000000000,000000000
スズデン,243428,電機関連商社,Wholesale - Electric Goods,2,43,428,6050,卸売業,Wholesale Trade,000005432,000000000,000000000
スタンレー電気,123228,自動車関連,Electric Auto Parts,1,23,228,3650,電気機器,Electric Appliances,000002942,000002813,000002941
スターゼン,243423,食品商社,Wholesale - Foods,2,43,423,6050,卸売業,Wholesale Trade,000005215,000005229,000000000
スターツコーポレーション,253522,分譲,Real Estate - Sales,2,53,522,8050,不動産業,Real Estate,000006811,000006821,000000000
ステラ　ケミファ,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001629,000000000,000000000
セイコーエプソン,123224,通信機（含通信機部品）,Communication Equipment,1,23,224,3650,電気機器,Electric Appliances,000003034,000003039,000002814
セイコーホールディングス,131301,時計,Watches & Clocks,1,31,301,3750,精密機器,Precision Instruments,000003231,000000000,000000000
セイノーホールディングス,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000007911,000000000
セガサミーホールディングス,121210,その他機械,"Machinery, NEC",1,21,210,3600,機械,Machinery,000002729,000000000,000000000
セコム,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000009221,000000000,000000000
センコーグループホールディング,257561,陸運,Trucking,2,57,561,5050,陸運業,Land Transportation,000004411,000004711,000000000
セントケア・ホールディング,271704,その他サービス業,Miscellaneous Services,2,71,704,9050,サービス業,Services,000008544,000000661,000000000
セントラルスポーツ,271702,娯楽施設,Amusement Services,2,71,702,9050,サービス業,Services,000008042,000008041,000008096
セントラル硝子,107063,塩素・ソーダ,Alkali & Chlorine,1,07,063,3200,化学,Chemicals,000002111,000001621,000000000
セーレン,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001141,000000000,000000000
ゼビオホールディングス,245444,その他小売業,"Retail Stores, NEC",2,45,444,6100,小売業,Retail Trade,000005721,000005731,000006071
ゼンショーホールディングス,271704,その他サービス業,Miscellaneous Services,2,71,704,6100,小売業,Retail Trade,000007611,000000000,000000000
ゼンリン,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000004141,000000000,000000000
ソトー,103026,その他繊維,Miscellaneous Textile Products,1,03,026,3100,繊維製品,Textile & Apparels,000001143,000000000,000000000
ソニーグループ,123223,家庭電器（含音響機器）,Household Appliances,1,23,223,3650,電気機器,Electric Appliances,000002939,000003023,000003014
ソネック,241402,中堅建設,Other General Construction,2,41,402,2050,建設業,Construction,000000611,000000000,000000000
ソフトクリエイトホールディング,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003913,000003911,000005432
ソースネクスト,271704,その他サービス業,Miscellaneous Services,2,71,704,5250,情報・通信業,Information & Communication,000003913,000000000,000000000
ソーダニッカ,243426,化学商社,Wholesale - Chemicals,2,43,426,6050,卸売業,Wholesale Trade,000005329,000000000,000000000
タイガースポリマー,107071,その他化学,"Chemical Products, NEC",1,07,071,3200,化学,Chemicals,000001932,000001815,000000000
タカノ,133325,その他製造業,"Manufacturing, NEC",1,33,325,3800,その他製品,Other Products,000001312,000002492,000002443
